dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Coffee,CNN_DFS,False,0,0,128,5,0.6098484992980957,0.6098484992980957,0.5305882096290588,0.513608455657959,0.513608455657959,0.5046098828315735,training/exp/EXP_ratio_f0.base_2023-02-22_15-04/logs/target/checkpoints/epoch=49-step=200.ckpt,training/exp/EXP_ratio_f0.base_2023-02-22_15-04/logs/target/metrics.csv,90,683,0,3417,,,,,,
Coffee,CNN_DFS,True,0,0,128,5,0.5757575631141663,0.5757575631141663,0.5338003635406494,0.4998536705970764,0.4998536705970764,0.5021084547042847,training/exp/EXP_ratio_f0.0_2023-02-22_15-16/logs/target/checkpoints/epoch=3-step=16.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-16/logs/target/metrics.csv,44,683,1941,3417,0.5812591314315796,0.5812591314315796,0.8150253295898438,training/exp/EXP_ratio_f0.0_2023-02-22_15-16/logs/pretrain/checkpoints/epoch=15-step=160.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-16/logs/pretrain/metrics.csv,21
Coffee,CNN_DFS,True,0,0,128,5,0.5681818127632141,0.5681818127632141,0.5605630278587341,0.4980977475643158,0.4980977475643158,0.4986226558685303,training/exp/EXP_ratio_f0.0_2023-02-22_15-24/logs/target/checkpoints/epoch=0-step=4.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-24/logs/target/metrics.csv,41,683,3882,3417,0.5402635335922241,0.5402635335922241,0.7983113527297974,training/exp/EXP_ratio_f0.0_2023-02-22_15-24/logs/pretrain/checkpoints/epoch=3-step=80.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-24/logs/pretrain/metrics.csv,9
Coffee,CNN_DFS,True,0,0,128,5,0.6931818127632141,0.6931818127632141,0.5240508913993835,0.4872695207595825,0.4872695207595825,0.49919071793556213,training/exp/EXP_ratio_f0.0_2023-02-22_15-31/logs/target/checkpoints/epoch=8-step=36.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-31/logs/target/metrics.csv,49,683,5825,3417,0.49170732498168945,0.49170732498168945,0.8030004501342773,training/exp/EXP_ratio_f0.0_2023-02-22_15-31/logs/pretrain/checkpoints/epoch=2-step=90.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-31/logs/pretrain/metrics.csv,8
Coffee,CNN_DFS,True,0,0,128,5,0.6553030014038086,0.6553030014038086,0.50771564245224,0.5191688537597656,0.5191688537597656,0.5007899403572083,training/exp/EXP_ratio_f0.0_2023-02-22_15-39/logs/target/checkpoints/epoch=95-step=384.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-39/logs/target/metrics.csv,136,683,7766,3417,0.5360409617424011,0.5360409617424011,0.8087873458862305,training/exp/EXP_ratio_f0.0_2023-02-22_15-39/logs/pretrain/checkpoints/epoch=3-step=160.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-39/logs/pretrain/metrics.csv,9
Coffee,CNN_DFS,True,0,0,128,5,0.5340909361839294,0.5340909361839294,0.5065857172012329,0.5019022822380066,0.5019022822380066,0.49951624870300293,training/exp/EXP_ratio_f0.0_2023-02-22_15-58/logs/target/checkpoints/epoch=2-step=12.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-58/logs/target/metrics.csv,43,683,9709,3417,0.5338015556335449,0.5338015556335449,0.8140632510185242,training/exp/EXP_ratio_f0.0_2023-02-22_15-58/logs/pretrain/checkpoints/epoch=1-step=100.ckpt,training/exp/EXP_ratio_f0.0_2023-02-22_15-58/logs/pretrain/metrics.csv,7
Coffee,CNN_DFS,False,0,0,128,5,0.4204545319080353,0.4204545319080353,0.3972834050655365,0.5171203017234802,0.5171203017234802,0.49779385328292847,training/exp/EXP_ratio_f0.base_2023-02-22_16-05/logs/target/checkpoints/epoch=43-step=308.ckpt,training/exp/EXP_ratio_f0.base_2023-02-22_16-05/logs/target/metrics.csv,84,1366,0,3417,,,,,,
Coffee,CNN_DFS,True,0,0,128,5,0.4943181872367859,0.4943181872367859,0.40215811133384705,0.47819724678993225,0.47819724678993225,0.4798612594604492,training/exp/EXP_ratio_f0.1_2023-02-22_16-17/logs/target/checkpoints/epoch=0-step=7.ckpt,training/exp/EXP_ratio_f0.1_2023-02-22_16-17/logs/target/metrics.csv,41,1366,1941,3417,0.6471449732780457,0.6471449732780457,0.8239721655845642,training/exp/EXP_ratio_f0.1_2023-02-22_16-17/logs/pretrain/checkpoints/epoch=7-step=80.ckpt,training/exp/EXP_ratio_f0.1_2023-02-22_16-17/logs/pretrain/metrics.csv,13
Coffee,CNN_DFS,True,0,0,128,5,0.405303031206131,0.405303031206131,0.41548293828964233,0.5080479979515076,0.5080479979515076,0.5145386457443237,training/exp/EXP_ratio_f0.1_2023-02-22_16-24/logs/target/checkpoints/epoch=0-step=7.ckpt,training/exp/EXP_ratio_f0.1_2023-02-22_16-24/logs/target/metrics.csv,41,1366,3882,3417,0.5775988101959229,0.5775988101959229,0.8040087819099426,training/exp/EXP_ratio_f0.1_2023-02-22_16-24/logs/pretrain/checkpoints/epoch=2-step=60.ckpt,training/exp/EXP_ratio_f0.1_2023-02-22_16-24/logs/pretrain/metrics.csv,8
Coffee,CNN_DFS,True,0,0,128,5,0.4848484992980957,0.4848484992980957,0.4440131187438965,0.466783732175827,0.466783732175827,0.48221975564956665,training/exp/EXP_ratio_f0.1_2023-02-22_16-31/logs/target/checkpoints/epoch=0-step=7.ckpt,training/exp/EXP_ratio_f0.1_2023-02-22_16-31/logs/target/metrics.csv,41,1366,5825,3417,0.5502439141273499,0.5502439141273499,0.8208581805229187,training/exp/EXP_ratio_f0.1_2023-02-22_16-31/logs/pretrain/checkpoints/epoch=5-step=180.ckpt,training/exp/EXP_ratio_f0.1_2023-02-22_16-31/logs/pretrain/metrics.csv,11
