dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
GunPoint,CNN_DFS,False,4,0,128,5,0.43325525522232056,0.43325525522232056,0.5382957458496094,0.523809552192688,0.523809552192688,0.5072348117828369,training/exp/EXP_ratio_f4.base_2023-02-25_05-36/logs/target/checkpoints/epoch=56-step=399.ckpt,training/exp/EXP_ratio_f4.base_2023-02-25_05-36/logs/target/metrics.csv,97,1227,0,5985,,,,,,
GunPoint,CNN_DFS,True,4,0,128,5,0.43325525522232056,0.43325525522232056,0.6245421171188354,0.5239766240119934,0.5239766240119934,0.538443922996521,training/exp/EXP_ratio_f4.0_2023-02-25_05-48/logs/target/checkpoints/epoch=52-step=371.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_05-48/logs/target/metrics.csv,93,1227,3627,5985,0.7416462898254395,0.7416462898254395,0.9233559966087341,training/exp/EXP_ratio_f4.0_2023-02-25_05-48/logs/pretrain/checkpoints/epoch=38-step=741.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_05-48/logs/pretrain/metrics.csv,44
GunPoint,CNN_DFS,True,4,0,128,5,0.43325525522232056,0.43325525522232056,0.666607141494751,0.5502088665962219,0.5502088665962219,0.5936501026153564,training/exp/EXP_ratio_f4.0_2023-02-25_06-06/logs/target/checkpoints/epoch=1-step=14.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-06/logs/target/metrics.csv,42,1227,7254,5985,0.8243683576583862,0.8243683576583862,0.9612253308296204,training/exp/EXP_ratio_f4.0_2023-02-25_06-06/logs/pretrain/checkpoints/epoch=75-step=2888.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-06/logs/pretrain/metrics.csv,81
GunPoint,CNN_DFS,True,4,0,128,5,0.43325525522232056,0.43325525522232056,0.6120281219482422,0.5289891362190247,0.5289891362190247,0.4779055118560791,training/exp/EXP_ratio_f4.0_2023-02-25_06-23/logs/target/checkpoints/epoch=15-step=112.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-23/logs/target/metrics.csv,56,1227,10881,5985,0.814452588558197,0.814452588558197,0.9655913710594177,training/exp/EXP_ratio_f4.0_2023-02-25_06-23/logs/pretrain/checkpoints/epoch=24-step=1425.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-23/logs/pretrain/metrics.csv,30
GunPoint,CNN_DFS,True,4,0,128,5,0.43325525522232056,0.43325525522232056,0.5008934736251831,0.5208020210266113,0.5208020210266113,0.5024696588516235,training/exp/EXP_ratio_f4.0_2023-02-25_06-35/logs/target/checkpoints/epoch=12-step=91.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-35/logs/target/metrics.csv,53,1227,14508,5985,0.8473920226097107,0.8473920226097107,0.9703785181045532,training/exp/EXP_ratio_f4.0_2023-02-25_06-35/logs/pretrain/checkpoints/epoch=22-step=1725.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-35/logs/pretrain/metrics.csv,28
GunPoint,CNN_DFS,True,4,0,128,5,0.5152224898338318,0.5152224898338318,0.6061201691627502,0.5517126321792603,0.5517126321792603,0.5819495320320129,training/exp/EXP_ratio_f4.0_2023-02-25_06-47/logs/target/checkpoints/epoch=0-step=7.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-47/logs/target/metrics.csv,41,1227,18135,5985,0.8490627408027649,0.8490627408027649,0.9757129549980164,training/exp/EXP_ratio_f4.0_2023-02-25_06-47/logs/pretrain/checkpoints/epoch=31-step=3008.ckpt,training/exp/EXP_ratio_f4.0_2023-02-25_06-47/logs/pretrain/metrics.csv,37
GunPoint,CNN_DFS,False,4,0,128,5,0.7201405167579651,0.7201405167579651,0.826677680015564,0.6421052813529968,0.6421052813529968,0.6398313045501709,training/exp/EXP_ratio_f4.base_2023-02-25_07-00/logs/target/checkpoints/epoch=198-step=2587.ckpt,training/exp/EXP_ratio_f4.base_2023-02-25_07-00/logs/target/metrics.csv,200,2454,0,5985,,,,,,
GunPoint,CNN_DFS,True,4,0,128,5,0.7084308862686157,0.7084308862686157,0.8664135932922363,0.6392648220062256,0.6392648220062256,0.6389429569244385,training/exp/EXP_ratio_f4.1_2023-02-25_07-26/logs/target/checkpoints/epoch=75-step=988.ckpt,training/exp/EXP_ratio_f4.1_2023-02-25_07-26/logs/target/metrics.csv,116,2454,3627,5985,0.8133659362792969,0.8133659362792969,0.9637741446495056,training/exp/EXP_ratio_f4.1_2023-02-25_07-26/logs/pretrain/checkpoints/epoch=57-step=1102.ckpt,training/exp/EXP_ratio_f4.1_2023-02-25_07-26/logs/pretrain/metrics.csv,63
GunPoint,CNN_DFS,True,4,0,128,5,0.688524603843689,0.688524603843689,0.8416666388511658,0.5832915902137756,0.5832915902137756,0.6102807521820068,training/exp/EXP_ratio_f4.1_2023-02-25_07-49/logs/target/checkpoints/epoch=69-step=910.ckpt,training/exp/EXP_ratio_f4.1_2023-02-25_07-49/logs/target/metrics.csv,110,2454,7254,5985,0.8194783926010132,0.8194783926010132,0.9632749557495117,training/exp/EXP_ratio_f4.1_2023-02-25_07-49/logs/pretrain/checkpoints/epoch=39-step=1520.ckpt,training/exp/EXP_ratio_f4.1_2023-02-25_07-49/logs/pretrain/metrics.csv,45
GunPoint,CNN_DFS,True,4,0,128,5,0.7529274225234985,0.7529274225234985,0.8334763050079346,0.6451127529144287,0.6451127529144287,0.6576229333877563,training/exp/EXP_ratio_f4.1_2023-02-25_08-10/logs/target/checkpoints/epoch=123-step=1612.ckpt,training/exp/EXP_ratio_f4.1_2023-02-25_08-10/logs/target/metrics.csv,164,2454,10881,5985,0.8630806803703308,0.8630806803703308,0.9780570864677429,training/exp/EXP_ratio_f4.1_2023-02-25_08-10/logs/pretrain/checkpoints/epoch=49-step=2850.ckpt,training/exp/EXP_ratio_f4.1_2023-02-25_08-10/logs/pretrain/metrics.csv,55
