dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
CBF,CNN_TS,False,0,0,128,5,0.4889322817325592,0.4889322817325592,0.5868874192237854,0.45198479294776917,0.45198479294776917,0.5628696084022522,training/exp/EXP_ratio_f0.base_2023-03-12_17-30/logs/target/checkpoints/epoch=52-step=1272.ckpt,training/exp/EXP_ratio_f0.base_2023-03-12_17-30/logs/target/metrics.csv,120,4783,0,23793,,,,,,
CBF,CNN_TS,True,0,0,128,5,0.408203125,0.408203125,0.5831645131111145,0.3925253450870514,0.3925253450870514,0.5538672208786011,training/exp/EXP_ratio_f0.0_2023-03-12_17-38/logs/target/checkpoints/epoch=21-step=528.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_17-38/logs/target/metrics.csv,120,4783,14307,23793,0.5206925868988037,0.5206925868988037,0.8294452428817749,training/exp/EXP_ratio_f0.0_2023-03-12_17-38/logs/pretrain/checkpoints/epoch=36-step=2738.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_17-38/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,0,0,128,5,0.412109375,0.412109375,0.5915262699127197,0.4104307293891907,0.4104307293891907,0.5746138095855713,training/exp/EXP_ratio_f0.0_2023-03-12_17-53/logs/target/checkpoints/epoch=64-step=1560.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_17-53/logs/target/metrics.csv,120,4783,28614,23793,0.5023226141929626,0.5023226141929626,0.8198519945144653,training/exp/EXP_ratio_f0.0_2023-03-12_17-53/logs/pretrain/checkpoints/epoch=8-step=1332.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_17-53/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,0,0,128,5,0.44140625,0.44140625,0.5930758118629456,0.43150338530540466,0.43150338530540466,0.565216600894928,training/exp/EXP_ratio_f0.0_2023-03-12_18-17/logs/target/checkpoints/epoch=16-step=408.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_18-17/logs/target/metrics.csv,120,4783,42921,23793,0.5053013563156128,0.5053013563156128,0.8231014013290405,training/exp/EXP_ratio_f0.0_2023-03-12_18-17/logs/pretrain/checkpoints/epoch=5-step=1338.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_18-17/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,0,0,128,5,0.4186197817325592,0.4186197817325592,0.5816521048545837,0.42263513803482056,0.42263513803482056,0.5578175187110901,training/exp/EXP_ratio_f0.0_2023-03-12_18-54/logs/target/checkpoints/epoch=15-step=384.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_18-54/logs/target/metrics.csv,120,4783,57228,23793,0.5169358253479004,0.5169358253479004,0.8262354135513306,training/exp/EXP_ratio_f0.0_2023-03-12_18-54/logs/pretrain/checkpoints/epoch=6-step=2079.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_18-54/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,0,0,128,5,0.4361979067325592,0.4361979067325592,0.5589153170585632,0.4116131663322449,0.4116131663322449,0.5410246253013611,training/exp/EXP_ratio_f0.0_2023-03-12_19-45/logs/target/checkpoints/epoch=1-step=48.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_19-45/logs/target/metrics.csv,120,4783,71537,23793,0.514868974685669,0.514868974685669,0.8257864117622375,training/exp/EXP_ratio_f0.0_2023-03-12_19-45/logs/pretrain/checkpoints/epoch=27-step=10416.ckpt,training/exp/EXP_ratio_f0.0_2023-03-12_19-45/logs/pretrain/metrics.csv,60
CBF,CNN_TS,False,0,0,128,5,0.4778124988079071,0.4778124988079071,0.5968983769416809,0.43353042006492615,0.43353042006492615,0.5628573894500732,training/exp/EXP_ratio_f0.base_2023-03-12_20-57/logs/target/checkpoints/epoch=17-step=882.ckpt,training/exp/EXP_ratio_f0.base_2023-03-12_20-57/logs/target/metrics.csv,120,9567,0,23793,,,,,,
CBF,CNN_TS,True,0,0,128,5,0.47593748569488525,0.47593748569488525,0.5979540944099426,0.4263513386249542,0.4263513386249542,0.5579940676689148,training/exp/EXP_ratio_f0.1_2023-03-12_21-09/logs/target/checkpoints/epoch=6-step=343.ckpt,training/exp/EXP_ratio_f0.1_2023-03-12_21-09/logs/target/metrics.csv,120,9567,14307,23793,0.5206925868988037,0.5206925868988037,0.8294452428817749,training/exp/EXP_ratio_f0.1_2023-03-12_21-09/logs/pretrain/checkpoints/epoch=36-step=2738.ckpt,training/exp/EXP_ratio_f0.1_2023-03-12_21-09/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,0,0,128,5,0.4803124964237213,0.4803124964237213,0.5966461300849915,0.431545615196228,0.431545615196228,0.5610186457633972,training/exp/EXP_ratio_f0.1_2023-03-12_21-28/logs/target/checkpoints/epoch=8-step=441.ckpt,training/exp/EXP_ratio_f0.1_2023-03-12_21-28/logs/target/metrics.csv,120,9567,28614,23793,0.5023226141929626,0.5023226141929626,0.8198519945144653,training/exp/EXP_ratio_f0.1_2023-03-12_21-28/logs/pretrain/checkpoints/epoch=8-step=1332.ckpt,training/exp/EXP_ratio_f0.1_2023-03-12_21-28/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,0,0,128,5,0.49312499165534973,0.49312499165534973,0.6160431504249573,0.44265201687812805,0.44265201687812805,0.56560879945755,training/exp/EXP_ratio_f0.1_2023-03-12_21-56/logs/target/checkpoints/epoch=9-step=490.ckpt,training/exp/EXP_ratio_f0.1_2023-03-12_21-56/logs/target/metrics.csv,120,9567,42921,23793,0.5053013563156128,0.5053013563156128,0.8231014013290405,training/exp/EXP_ratio_f0.1_2023-03-12_21-56/logs/pretrain/checkpoints/epoch=5-step=1338.ckpt,training/exp/EXP_ratio_f0.1_2023-03-12_21-56/logs/pretrain/metrics.csv,60
