dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
GunPoint,CNN_TS,False,3,0,128,5,0.4817708432674408,0.4817708432674408,0.32460951805114746,0.506963312625885,0.506963312625885,0.5356816649436951,training/exp/EXP_ratio_f3.base_2023-03-08_05-52/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f3.base_2023-03-08_05-52/logs/target/metrics.csv,120,1227,0,5985,,,,,,
GunPoint,CNN_TS,True,3,0,128,5,0.5911458134651184,0.5911458134651184,0.4411788582801819,0.434442937374115,0.434442937374115,0.44363605976104736,training/exp/EXP_ratio_f3.0_2023-03-08_05-57/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_05-57/logs/target/metrics.csv,120,1227,3627,5985,0.8880208134651184,0.8880208134651184,0.9784523248672485,training/exp/EXP_ratio_f3.0_2023-03-08_05-57/logs/pretrain/checkpoints/epoch=47-step=864.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_05-57/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,3,0,128,5,0.4036458432674408,0.4036458432674408,0.48602473735809326,0.45669156312942505,0.45669156312942505,0.45077958703041077,training/exp/EXP_ratio_f3.0_2023-03-08_06-04/logs/target/checkpoints/epoch=4-step=30.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-04/logs/target/metrics.csv,120,1227,7254,5985,0.8848684430122375,0.8848684430122375,0.9810678362846375,training/exp/EXP_ratio_f3.0_2023-03-08_06-04/logs/pretrain/checkpoints/epoch=58-step=2183.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-04/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,3,0,128,5,0.4036458432674408,0.4036458432674408,0.5000407695770264,0.4359714686870575,0.4359714686870575,0.430387407541275,training/exp/EXP_ratio_f3.0_2023-03-08_06-13/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-13/logs/target/metrics.csv,120,1227,10881,5985,0.890625,0.890625,0.978512167930603,training/exp/EXP_ratio_f3.0_2023-03-08_06-13/logs/pretrain/checkpoints/epoch=52-step=2968.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-13/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,3,0,128,5,0.4244791567325592,0.4244791567325592,0.5276110172271729,0.4420855939388275,0.4420855939388275,0.4444746971130371,training/exp/EXP_ratio_f3.0_2023-03-08_06-23/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-23/logs/target/metrics.csv,120,1227,14508,5985,0.8838404417037964,0.8838404417037964,0.9781602621078491,training/exp/EXP_ratio_f3.0_2023-03-08_06-23/logs/pretrain/checkpoints/epoch=59-step=4500.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-23/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,3,0,128,5,0.4296875,0.4296875,0.5036534070968628,0.45533287525177,0.45533287525177,0.47483962774276733,training/exp/EXP_ratio_f3.0_2023-03-08_06-35/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-35/logs/target/metrics.csv,120,1227,18135,5985,0.8891289830207825,0.8891289830207825,0.9786945581436157,training/exp/EXP_ratio_f3.0_2023-03-08_06-35/logs/pretrain/checkpoints/epoch=57-step=5394.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_06-35/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,False,3,0,128,5,0.4140625,0.4140625,0.3405380845069885,0.506963312625885,0.506963312625885,0.531450629234314,training/exp/EXP_ratio_f3.base_2023-03-08_06-49/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f3.base_2023-03-08_06-49/logs/target/metrics.csv,120,2454,0,5985,,,,,,
GunPoint,CNN_TS,True,3,0,128,5,0.4479166567325592,0.4479166567325592,0.501194953918457,0.38077446818351746,0.38077446818351746,0.437247097492218,training/exp/EXP_ratio_f3.1_2023-03-08_06-54/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_06-54/logs/target/metrics.csv,120,2454,3627,5985,0.8880208134651184,0.8880208134651184,0.9784523248672485,training/exp/EXP_ratio_f3.1_2023-03-08_06-54/logs/pretrain/checkpoints/epoch=47-step=864.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_06-54/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,3,0,128,5,0.41796875,0.41796875,0.3241509199142456,0.5088315010070801,0.5088315010070801,0.4973253607749939,training/exp/EXP_ratio_f3.1_2023-03-08_07-03/logs/target/checkpoints/epoch=14-step=180.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_07-03/logs/target/metrics.csv,120,2454,7254,5985,0.8848684430122375,0.8848684430122375,0.9810678362846375,training/exp/EXP_ratio_f3.1_2023-03-08_07-03/logs/pretrain/checkpoints/epoch=58-step=2183.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_07-03/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,3,0,128,5,0.4114583432674408,0.4114583432674408,0.3271523416042328,0.5101901888847351,0.5101901888847351,0.5080054998397827,training/exp/EXP_ratio_f3.1_2023-03-08_07-12/logs/target/checkpoints/epoch=12-step=156.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_07-12/logs/target/metrics.csv,120,2454,10881,5985,0.890625,0.890625,0.978512167930603,training/exp/EXP_ratio_f3.1_2023-03-08_07-12/logs/pretrain/checkpoints/epoch=52-step=2968.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_07-12/logs/pretrain/metrics.csv,60
