dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Plane,CNN_TS,False,3,0,128,5,0.2890625,0.2890625,0.21635733544826508,0.14361701905727386,0.14361701905727386,0.5158764123916626,training/exp/EXP_ratio_f3.base_2023-03-12_05-03/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f3.base_2023-03-12_05-03/logs/target/metrics.csv,120,1235,0,6033,,,,,,
Plane,CNN_TS,True,3,0,128,5,0.3515625,0.3515625,0.2216137796640396,0.16888298094272614,0.16888298094272614,0.5052976012229919,training/exp/EXP_ratio_f3.0_2023-03-12_05-09/logs/target/checkpoints/epoch=114-step=690.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-09/logs/target/metrics.csv,120,1235,3654,6033,0.8185763955116272,0.8185763955116272,0.96659916639328,training/exp/EXP_ratio_f3.0_2023-03-12_05-09/logs/pretrain/checkpoints/epoch=57-step=1044.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-09/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.3203125,0.3203125,0.21556054055690765,0.16206781566143036,0.16206781566143036,0.5023011565208435,training/exp/EXP_ratio_f3.0_2023-03-12_05-19/logs/target/checkpoints/epoch=73-step=444.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-19/logs/target/metrics.csv,120,1235,7308,6033,0.84375,0.84375,0.97514408826828,training/exp/EXP_ratio_f3.0_2023-03-12_05-19/logs/pretrain/checkpoints/epoch=56-step=2109.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-19/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.3489583432674408,0.3489583432674408,0.21461892127990723,0.16722074151039124,0.16722074151039124,0.506009042263031,training/exp/EXP_ratio_f3.0_2023-03-12_05-29/logs/target/checkpoints/epoch=97-step=588.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-29/logs/target/metrics.csv,120,1235,10963,6033,0.8540736436843872,0.8540736436843872,0.9776520729064941,training/exp/EXP_ratio_f3.0_2023-03-12_05-29/logs/pretrain/checkpoints/epoch=56-step=3192.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-29/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.2994791567325592,0.2994791567325592,0.2335834801197052,0.16771940886974335,0.16771940886974335,0.5158950686454773,training/exp/EXP_ratio_f3.0_2023-03-12_05-41/logs/target/checkpoints/epoch=82-step=498.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-41/logs/target/metrics.csv,120,1235,14617,6033,0.8556743264198303,0.8556743264198303,0.9784444570541382,training/exp/EXP_ratio_f3.0_2023-03-12_05-41/logs/pretrain/checkpoints/epoch=39-step=3000.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-41/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.359375,0.359375,0.22336983680725098,0.1713763326406479,0.1713763326406479,0.5090861916542053,training/exp/EXP_ratio_f3.0_2023-03-12_05-54/logs/target/checkpoints/epoch=118-step=714.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-54/logs/target/metrics.csv,120,1235,18273,6033,0.8704426884651184,0.8704426884651184,0.9781445264816284,training/exp/EXP_ratio_f3.0_2023-03-12_05-54/logs/pretrain/checkpoints/epoch=57-step=5452.ckpt,training/exp/EXP_ratio_f3.0_2023-03-12_05-54/logs/pretrain/metrics.csv,60
Plane,CNN_TS,False,3,0,128,5,0.375,0.375,0.35324445366859436,0.14361701905727386,0.14361701905727386,0.5213608145713806,training/exp/EXP_ratio_f3.base_2023-03-12_06-09/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f3.base_2023-03-12_06-09/logs/target/metrics.csv,120,2470,0,6033,,,,,,
Plane,CNN_TS,True,3,0,128,5,0.2018229216337204,0.2018229216337204,0.35578733682632446,0.12898936867713928,0.12898936867713928,0.4975443482398987,training/exp/EXP_ratio_f3.1_2023-03-12_06-16/logs/target/checkpoints/epoch=17-step=216.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-16/logs/target/metrics.csv,120,2470,3654,6033,0.8185763955116272,0.8185763955116272,0.96659916639328,training/exp/EXP_ratio_f3.1_2023-03-12_06-16/logs/pretrain/checkpoints/epoch=57-step=1044.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-16/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.28125,0.28125,0.3653196692466736,0.13879653811454773,0.13879653811454773,0.5054764151573181,training/exp/EXP_ratio_f3.1_2023-03-12_06-26/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-26/logs/target/metrics.csv,120,2470,7308,6033,0.84375,0.84375,0.97514408826828,training/exp/EXP_ratio_f3.1_2023-03-12_06-26/logs/pretrain/checkpoints/epoch=56-step=2109.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-26/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.26171875,0.26171875,0.3643970787525177,0.1472739428281784,0.1472739428281784,0.5031641721725464,training/exp/EXP_ratio_f3.1_2023-03-12_06-37/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-37/logs/target/metrics.csv,120,2470,10963,6033,0.8540736436843872,0.8540736436843872,0.9776520729064941,training/exp/EXP_ratio_f3.1_2023-03-12_06-37/logs/pretrain/checkpoints/epoch=56-step=3192.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-37/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.171875,0.171875,0.3556206524372101,0.1451130360364914,0.1451130360364914,0.49437615275382996,training/exp/EXP_ratio_f3.1_2023-03-12_06-50/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-50/logs/target/metrics.csv,120,2470,14617,6033,0.8556743264198303,0.8556743264198303,0.9784444570541382,training/exp/EXP_ratio_f3.1_2023-03-12_06-50/logs/pretrain/checkpoints/epoch=39-step=3000.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_06-50/logs/pretrain/metrics.csv,60
Plane,CNN_TS,True,3,0,128,5,0.2473958283662796,0.2473958283662796,0.37418192625045776,0.13962766528129578,0.13962766528129578,0.5035322904586792,training/exp/EXP_ratio_f3.1_2023-03-12_07-03/logs/target/checkpoints/epoch=10-step=132.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_07-03/logs/target/metrics.csv,120,2470,18273,6033,0.8704426884651184,0.8704426884651184,0.9781445264816284,training/exp/EXP_ratio_f3.1_2023-03-12_07-03/logs/pretrain/checkpoints/epoch=57-step=5452.ckpt,training/exp/EXP_ratio_f3.1_2023-03-12_07-03/logs/pretrain/metrics.csv,60
Plane,CNN_TS,False,3,0,128,5,0.23359374701976776,0.23359374701976776,0.3500075936317444,0.12732712924480438,0.12732712924480438,0.49937084317207336,training/exp/EXP_ratio_f3.base_2023-03-12_07-19/logs/target/checkpoints/epoch=14-step=270.ckpt,training/exp/EXP_ratio_f3.base_2023-03-12_07-19/logs/target/metrics.csv,120,3706,0,6033,,,,,,
Plane,CNN_TS,True,3,0,128,5,0.22499999403953552,0.22499999403953552,0.36658167839050293,0.1339760571718216,0.1339760571718216,0.5098162293434143,training/exp/EXP_ratio_f3.2_2023-03-12_07-26/logs/target/checkpoints/epoch=6-step=126.ckpt,training/exp/EXP_ratio_f3.2_2023-03-12_07-26/logs/target/metrics.csv,120,3706,3654,6033,0.8185763955116272,0.8185763955116272,0.96659916639328,training/exp/EXP_ratio_f3.2_2023-03-12_07-26/logs/pretrain/checkpoints/epoch=57-step=1044.ckpt,training/exp/EXP_ratio_f3.2_2023-03-12_07-26/logs/pretrain/metrics.csv,60
