dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Coffee,RNN_TS,False,4,0,128,5,0.3125,0.3125,0.2578125,0.3531900942325592,0.3531900942325592,0.4828404486179352,training/exp/EXP_ratio_f4.base_2023-03-08_23-48/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.base_2023-03-08_23-48/logs/target/metrics.csv,120,683,0,3131,,,,,,
Coffee,RNN_TS,True,4,0,128,5,0.3125,0.3125,0.33430397510528564,0.3531900942325592,0.3531900942325592,0.4829087257385254,training/exp/EXP_ratio_f4.0_2023-03-08_23-52/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_23-52/logs/target/metrics.csv,120,683,1998,3131,0.878125011920929,0.878125011920929,0.9799715876579285,training/exp/EXP_ratio_f4.0_2023-03-08_23-52/logs/pretrain/checkpoints/epoch=56-step=570.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_23-52/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.3125,0.3125,0.3791903257369995,0.3531900942325592,0.3531900942325592,0.4810742139816284,training/exp/EXP_ratio_f4.0_2023-03-08_23-59/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_23-59/logs/target/metrics.csv,120,683,3997,3131,0.839062511920929,0.839062511920929,0.9782248735427856,training/exp/EXP_ratio_f4.0_2023-03-08_23-59/logs/pretrain/checkpoints/epoch=30-step=620.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_23-59/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.3125,0.3125,0.5073152780532837,0.3531900942325592,0.3531900942325592,0.4741021692752838,training/exp/EXP_ratio_f4.0_2023-03-09_00-05/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_00-05/logs/target/metrics.csv,120,683,5996,3131,0.8759765625,0.8759765625,0.9809130430221558,training/exp/EXP_ratio_f4.0_2023-03-09_00-05/logs/pretrain/checkpoints/epoch=47-step=1440.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_00-05/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.3125,0.3125,0.6106534004211426,0.3531900942325592,0.3531900942325592,0.48947352170944214,training/exp/EXP_ratio_f4.0_2023-03-09_00-13/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_00-13/logs/target/metrics.csv,120,683,7995,3131,0.8742559552192688,0.8742559552192688,0.9818180203437805,training/exp/EXP_ratio_f4.0_2023-03-09_00-13/logs/pretrain/checkpoints/epoch=59-step=2400.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_00-13/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.3125,0.3125,0.5901278257369995,0.3531900942325592,0.3531900942325592,0.482785701751709,training/exp/EXP_ratio_f4.0_2023-03-09_00-20/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_00-20/logs/target/metrics.csv,120,683,9995,3131,0.8770254850387573,0.8770254850387573,0.9818565249443054,training/exp/EXP_ratio_f4.0_2023-03-09_00-20/logs/pretrain/checkpoints/epoch=38-step=1950.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_00-20/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,False,4,0,128,5,0.65625,0.65625,0.5141030550003052,0.3531900942325592,0.3531900942325592,0.4771435856819153,training/exp/EXP_ratio_f4.base_2023-03-09_00-29/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.base_2023-03-09_00-29/logs/target/metrics.csv,120,1366,0,3131,,,,,,
Coffee,RNN_TS,True,4,0,128,5,0.658203125,0.658203125,0.47339606285095215,0.3551432192325592,0.3551432192325592,0.47820186614990234,training/exp/EXP_ratio_f4.1_2023-03-09_00-33/logs/target/checkpoints/epoch=18-step=114.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-33/logs/target/metrics.csv,120,1366,1998,3131,0.878125011920929,0.878125011920929,0.9799715876579285,training/exp/EXP_ratio_f4.1_2023-03-09_00-33/logs/pretrain/checkpoints/epoch=56-step=570.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-33/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.662109375,0.662109375,0.48169469833374023,0.3645833432674408,0.3645833432674408,0.47738364338874817,training/exp/EXP_ratio_f4.1_2023-03-09_00-40/logs/target/checkpoints/epoch=27-step=168.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-40/logs/target/metrics.csv,120,1366,3997,3131,0.839062511920929,0.839062511920929,0.9782248735427856,training/exp/EXP_ratio_f4.1_2023-03-09_00-40/logs/pretrain/checkpoints/epoch=30-step=620.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-40/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.662109375,0.662109375,0.48633235692977905,0.3649088442325592,0.3649088442325592,0.4783390164375305,training/exp/EXP_ratio_f4.1_2023-03-09_00-47/logs/target/checkpoints/epoch=25-step=156.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-47/logs/target/metrics.csv,120,1366,5996,3131,0.8759765625,0.8759765625,0.9809130430221558,training/exp/EXP_ratio_f4.1_2023-03-09_00-47/logs/pretrain/checkpoints/epoch=47-step=1440.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-47/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.6640625,0.6640625,0.48989617824554443,0.3756510317325592,0.3756510317325592,0.4785612225532532,training/exp/EXP_ratio_f4.1_2023-03-09_00-54/logs/target/checkpoints/epoch=27-step=168.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-54/logs/target/metrics.csv,120,1366,7995,3131,0.8742559552192688,0.8742559552192688,0.9818180203437805,training/exp/EXP_ratio_f4.1_2023-03-09_00-54/logs/pretrain/checkpoints/epoch=59-step=2400.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_00-54/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.66796875,0.66796875,0.4913420081138611,0.3818359375,0.3818359375,0.47857236862182617,training/exp/EXP_ratio_f4.1_2023-03-09_01-02/logs/target/checkpoints/epoch=27-step=168.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_01-02/logs/target/metrics.csv,120,1366,9995,3131,0.8770254850387573,0.8770254850387573,0.9818565249443054,training/exp/EXP_ratio_f4.1_2023-03-09_01-02/logs/pretrain/checkpoints/epoch=38-step=1950.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_01-02/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,False,4,0,128,5,0.7526041865348816,0.7526041865348816,0.5441723465919495,0.3665364682674408,0.3665364682674408,0.5030156373977661,training/exp/EXP_ratio_f4.base_2023-03-09_01-10/logs/target/checkpoints/epoch=107-step=972.ckpt,training/exp/EXP_ratio_f4.base_2023-03-09_01-10/logs/target/metrics.csv,120,2050,0,3131,,,,,,
Coffee,RNN_TS,True,4,0,128,5,0.7513020634651184,0.7513020634651184,0.5654746294021606,0.3623046875,0.3623046875,0.524833083152771,training/exp/EXP_ratio_f4.2_2023-03-09_01-15/logs/target/checkpoints/epoch=105-step=954.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-15/logs/target/metrics.csv,120,2050,1998,3131,0.878125011920929,0.878125011920929,0.9799715876579285,training/exp/EXP_ratio_f4.2_2023-03-09_01-15/logs/pretrain/checkpoints/epoch=56-step=570.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-15/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.7513020634651184,0.7513020634651184,0.5651580691337585,0.3623046875,0.3623046875,0.5251853466033936,training/exp/EXP_ratio_f4.2_2023-03-09_01-22/logs/target/checkpoints/epoch=94-step=855.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-22/logs/target/metrics.csv,120,2050,3997,3131,0.839062511920929,0.839062511920929,0.9782248735427856,training/exp/EXP_ratio_f4.2_2023-03-09_01-22/logs/pretrain/checkpoints/epoch=30-step=620.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-22/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.75,0.75,0.5690224766731262,0.3623046875,0.3623046875,0.5288585424423218,training/exp/EXP_ratio_f4.2_2023-03-09_01-29/logs/target/checkpoints/epoch=101-step=918.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-29/logs/target/metrics.csv,120,2050,5996,3131,0.8759765625,0.8759765625,0.9809130430221558,training/exp/EXP_ratio_f4.2_2023-03-09_01-29/logs/pretrain/checkpoints/epoch=47-step=1440.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-29/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,4,0,128,5,0.75,0.75,0.5701441764831543,0.3600260317325592,0.3600260317325592,0.5293679237365723,training/exp/EXP_ratio_f4.2_2023-03-09_01-37/logs/target/checkpoints/epoch=86-step=783.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-37/logs/target/metrics.csv,120,2050,7995,3131,0.8742559552192688,0.8742559552192688,0.9818180203437805,training/exp/EXP_ratio_f4.2_2023-03-09_01-37/logs/pretrain/checkpoints/epoch=59-step=2400.ckpt,training/exp/EXP_ratio_f4.2_2023-03-09_01-37/logs/pretrain/metrics.csv,60
