dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Plane,RNN_TS,False,0,0,128,5,0.2890625,0.2890625,0.22486765682697296,0.14361701905727386,0.14361701905727386,0.5054000616073608,training/exp/EXP_ratio_f0.base_2023-03-10_16-30/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f0.base_2023-03-10_16-30/logs/target/metrics.csv,120,1235,0,6033,,,,,,
Plane,RNN_TS,True,0,0,128,5,0.375,0.375,0.26712939143180847,0.20246011018753052,0.20246011018753052,0.5452408194541931,training/exp/EXP_ratio_f0.0_2023-03-10_16-35/logs/target/checkpoints/epoch=110-step=666.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_16-35/logs/target/metrics.csv,120,1235,3654,6033,0.8185763955116272,0.8185763955116272,0.9712376594543457,training/exp/EXP_ratio_f0.0_2023-03-10_16-35/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_16-35/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,0,0,128,5,0.3333333432674408,0.3333333432674408,0.2310277670621872,0.1846742033958435,0.1846742033958435,0.517145574092865,training/exp/EXP_ratio_f0.0_2023-03-10_16-43/logs/target/checkpoints/epoch=114-step=690.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_16-43/logs/target/metrics.csv,120,1235,7308,6033,0.8486841917037964,0.8486841917037964,0.9799479246139526,training/exp/EXP_ratio_f0.0_2023-03-10_16-43/logs/pretrain/checkpoints/epoch=59-step=2220.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_16-43/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,0,0,128,5,0.3125,0.3125,0.23035509884357452,0.17835770547389984,0.17835770547389984,0.5169856548309326,training/exp/EXP_ratio_f0.0_2023-03-10_16-52/logs/target/checkpoints/epoch=100-step=606.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_16-52/logs/target/metrics.csv,120,1235,10963,6033,0.9070870280265808,0.9070870280265808,0.9903391599655151,training/exp/EXP_ratio_f0.0_2023-03-10_16-52/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_16-52/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,0,0,128,5,0.3151041567325592,0.3151041567325592,0.24135777354240417,0.1841755360364914,0.1841755360364914,0.5247620940208435,training/exp/EXP_ratio_f0.0_2023-03-10_17-02/logs/target/checkpoints/epoch=102-step=618.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_17-02/logs/target/metrics.csv,120,1235,14617,6033,0.9144737124443054,0.9144737124443054,0.9916494488716125,training/exp/EXP_ratio_f0.0_2023-03-10_17-02/logs/pretrain/checkpoints/epoch=58-step=4425.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_17-02/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,0,0,128,5,0.3046875,0.3046875,0.2233230173587799,0.17370346188545227,0.17370346188545227,0.5137444734573364,training/exp/EXP_ratio_f0.0_2023-03-10_17-13/logs/target/checkpoints/epoch=67-step=408.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_17-13/logs/target/metrics.csv,120,1235,18273,6033,0.91845703125,0.91845703125,0.9914450645446777,training/exp/EXP_ratio_f0.0_2023-03-10_17-13/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/exp/EXP_ratio_f0.0_2023-03-10_17-13/logs/pretrain/metrics.csv,60
Plane,RNN_TS,False,0,0,128,5,0.3450520932674408,0.3450520932674408,0.3822668492794037,0.14527925848960876,0.14527925848960876,0.5022808909416199,training/exp/EXP_ratio_f0.base_2023-03-10_17-26/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.base_2023-03-10_17-26/logs/target/metrics.csv,120,2470,0,6033,,,,,,
Plane,RNN_TS,True,0,0,128,5,0.375,0.375,0.3689097762107849,0.14361701905727386,0.14361701905727386,0.5075169801712036,training/exp/EXP_ratio_f0.1_2023-03-10_17-32/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-10_17-32/logs/target/metrics.csv,120,2470,3654,6033,0.8185763955116272,0.8185763955116272,0.9712376594543457,training/exp/EXP_ratio_f0.1_2023-03-10_17-32/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/exp/EXP_ratio_f0.1_2023-03-10_17-32/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,0,0,128,5,0.375,0.375,0.36361172795295715,0.14361701905727386,0.14361701905727386,0.5027838349342346,training/exp/EXP_ratio_f0.1_2023-03-10_17-40/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-10_17-40/logs/target/metrics.csv,120,2470,7308,6033,0.8486841917037964,0.8486841917037964,0.9799479246139526,training/exp/EXP_ratio_f0.1_2023-03-10_17-40/logs/pretrain/checkpoints/epoch=59-step=2220.ckpt,training/exp/EXP_ratio_f0.1_2023-03-10_17-40/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,0,0,128,5,0.375,0.375,0.3690044581890106,0.14361701905727386,0.14361701905727386,0.5054429769515991,training/exp/EXP_ratio_f0.1_2023-03-10_17-50/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-10_17-50/logs/target/metrics.csv,120,2470,10963,6033,0.9070870280265808,0.9070870280265808,0.9903391599655151,training/exp/EXP_ratio_f0.1_2023-03-10_17-50/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/exp/EXP_ratio_f0.1_2023-03-10_17-50/logs/pretrain/metrics.csv,60
