dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
PowerCons,RNN_TS,False,2,0,128,5,0.6484375,0.6484375,0.5732705593109131,0.5057617425918579,0.5057617425918579,0.7370434999465942,training/exp/EXP_ratio_f2.base_2023-03-09_18-02/logs/target/checkpoints/epoch=80-step=810.ckpt,training/exp/EXP_ratio_f2.base_2023-03-09_18-02/logs/target/metrics.csv,120,2099,0,10353,,,,,,
PowerCons,RNN_TS,True,2,0,128,5,0.651562511920929,0.651562511920929,0.5570539236068726,0.510546863079071,0.510546863079071,0.7564088702201843,training/exp/EXP_ratio_f2.0_2023-03-09_18-07/logs/target/checkpoints/epoch=32-step=330.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-07/logs/target/metrics.csv,120,2099,6246,10353,0.67431640625,0.67431640625,0.9040239453315735,training/exp/EXP_ratio_f2.0_2023-03-09_18-07/logs/pretrain/checkpoints/epoch=58-step=1888.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-07/logs/pretrain/metrics.csv,60
PowerCons,RNN_TS,True,2,0,128,5,0.651562511920929,0.651562511920929,0.5637749433517456,0.5093749761581421,0.5093749761581421,0.7551732063293457,training/exp/EXP_ratio_f2.0_2023-03-09_18-16/logs/target/checkpoints/epoch=29-step=300.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-16/logs/target/metrics.csv,120,2099,12492,10353,0.775390625,0.775390625,0.9368411898612976,training/exp/EXP_ratio_f2.0_2023-03-09_18-16/logs/pretrain/checkpoints/epoch=56-step=3648.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-16/logs/pretrain/metrics.csv,60
PowerCons,RNN_TS,True,2,0,128,5,0.651562511920929,0.651562511920929,0.561667263507843,0.508496105670929,0.508496105670929,0.7586535215377808,training/exp/EXP_ratio_f2.0_2023-03-09_18-28/logs/target/checkpoints/epoch=25-step=260.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-28/logs/target/metrics.csv,120,2099,18739,10353,0.7885841727256775,0.7885841727256775,0.9452283978462219,training/exp/EXP_ratio_f2.0_2023-03-09_18-28/logs/pretrain/checkpoints/epoch=58-step=5723.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-28/logs/pretrain/metrics.csv,60
PowerCons,RNN_TS,True,2,0,128,5,0.651562511920929,0.651562511920929,0.561032772064209,0.508007824420929,0.508007824420929,0.7588549852371216,training/exp/EXP_ratio_f2.0_2023-03-09_18-41/logs/target/checkpoints/epoch=25-step=260.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-41/logs/target/metrics.csv,120,2099,24985,10353,0.8085336685180664,0.8085336685180664,0.9503213167190552,training/exp/EXP_ratio_f2.0_2023-03-09_18-41/logs/pretrain/checkpoints/epoch=59-step=7740.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-41/logs/pretrain/metrics.csv,60
PowerCons,RNN_TS,True,2,0,128,5,0.651562511920929,0.651562511920929,0.5624549984931946,0.507617175579071,0.507617175579071,0.7585355043411255,training/exp/EXP_ratio_f2.0_2023-03-09_18-58/logs/target/checkpoints/epoch=25-step=260.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-58/logs/target/metrics.csv,120,2099,31233,10353,0.8140243887901306,0.8140243887901306,0.9506549835205078,training/exp/EXP_ratio_f2.0_2023-03-09_18-58/logs/pretrain/checkpoints/epoch=47-step=7776.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_18-58/logs/pretrain/metrics.csv,60
PowerCons,RNN_TS,False,2,0,128,5,0.7045454382896423,0.7045454382896423,0.723190426826477,0.676953136920929,0.676953136920929,0.7512902021408081,training/exp/EXP_ratio_f2.base_2023-03-09_19-19/logs/target/checkpoints/epoch=5-step=126.ckpt,training/exp/EXP_ratio_f2.base_2023-03-09_19-19/logs/target/metrics.csv,120,4198,0,10353,,,,,,
PowerCons,RNN_TS,True,2,0,128,5,0.6967329382896423,0.6967329382896423,0.7183409929275513,0.677929699420929,0.677929699420929,0.744362473487854,training/exp/EXP_ratio_f2.1_2023-03-09_19-25/logs/target/checkpoints/epoch=1-step=42.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_19-25/logs/target/metrics.csv,120,4198,6246,10353,0.67431640625,0.67431640625,0.9040239453315735,training/exp/EXP_ratio_f2.1_2023-03-09_19-25/logs/pretrain/checkpoints/epoch=58-step=1888.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_19-25/logs/pretrain/metrics.csv,60
PowerCons,RNN_TS,True,2,0,128,5,0.6896306872367859,0.6896306872367859,0.708863377571106,0.6498047113418579,0.6498047113418579,0.735447883605957,training/exp/EXP_ratio_f2.1_2023-03-09_19-35/logs/target/checkpoints/epoch=2-step=63.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_19-35/logs/target/metrics.csv,120,4198,12492,10353,0.775390625,0.775390625,0.9368411898612976,training/exp/EXP_ratio_f2.1_2023-03-09_19-35/logs/pretrain/checkpoints/epoch=56-step=3648.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_19-35/logs/pretrain/metrics.csv,60
PowerCons,RNN_TS,True,2,0,128,5,0.6832386255264282,0.6832386255264282,0.7045105695724487,0.6441406011581421,0.6441406011581421,0.7332439422607422,training/exp/EXP_ratio_f2.1_2023-03-09_19-48/logs/target/checkpoints/epoch=2-step=63.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_19-48/logs/target/metrics.csv,120,4198,18739,10353,0.7885841727256775,0.7885841727256775,0.9452283978462219,training/exp/EXP_ratio_f2.1_2023-03-09_19-48/logs/pretrain/checkpoints/epoch=58-step=5723.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_19-48/logs/pretrain/metrics.csv,60
