dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Coffee,ResNet_TS,False,4,0,128,5,0.3125,0.3125,0.554261326789856,0.3531900942325592,0.3531900942325592,0.5025296211242676,training/exp/EXP_ratio_f4.base_2023-03-09_02-07/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.base_2023-03-09_02-07/logs/target/metrics.csv,120,683,0,3131,,,,,,
Coffee,ResNet_TS,True,4,0,128,5,0.3125,0.3125,0.3602982759475708,0.3531900942325592,0.3531900942325592,0.4727218747138977,training/exp/EXP_ratio_f4.0_2023-03-09_02-11/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-11/logs/target/metrics.csv,120,683,1998,3131,0.8421875238418579,0.8421875238418579,0.9748390913009644,training/exp/EXP_ratio_f4.0_2023-03-09_02-11/logs/pretrain/checkpoints/epoch=12-step=130.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-11/logs/pretrain/metrics.csv,60
Coffee,ResNet_TS,True,4,0,128,5,0.3125,0.3125,0.4462357759475708,0.3561197817325592,0.3561197817325592,0.4775996804237366,training/exp/EXP_ratio_f4.0_2023-03-09_02-18/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-18/logs/target/metrics.csv,120,683,3997,3131,0.8773437738418579,0.8773437738418579,0.9853379130363464,training/exp/EXP_ratio_f4.0_2023-03-09_02-18/logs/pretrain/checkpoints/epoch=25-step=520.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-18/logs/pretrain/metrics.csv,60
Coffee,ResNet_TS,True,4,0,128,5,0.3125,0.3125,0.5439630746841431,0.3531900942325592,0.3531900942325592,0.4924488663673401,training/exp/EXP_ratio_f4.0_2023-03-09_02-25/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-25/logs/target/metrics.csv,120,683,5996,3131,0.888671875,0.888671875,0.9853351712226868,training/exp/EXP_ratio_f4.0_2023-03-09_02-25/logs/pretrain/checkpoints/epoch=24-step=750.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-25/logs/pretrain/metrics.csv,60
Coffee,ResNet_TS,True,4,0,128,5,0.33203125,0.33203125,0.5546164512634277,0.3626302182674408,0.3626302182674408,0.4868282079696655,training/exp/EXP_ratio_f4.0_2023-03-09_02-33/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-33/logs/target/metrics.csv,120,683,7995,3131,0.8612351417541504,0.8612351417541504,0.979809582233429,training/exp/EXP_ratio_f4.0_2023-03-09_02-33/logs/pretrain/checkpoints/epoch=39-step=1600.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-33/logs/pretrain/metrics.csv,60
Coffee,ResNet_TS,True,4,0,128,5,0.3125,0.3125,0.4083096385002136,0.353515625,0.353515625,0.49217021465301514,training/exp/EXP_ratio_f4.0_2023-03-09_02-41/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-41/logs/target/metrics.csv,120,683,9995,3131,0.8628472089767456,0.8628472089767456,0.9853618741035461,training/exp/EXP_ratio_f4.0_2023-03-09_02-41/logs/pretrain/checkpoints/epoch=3-step=200.ckpt,training/exp/EXP_ratio_f4.0_2023-03-09_02-41/logs/pretrain/metrics.csv,60
Coffee,ResNet_TS,False,4,0,128,5,0.65625,0.65625,0.5878821611404419,0.3531900942325592,0.3531900942325592,0.5228034257888794,training/exp/EXP_ratio_f4.base_2023-03-09_02-50/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.base_2023-03-09_02-50/logs/target/metrics.csv,120,1366,0,3131,,,,,,
Coffee,ResNet_TS,True,4,0,128,5,0.65625,0.65625,0.5155235528945923,0.3531900942325592,0.3531900942325592,0.4797128140926361,training/exp/EXP_ratio_f4.1_2023-03-09_02-54/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_02-54/logs/target/metrics.csv,120,1366,1998,3131,0.8421875238418579,0.8421875238418579,0.9748390913009644,training/exp/EXP_ratio_f4.1_2023-03-09_02-54/logs/pretrain/checkpoints/epoch=12-step=130.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_02-54/logs/pretrain/metrics.csv,60
Coffee,ResNet_TS,True,4,0,128,5,0.65625,0.65625,0.4552726149559021,0.3531900942325592,0.3531900942325592,0.470331609249115,training/exp/EXP_ratio_f4.1_2023-03-09_03-01/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_03-01/logs/target/metrics.csv,120,1366,3997,3131,0.8773437738418579,0.8773437738418579,0.9853379130363464,training/exp/EXP_ratio_f4.1_2023-03-09_03-01/logs/pretrain/checkpoints/epoch=25-step=520.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_03-01/logs/pretrain/metrics.csv,60
Coffee,ResNet_TS,True,4,0,128,5,0.65625,0.65625,0.4446023106575012,0.3531900942325592,0.3531900942325592,0.4710319936275482,training/exp/EXP_ratio_f4.1_2023-03-09_03-09/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_03-09/logs/target/metrics.csv,120,1366,5996,3131,0.888671875,0.888671875,0.9853351712226868,training/exp/EXP_ratio_f4.1_2023-03-09_03-09/logs/pretrain/checkpoints/epoch=24-step=750.ckpt,training/exp/EXP_ratio_f4.1_2023-03-09_03-09/logs/pretrain/metrics.csv,60
