dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
GunPoint,ResNet_TS,False,0,0,128,5,0.6640625,0.6640625,0.7970120906829834,0.5118885636329651,0.5118885636329651,0.48088377714157104,training/exp/EXP_ratio_f0.base_2023-03-07_13-57/logs/target/checkpoints/epoch=22-step=138.ckpt,training/exp/EXP_ratio_f0.base_2023-03-07_13-57/logs/target/metrics.csv,120,1227,0,5985,,,,,,
GunPoint,ResNet_TS,True,0,0,128,5,0.7057291865348816,0.7057291865348816,0.8259948492050171,0.42238450050354004,0.42238450050354004,0.42646706104278564,training/exp/EXP_ratio_f0.0_2023-03-07_14-01/logs/target/checkpoints/epoch=3-step=24.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-01/logs/target/metrics.csv,120,1227,3627,5985,0.9296875,0.9296875,0.9865058660507202,training/exp/EXP_ratio_f0.0_2023-03-07_14-01/logs/pretrain/checkpoints/epoch=33-step=612.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-01/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.78125,0.78125,0.8155642747879028,0.42017662525177,0.42017662525177,0.41494497656822205,training/exp/EXP_ratio_f0.0_2023-03-07_14-06/logs/target/checkpoints/epoch=2-step=18.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-06/logs/target/metrics.csv,120,1227,7254,5985,0.9576480388641357,0.9576480388641357,0.9937470555305481,training/exp/EXP_ratio_f0.0_2023-03-07_14-06/logs/pretrain/checkpoints/epoch=25-step=962.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-06/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.7552083134651184,0.7552083134651184,0.8384897708892822,0.48963993787765503,0.48963993787765503,0.423727810382843,training/exp/EXP_ratio_f0.0_2023-03-07_14-13/logs/target/checkpoints/epoch=4-step=30.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-13/logs/target/metrics.csv,120,1227,10881,5985,0.9640067219734192,0.9640067219734192,0.9937589764595032,training/exp/EXP_ratio_f0.0_2023-03-07_14-13/logs/pretrain/checkpoints/epoch=50-step=2856.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-13/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.7317708134651184,0.7317708134651184,0.8066005706787109,0.4211956560611725,0.4211956560611725,0.43789875507354736,training/exp/EXP_ratio_f0.0_2023-03-07_14-20/logs/target/checkpoints/epoch=2-step=18.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-20/logs/target/metrics.csv,120,1227,14508,5985,0.9451069235801697,0.9451069235801697,0.9948768615722656,training/exp/EXP_ratio_f0.0_2023-03-07_14-20/logs/pretrain/checkpoints/epoch=15-step=1200.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-20/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.640625,0.640625,0.7574357986450195,0.4351222813129425,0.4351222813129425,0.4294704794883728,training/exp/EXP_ratio_f0.0_2023-03-07_14-29/logs/target/checkpoints/epoch=1-step=12.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-29/logs/target/metrics.csv,120,1227,18135,5985,0.9506316781044006,0.9506316781044006,0.9908432960510254,training/exp/EXP_ratio_f0.0_2023-03-07_14-29/logs/pretrain/checkpoints/epoch=53-step=5022.ckpt,training/exp/EXP_ratio_f0.0_2023-03-07_14-29/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,False,0,0,128,5,0.5859375,0.5859375,0.29148149490356445,0.515964686870575,0.515964686870575,0.5462667942047119,training/exp/EXP_ratio_f0.base_2023-03-07_14-40/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.base_2023-03-07_14-40/logs/target/metrics.csv,120,2454,0,5985,,,,,,
GunPoint,ResNet_TS,True,0,0,128,5,0.6171875,0.6171875,0.7607267498970032,0.42798912525177,0.42798912525177,0.4088173508644104,training/exp/EXP_ratio_f0.1_2023-03-07_14-44/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_14-44/logs/target/metrics.csv,120,2454,3627,5985,0.9296875,0.9296875,0.9865058660507202,training/exp/EXP_ratio_f0.1_2023-03-07_14-44/logs/pretrain/checkpoints/epoch=33-step=612.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_14-44/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.7447916865348816,0.7447916865348816,0.7924178838729858,0.4741847813129425,0.4741847813129425,0.43625345826148987,training/exp/EXP_ratio_f0.1_2023-03-07_14-50/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_14-50/logs/target/metrics.csv,120,2454,7254,5985,0.9576480388641357,0.9576480388641357,0.9937470555305481,training/exp/EXP_ratio_f0.1_2023-03-07_14-50/logs/pretrain/checkpoints/epoch=25-step=962.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_14-50/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.625,0.625,0.8135080337524414,0.4694293439388275,0.4694293439388275,0.4160226583480835,training/exp/EXP_ratio_f0.1_2023-03-07_14-57/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_14-57/logs/target/metrics.csv,120,2454,10881,5985,0.9640067219734192,0.9640067219734192,0.9937589764595032,training/exp/EXP_ratio_f0.1_2023-03-07_14-57/logs/pretrain/checkpoints/epoch=50-step=2856.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_14-57/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.7395833134651184,0.7395833134651184,0.7448288202285767,0.41117528080940247,0.41117528080940247,0.4208102226257324,training/exp/EXP_ratio_f0.1_2023-03-07_15-05/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_15-05/logs/target/metrics.csv,120,2454,14508,5985,0.9451069235801697,0.9451069235801697,0.9948768615722656,training/exp/EXP_ratio_f0.1_2023-03-07_15-05/logs/pretrain/checkpoints/epoch=15-step=1200.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_15-05/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.5833333134651184,0.5833333134651184,0.7033333778381348,0.44089674949645996,0.44089674949645996,0.445553719997406,training/exp/EXP_ratio_f0.1_2023-03-07_15-15/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_15-15/logs/target/metrics.csv,120,2454,18135,5985,0.9506316781044006,0.9506316781044006,0.9908432960510254,training/exp/EXP_ratio_f0.1_2023-03-07_15-15/logs/pretrain/checkpoints/epoch=53-step=5022.ckpt,training/exp/EXP_ratio_f0.1_2023-03-07_15-15/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,False,0,0,128,5,0.612500011920929,0.612500011920929,0.5344427824020386,0.6433423757553101,0.6433423757553101,0.7049108743667603,training/exp/EXP_ratio_f0.base_2023-03-07_15-26/logs/target/checkpoints/epoch=66-step=1206.ckpt,training/exp/EXP_ratio_f0.base_2023-03-07_15-26/logs/target/metrics.csv,120,3681,0,5985,,,,,,
GunPoint,ResNet_TS,True,0,0,128,5,0.6343749761581421,0.6343749761581421,0.790901243686676,0.54347825050354,0.54347825050354,0.5415455102920532,training/exp/EXP_ratio_f0.2_2023-03-07_15-31/logs/target/checkpoints/epoch=81-step=1476.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-31/logs/target/metrics.csv,120,3681,3627,5985,0.9296875,0.9296875,0.9865058660507202,training/exp/EXP_ratio_f0.2_2023-03-07_15-31/logs/pretrain/checkpoints/epoch=33-step=612.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-31/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.590624988079071,0.590624988079071,0.6662566065788269,0.60377037525177,0.60377037525177,0.6516751050949097,training/exp/EXP_ratio_f0.2_2023-03-07_15-37/logs/target/checkpoints/epoch=24-step=450.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-37/logs/target/metrics.csv,120,3681,7254,5985,0.9576480388641357,0.9576480388641357,0.9937470555305481,training/exp/EXP_ratio_f0.2_2023-03-07_15-37/logs/pretrain/checkpoints/epoch=25-step=962.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-37/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.5843750238418579,0.5843750238418579,0.7342050671577454,0.43631115555763245,0.43631115555763245,0.45295023918151855,training/exp/EXP_ratio_f0.2_2023-03-07_15-45/logs/target/checkpoints/epoch=0-step=18.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-45/logs/target/metrics.csv,120,3681,10881,5985,0.9640067219734192,0.9640067219734192,0.9937589764595032,training/exp/EXP_ratio_f0.2_2023-03-07_15-45/logs/pretrain/checkpoints/epoch=50-step=2856.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-45/logs/pretrain/metrics.csv,60
GunPoint,ResNet_TS,True,0,0,128,5,0.589062511920929,0.589062511920929,0.7008880972862244,0.5575747489929199,0.5575747489929199,0.6250524520874023,training/exp/EXP_ratio_f0.2_2023-03-07_15-54/logs/target/checkpoints/epoch=14-step=270.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-54/logs/target/metrics.csv,120,3681,14508,5985,0.9451069235801697,0.9451069235801697,0.9948768615722656,training/exp/EXP_ratio_f0.2_2023-03-07_15-54/logs/pretrain/checkpoints/epoch=15-step=1200.ckpt,training/exp/EXP_ratio_f0.2_2023-03-07_15-54/logs/pretrain/metrics.csv,60
