dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Plane,ResNet_TS,False,3,0,128,5,0.5078125,0.5078125,0.3015453517436981,0.32779255509376526,0.32779255509376526,0.659263014793396,training/exp/EXP_ratio_f3.base_2023-03-11_12-34/logs/target/checkpoints/epoch=69-step=420.ckpt,training/exp/EXP_ratio_f3.base_2023-03-11_12-34/logs/target/metrics.csv,120,1235,0,6033,,,,,,
Plane,ResNet_TS,True,3,0,128,5,0.5078125,0.5078125,0.32189565896987915,0.3115026652812958,0.3115026652812958,0.6422742009162903,training/exp/EXP_ratio_f3.0_2023-03-11_12-40/logs/target/checkpoints/epoch=38-step=234.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_12-40/logs/target/metrics.csv,120,1235,3654,6033,0.9192708134651184,0.9192708134651184,0.9798277020454407,training/exp/EXP_ratio_f3.0_2023-03-11_12-40/logs/pretrain/checkpoints/epoch=29-step=540.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_12-40/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,3,0,128,5,0.4817708432674408,0.4817708432674408,0.31281399726867676,0.29604387283325195,0.29604387283325195,0.6316561698913574,training/exp/EXP_ratio_f3.0_2023-03-11_12-49/logs/target/checkpoints/epoch=32-step=198.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_12-49/logs/target/metrics.csv,120,1235,7308,6033,0.9202302694320679,0.9202302694320679,0.9819428324699402,training/exp/EXP_ratio_f3.0_2023-03-11_12-49/logs/pretrain/checkpoints/epoch=27-step=1036.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_12-49/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,3,0,128,5,0.5104166865348816,0.5104166865348816,0.32038038969039917,0.3120013177394867,0.3120013177394867,0.6455703377723694,training/exp/EXP_ratio_f3.0_2023-03-11_12-58/logs/target/checkpoints/epoch=37-step=228.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_12-58/logs/target/metrics.csv,120,1235,10963,6033,0.9268973469734192,0.9268973469734192,0.9840936660766602,training/exp/EXP_ratio_f3.0_2023-03-11_12-58/logs/pretrain/checkpoints/epoch=38-step=2184.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_12-58/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,3,0,128,5,0.4895833432674408,0.4895833432674408,0.3163430392742157,0.3030252754688263,0.3030252754688263,0.6432896852493286,training/exp/EXP_ratio_f3.0_2023-03-11_13-09/logs/target/checkpoints/epoch=34-step=210.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_13-09/logs/target/metrics.csv,120,1235,14617,6033,0.93359375,0.93359375,0.9836862683296204,training/exp/EXP_ratio_f3.0_2023-03-11_13-09/logs/pretrain/checkpoints/epoch=53-step=4050.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_13-09/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,3,0,128,5,0.4817708432674408,0.4817708432674408,0.31907349824905396,0.31000664830207825,0.31000664830207825,0.6535740494728088,training/exp/EXP_ratio_f3.0_2023-03-11_13-22/logs/target/checkpoints/epoch=40-step=246.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_13-22/logs/target/metrics.csv,120,1235,18273,6033,0.9313151240348816,0.9313151240348816,0.9854491353034973,training/exp/EXP_ratio_f3.0_2023-03-11_13-22/logs/pretrain/checkpoints/epoch=41-step=3948.ckpt,training/exp/EXP_ratio_f3.0_2023-03-11_13-22/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,False,3,0,128,5,0.2864583432674408,0.2864583432674408,0.4366322457790375,0.29321807622909546,0.29321807622909546,0.6459868550300598,training/exp/EXP_ratio_f3.base_2023-03-11_13-36/logs/target/checkpoints/epoch=49-step=600.ckpt,training/exp/EXP_ratio_f3.base_2023-03-11_13-36/logs/target/metrics.csv,120,2470,0,6033,,,,,,
Plane,ResNet_TS,True,3,0,128,5,0.3255208432674408,0.3255208432674408,0.4249888062477112,0.21509309113025665,0.21509309113025665,0.5851635336875916,training/exp/EXP_ratio_f3.1_2023-03-11_13-42/logs/target/checkpoints/epoch=6-step=84.ckpt,training/exp/EXP_ratio_f3.1_2023-03-11_13-42/logs/target/metrics.csv,120,2470,3654,6033,0.9192708134651184,0.9192708134651184,0.9798277020454407,training/exp/EXP_ratio_f3.1_2023-03-11_13-42/logs/pretrain/checkpoints/epoch=29-step=540.ckpt,training/exp/EXP_ratio_f3.1_2023-03-11_13-42/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,3,0,128,5,0.3138020932674408,0.3138020932674408,0.4342293441295624,0.23803190886974335,0.23803190886974335,0.60942542552948,training/exp/EXP_ratio_f3.1_2023-03-11_13-51/logs/target/checkpoints/epoch=12-step=156.ckpt,training/exp/EXP_ratio_f3.1_2023-03-11_13-51/logs/target/metrics.csv,120,2470,7308,6033,0.9202302694320679,0.9202302694320679,0.9819428324699402,training/exp/EXP_ratio_f3.1_2023-03-11_13-51/logs/pretrain/checkpoints/epoch=27-step=1036.ckpt,training/exp/EXP_ratio_f3.1_2023-03-11_13-51/logs/pretrain/metrics.csv,60
Plane,ResNet_TS,True,3,0,128,5,0.2994791567325592,0.2994791567325592,0.4506998062133789,0.2438497394323349,0.2438497394323349,0.6259939074516296,training/exp/EXP_ratio_f3.1_2023-03-11_14-01/logs/target/checkpoints/epoch=13-step=168.ckpt,training/exp/EXP_ratio_f3.1_2023-03-11_14-01/logs/target/metrics.csv,120,2470,10963,6033,0.9268973469734192,0.9268973469734192,0.9840936660766602,training/exp/EXP_ratio_f3.1_2023-03-11_14-01/logs/pretrain/checkpoints/epoch=38-step=2184.ckpt,training/exp/EXP_ratio_f3.1_2023-03-11_14-01/logs/pretrain/metrics.csv,60
