dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Coffee,CNN_DFS,False,3,0,128,5,1,0.578906238079071,0.578906238079071,0.5917023420333862,0.4479166567325592,0.4479166567325592,0.41215771436691284,training/exp/EXP_stride_f3.0_base_2023-03-15_11-28/logs/target/checkpoints/epoch=118-step=1904.ckpt,training/exp/EXP_stride_f3.0_base_2023-03-15_11-28/logs/target/metrics.csv,120,3417,0,3131,,,,,,
Coffee,CNN_DFS,True,3,0,128,5,1,0.7203124761581421,0.7203124761581421,0.703325629234314,0.5690104365348816,0.5690104365348816,0.5753903388977051,training/exp/EXP_stride_f3.0_2023-03-15_11-31/logs/target/checkpoints/epoch=113-step=1824.ckpt,training/exp/EXP_stride_f3.0_2023-03-15_11-31/logs/target/metrics.csv,120,3417,9995,3131,0.9039351940155029,0.9039351940155029,0.9795533418655396,training/exp/EXP_stride_f3.0_2023-03-15_11-31/logs/pretrain/checkpoints/epoch=47-step=2400.ckpt,training/exp/EXP_stride_f3.0_2023-03-15_11-31/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,False,3,0,128,5,2,0.507031261920929,0.507031261920929,0.47660911083221436,0.447265625,0.447265625,0.41816508769989014,training/exp/EXP_stride_f3.1_base_2023-03-15_11-36/logs/target/checkpoints/epoch=110-step=1776.ckpt,training/exp/EXP_stride_f3.1_base_2023-03-15_11-36/logs/target/metrics.csv,120,3402,0,3116,,,,,,
Coffee,CNN_DFS,True,3,0,128,5,2,0.6703125238418579,0.6703125238418579,0.6685711145401001,0.5413411259651184,0.5413411259651184,0.55021071434021,training/exp/EXP_stride_f3.1_2023-03-15_11-39/logs/target/checkpoints/epoch=38-step=624.ckpt,training/exp/EXP_stride_f3.1_2023-03-15_11-39/logs/target/metrics.csv,120,3402,9980,3116,0.8987268805503845,0.8987268805503845,0.9794443249702454,training/exp/EXP_stride_f3.1_2023-03-15_11-39/logs/pretrain/checkpoints/epoch=56-step=2850.ckpt,training/exp/EXP_stride_f3.1_2023-03-15_11-39/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,False,3,0,128,5,3,0.5406249761581421,0.5406249761581421,0.5236828923225403,0.451171875,0.451171875,0.45010656118392944,training/exp/EXP_stride_f3.2_base_2023-03-15_11-45/logs/target/checkpoints/epoch=117-step=1888.ckpt,training/exp/EXP_stride_f3.2_base_2023-03-15_11-45/logs/target/metrics.csv,120,3387,0,3101,,,,,,
Coffee,CNN_DFS,True,3,0,128,5,3,0.659375011920929,0.659375011920929,0.6681297421455383,0.5546875,0.5546875,0.5487347841262817,training/exp/EXP_stride_f3.2_2023-03-15_11-48/logs/target/checkpoints/epoch=38-step=624.ckpt,training/exp/EXP_stride_f3.2_2023-03-15_11-48/logs/target/metrics.csv,120,3387,9965,3101,0.8504050970077515,0.8504050970077515,0.9132135510444641,training/exp/EXP_stride_f3.2_2023-03-15_11-48/logs/pretrain/checkpoints/epoch=54-step=2750.ckpt,training/exp/EXP_stride_f3.2_2023-03-15_11-48/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,False,3,0,128,5,4,0.6467013955116272,0.6467013955116272,0.7264407873153687,0.5358073115348816,0.5358073115348816,0.5419661402702332,training/exp/EXP_stride_f3.3_base_2023-03-15_11-53/logs/target/checkpoints/epoch=118-step=1904.ckpt,training/exp/EXP_stride_f3.3_base_2023-03-15_11-53/logs/target/metrics.csv,120,3372,0,3086,,,,,,
Coffee,CNN_DFS,True,3,0,128,5,4,0.6901041865348816,0.6901041865348816,0.7456948757171631,0.5638020634651184,0.5638020634651184,0.5699735283851624,training/exp/EXP_stride_f3.3_2023-03-15_11-56/logs/target/checkpoints/epoch=46-step=752.ckpt,training/exp/EXP_stride_f3.3_2023-03-15_11-56/logs/target/metrics.csv,120,3372,9950,3086,0.8449074029922485,0.8449074029922485,0.9166330695152283,training/exp/EXP_stride_f3.3_2023-03-15_11-56/logs/pretrain/checkpoints/epoch=58-step=2950.ckpt,training/exp/EXP_stride_f3.3_2023-03-15_11-56/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,False,3,0,128,5,5,0.6953125,0.6953125,0.7402082681655884,0.53294837474823,0.53294837474823,0.5151341557502747,training/exp/EXP_stride_f3.4_base_2023-03-15_12-02/logs/target/checkpoints/epoch=115-step=1856.ckpt,training/exp/EXP_stride_f3.4_base_2023-03-15_12-02/logs/target/metrics.csv,120,3357,0,3071,,,,,,
Coffee,CNN_DFS,True,3,0,128,5,5,0.6935763955116272,0.6935763955116272,0.7370147109031677,0.5353260636329651,0.5353260636329651,0.5470811128616333,training/exp/EXP_stride_f3.4_2023-03-15_12-05/logs/target/checkpoints/epoch=45-step=736.ckpt,training/exp/EXP_stride_f3.4_2023-03-15_12-05/logs/target/metrics.csv,120,3357,9935,3071,0.914963960647583,0.914963960647583,0.989329993724823,training/exp/EXP_stride_f3.4_2023-03-15_12-05/logs/pretrain/checkpoints/epoch=50-step=2550.ckpt,training/exp/EXP_stride_f3.4_2023-03-15_12-05/logs/pretrain/metrics.csv,60
