dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
GunPoint,CNN_DFS,False,2,0,128,5,1,0.72216796875,0.72216796875,0.7532604932785034,0.618546187877655,0.618546187877655,0.6567292213439941,training/exp/EXP_stride_f2.0_base_2023-03-15_01-12/logs/target/checkpoints/epoch=19-step=620.ckpt,training/exp/EXP_stride_f2.0_base_2023-03-15_01-12/logs/target/metrics.csv,120,6135,0,5985,,,,,,
GunPoint,CNN_DFS,True,2,0,128,5,1,0.76611328125,0.76611328125,0.7835479378700256,0.6907268762588501,0.6907268762588501,0.7299268841743469,training/exp/EXP_stride_f2.0_2023-03-15_01-28/logs/target/checkpoints/epoch=76-step=2387.ckpt,training/exp/EXP_stride_f2.0_2023-03-15_01-28/logs/target/metrics.csv,120,6135,18135,5985,0.9045877456665039,0.9045877456665039,0.9802587628364563,training/exp/EXP_stride_f2.0_2023-03-15_01-28/logs/pretrain/checkpoints/epoch=56-step=5301.ckpt,training/exp/EXP_stride_f2.0_2023-03-15_01-28/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,False,2,0,128,5,1,0.7216796875,0.7216796875,0.7516154646873474,0.633661687374115,0.633661687374115,0.6982740759849548,training/exp/EXP_stride_f2.1_base_2023-03-15_01-56/logs/target/checkpoints/epoch=104-step=3255.ckpt,training/exp/EXP_stride_f2.1_base_2023-03-15_01-56/logs/target/metrics.csv,120,6120,0,5970,,,,,,
GunPoint,CNN_DFS,True,2,0,128,5,1,0.7607421875,0.7607421875,0.7947807908058167,0.6885190010070801,0.6885190010070801,0.7467983961105347,training/exp/EXP_stride_f2.1_2023-03-15_02-12/logs/target/checkpoints/epoch=114-step=3565.ckpt,training/exp/EXP_stride_f2.1_2023-03-15_02-12/logs/target/metrics.csv,120,6120,18120,5970,0.9074135422706604,0.9074135422706604,0.9808735847473145,training/exp/EXP_stride_f2.1_2023-03-15_02-12/logs/pretrain/checkpoints/epoch=50-step=4743.ckpt,training/exp/EXP_stride_f2.1_2023-03-15_02-12/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,False,2,0,128,5,1,0.72314453125,0.72314453125,0.7551376223564148,0.6621943116188049,0.6621943116188049,0.7137073874473572,training/exp/EXP_stride_f2.2_base_2023-03-15_02-41/logs/target/checkpoints/epoch=112-step=3503.ckpt,training/exp/EXP_stride_f2.2_base_2023-03-15_02-41/logs/target/metrics.csv,120,6105,0,5955,,,,,,
GunPoint,CNN_DFS,True,2,0,128,5,1,0.763671875,0.763671875,0.8107178807258606,0.701766312122345,0.701766312122345,0.774199366569519,training/exp/EXP_stride_f2.2_2023-03-15_02-57/logs/target/checkpoints/epoch=112-step=3503.ckpt,training/exp/EXP_stride_f2.2_2023-03-15_02-57/logs/target/metrics.csv,120,6105,18105,5955,0.8894614577293396,0.8894614577293396,0.9768713116645813,training/exp/EXP_stride_f2.2_2023-03-15_02-57/logs/pretrain/checkpoints/epoch=41-step=3906.ckpt,training/exp/EXP_stride_f2.2_2023-03-15_02-57/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,False,2,0,128,5,1,0.7099609375,0.7099609375,0.7355697154998779,0.6460598111152649,0.6460598111152649,0.7036213874816895,training/exp/EXP_stride_f2.3_base_2023-03-15_03-26/logs/target/checkpoints/epoch=48-step=1519.ckpt,training/exp/EXP_stride_f2.3_base_2023-03-15_03-26/logs/target/metrics.csv,120,6090,0,5940,,,,,,
GunPoint,CNN_DFS,True,2,0,128,5,1,0.759765625,0.759765625,0.7998440265655518,0.72044837474823,0.72044837474823,0.7832306623458862,training/exp/EXP_stride_f2.3_2023-03-15_03-42/logs/target/checkpoints/epoch=57-step=1798.ckpt,training/exp/EXP_stride_f2.3_2023-03-15_03-42/logs/target/metrics.csv,120,6090,18090,5940,0.6798537373542786,0.6798537373542786,0.8328479528427124,training/exp/EXP_stride_f2.3_2023-03-15_03-42/logs/pretrain/checkpoints/epoch=59-step=5580.ckpt,training/exp/EXP_stride_f2.3_2023-03-15_03-42/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,False,2,0,128,5,1,0.70458984375,0.70458984375,0.7366487979888916,0.6521739363670349,0.6521739363670349,0.7029470205307007,training/exp/EXP_stride_f2.4_base_2023-03-15_04-12/logs/target/checkpoints/epoch=44-step=1395.ckpt,training/exp/EXP_stride_f2.4_base_2023-03-15_04-12/logs/target/metrics.csv,120,6075,0,5925,,,,,,
GunPoint,CNN_DFS,True,2,0,128,5,1,0.75634765625,0.75634765625,0.7783432602882385,0.71042799949646,0.71042799949646,0.7710318565368652,training/exp/EXP_stride_f2.4_2023-03-15_04-28/logs/target/checkpoints/epoch=70-step=2201.ckpt,training/exp/EXP_stride_f2.4_2023-03-15_04-28/logs/target/metrics.csv,120,6075,18075,5925,0.8683510422706604,0.8683510422706604,0.9787460565567017,training/exp/EXP_stride_f2.4_2023-03-15_04-28/logs/pretrain/checkpoints/epoch=59-step=5580.ckpt,training/exp/EXP_stride_f2.4_2023-03-15_04-28/logs/pretrain/metrics.csv,60
