dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
Coffee,CNN_DFS,False,4,0,128,5,1,0.3125,0.3125,0.6895596981048584,0.3531900942325592,0.3531900942325592,0.4637736678123474,training/2023-03-20_22-43_EXP_ratio_CNN_DFS_Coffee_f4-base/logs/target/checkpoints/epoch=0-step=3.ckpt,training/2023-03-20_22-43_EXP_ratio_CNN_DFS_Coffee_f4-base/logs/target/metrics.csv,683,0,3131,,,,
Coffee,CNN_DFS,True,4,0,128,5,1,0.6875,0.6875,0.5772017240524292,0.6422526240348816,0.6422526240348816,0.4770153760910034,training/2023-03-20_22-48_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/checkpoints/epoch=0-step=3.ckpt,training/2023-03-20_22-48_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/metrics.csv,683,1998,3131,0.3279802203178406,0.9046775102615356,training/2023-03-20_22-48_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/checkpoints/epoch=57-step=580.ckpt,training/2023-03-20_22-48_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/metrics.csv
Coffee,CNN_DFS,True,4,0,128,5,1,0.6875,0.6875,0.11683239042758942,0.6468098759651184,0.6468098759651184,0.4475831687450409,training/2023-03-20_22-57_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/checkpoints/epoch=0-step=3.ckpt,training/2023-03-20_22-57_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/metrics.csv,683,3997,3131,0.23307493329048157,0.948962390422821,training/2023-03-20_22-57_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/checkpoints/epoch=57-step=1160.ckpt,training/2023-03-20_22-57_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/metrics.csv
Coffee,CNN_DFS,True,4,0,128,5,1,0.3125,0.3125,0.42322441935539246,0.3531900942325592,0.3531900942325592,0.46471917629241943,training/2023-03-20_23-07_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/checkpoints/epoch=0-step=3.ckpt,training/2023-03-20_23-07_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/metrics.csv,683,5996,3131,0.19586727023124695,0.9619008898735046,training/2023-03-20_23-07_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/checkpoints/epoch=57-step=1740.ckpt,training/2023-03-20_23-07_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/metrics.csv
Coffee,CNN_DFS,True,4,0,128,5,1,0.6875,0.6875,0.4438210129737854,0.640625,0.640625,0.48675966262817383,training/2023-03-20_23-18_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/checkpoints/epoch=0-step=3.ckpt,training/2023-03-20_23-18_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/metrics.csv,683,7995,3131,0.19893759489059448,0.9618388414382935,training/2023-03-20_23-18_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/checkpoints/epoch=50-step=2040.ckpt,training/2023-03-20_23-18_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/metrics.csv
Coffee,CNN_DFS,True,4,0,128,5,1,0.3125,0.3125,0.3248579502105713,0.3531900942325592,0.3531900942325592,0.4616471529006958,training/2023-03-20_23-30_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/checkpoints/epoch=0-step=3.ckpt,training/2023-03-20_23-30_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/target/metrics.csv,683,9995,3131,0.14756502211093903,0.9784078598022461,training/2023-03-20_23-30_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/checkpoints/epoch=56-step=2850.ckpt,training/2023-03-20_23-30_EXP_ratio_CNN_DFS_Coffee_f4-0/logs/pretrain/metrics.csv
Coffee,CNN_DFS,False,4,0,128,5,1,0.65625,0.65625,0.5448119640350342,0.3531900942325592,0.3531900942325592,0.46218937635421753,training/2023-03-20_23-43_EXP_ratio_CNN_DFS_Coffee_f4-base/logs/target/checkpoints/epoch=0-step=6.ckpt,training/2023-03-20_23-43_EXP_ratio_CNN_DFS_Coffee_f4-base/logs/target/metrics.csv,1366,0,3131,,,,
Coffee,CNN_DFS,True,4,0,128,5,1,0.6640625,0.6640625,0.46480992436408997,0.3583984375,0.3583984375,0.4731906056404114,training/2023-03-20_23-49_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/target/checkpoints/epoch=9-step=60.ckpt,training/2023-03-20_23-49_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/target/metrics.csv,1366,1998,3131,0.3279802203178406,0.9046775102615356,training/2023-03-20_23-49_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/pretrain/checkpoints/epoch=57-step=580.ckpt,training/2023-03-20_23-49_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/pretrain/metrics.csv
Coffee,CNN_DFS,True,4,0,128,5,1,0.65625,0.65625,0.4281824827194214,0.3531900942325592,0.3531900942325592,0.45628994703292847,training/2023-03-20_23-59_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/target/checkpoints/epoch=17-step=108.ckpt,training/2023-03-20_23-59_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/target/metrics.csv,1366,3997,3131,0.23307493329048157,0.948962390422821,training/2023-03-20_23-59_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/pretrain/checkpoints/epoch=57-step=1160.ckpt,training/2023-03-20_23-59_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/pretrain/metrics.csv
Coffee,CNN_DFS,True,4,0,128,5,1,0.65625,0.65625,0.46931228041648865,0.3531900942325592,0.3531900942325592,0.4621011018753052,training/2023-03-21_00-09_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/target/checkpoints/epoch=0-step=6.ckpt,training/2023-03-21_00-09_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/target/metrics.csv,1366,5996,3131,0.19586727023124695,0.9619008898735046,training/2023-03-21_00-09_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/pretrain/checkpoints/epoch=57-step=1740.ckpt,training/2023-03-21_00-09_EXP_ratio_CNN_DFS_Coffee_f4-1/logs/pretrain/metrics.csv
