dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
ECG200,CNN_DFS,False,4,0,128,5,1,0.625,0.625,0.5856282711029053,0.6982758641242981,0.6982758641242981,0.46242380142211914,training/2023-03-20_20-21_EXP_ratio_CNN_DFS_ECG200_f4-base/logs/target/checkpoints/epoch=0-step=4.ckpt,training/2023-03-20_20-21_EXP_ratio_CNN_DFS_ECG200_f4-base/logs/target/metrics.csv,784,0,3825,,,,
ECG200,CNN_DFS,True,4,0,128,5,1,0.625,0.625,0.4440755248069763,0.6982758641242981,0.6982758641242981,0.40762197971343994,training/2023-03-20_20-25_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/checkpoints/epoch=0-step=4.ckpt,training/2023-03-20_20-25_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/metrics.csv,784,2320,3825,0.39241501688957214,0.8461786508560181,training/2023-03-20_20-25_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/checkpoints/epoch=59-step=720.ckpt,training/2023-03-20_20-25_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/metrics.csv
ECG200,CNN_DFS,True,4,0,128,5,1,0.625,0.625,0.5570963621139526,0.6982758641242981,0.6982758641242981,0.474203497171402,training/2023-03-20_20-33_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/checkpoints/epoch=0-step=4.ckpt,training/2023-03-20_20-33_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/metrics.csv,784,4640,3825,0.3293408751487732,0.8906879425048828,training/2023-03-20_20-33_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/checkpoints/epoch=58-step=1416.ckpt,training/2023-03-20_20-33_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/metrics.csv
ECG200,CNN_DFS,True,4,0,128,5,1,0.765625,0.765625,0.7697266340255737,0.7152478694915771,0.7152478694915771,0.6098854541778564,training/2023-03-20_20-41_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/checkpoints/epoch=104-step=420.ckpt,training/2023-03-20_20-41_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/metrics.csv,784,6960,3825,0.2866608500480652,0.9170017242431641,training/2023-03-20_20-41_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/checkpoints/epoch=59-step=2160.ckpt,training/2023-03-20_20-41_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/metrics.csv
ECG200,CNN_DFS,True,4,0,128,5,1,0.63671875,0.63671875,0.5915364027023315,0.6998922228813171,0.6998922228813171,0.5123562812805176,training/2023-03-20_20-50_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/checkpoints/epoch=118-step=476.ckpt,training/2023-03-20_20-50_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/metrics.csv,784,9280,3825,0.2768611013889313,0.9222680330276489,training/2023-03-20_20-50_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/checkpoints/epoch=56-step=2736.ckpt,training/2023-03-20_20-50_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/metrics.csv
ECG200,CNN_DFS,True,4,0,128,5,1,0.71484375,0.71484375,0.7645833492279053,0.7103987336158752,0.7103987336158752,0.6145942807197571,training/2023-03-20_21-00_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/checkpoints/epoch=118-step=476.ckpt,training/2023-03-20_21-00_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/target/metrics.csv,784,11601,3825,0.2551419138908386,0.9344380497932434,training/2023-03-20_21-00_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/checkpoints/epoch=58-step=3540.ckpt,training/2023-03-20_21-00_EXP_ratio_CNN_DFS_ECG200_f4-0/logs/pretrain/metrics.csv
ECG200,CNN_DFS,False,4,0,128,5,1,0.8046875,0.8046875,0.8555338382720947,0.7241379022598267,0.7241379022598267,0.649066686630249,training/2023-03-20_21-10_EXP_ratio_CNN_DFS_ECG200_f4-base/logs/target/checkpoints/epoch=93-step=752.ckpt,training/2023-03-20_21-10_EXP_ratio_CNN_DFS_ECG200_f4-base/logs/target/metrics.csv,1568,0,3825,,,,
ECG200,CNN_DFS,True,4,0,128,5,1,0.802734375,0.802734375,0.8629882335662842,0.7155172228813171,0.7155172228813171,0.6395373344421387,training/2023-03-20_21-16_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/target/checkpoints/epoch=115-step=928.ckpt,training/2023-03-20_21-16_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/target/metrics.csv,1568,2320,3825,0.39241501688957214,0.8461786508560181,training/2023-03-20_21-16_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/pretrain/checkpoints/epoch=59-step=720.ckpt,training/2023-03-20_21-16_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/pretrain/metrics.csv
ECG200,CNN_DFS,True,4,0,128,5,1,0.828125,0.828125,0.8989745378494263,0.7332974076271057,0.7332974076271057,0.6381034255027771,training/2023-03-20_21-24_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/target/checkpoints/epoch=82-step=664.ckpt,training/2023-03-20_21-24_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/target/metrics.csv,1568,4640,3825,0.3293408751487732,0.8906879425048828,training/2023-03-20_21-24_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/pretrain/checkpoints/epoch=58-step=1416.ckpt,training/2023-03-20_21-24_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/pretrain/metrics.csv
ECG200,CNN_DFS,True,4,0,128,5,1,0.814453125,0.814453125,0.846728503704071,0.724946141242981,0.724946141242981,0.686667799949646,training/2023-03-20_21-32_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/target/checkpoints/epoch=105-step=848.ckpt,training/2023-03-20_21-32_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/target/metrics.csv,1568,6960,3825,0.2866608500480652,0.9170017242431641,training/2023-03-20_21-32_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/pretrain/checkpoints/epoch=59-step=2160.ckpt,training/2023-03-20_21-32_EXP_ratio_CNN_DFS_ECG200_f4-1/logs/pretrain/metrics.csv
