dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
GunPoint,CNN_DFS,False,1,0,128,5,0.43325525522232056,0.43325525522232056,0.19845879077911377,0.4987468719482422,0.4987468719482422,0.43562960624694824,training/exp/EXP_ratio_f1.base_2023-03-05_08-11/logs/target/checkpoints/epoch=0-step=7.ckpt,training/exp/EXP_ratio_f1.base_2023-03-05_08-11/logs/target/metrics.csv,240,1227,0,5985,,,,,,
GunPoint,CNN_DFS,True,1,0,128,5,0.5409836173057556,0.5409836173057556,0.450636625289917,0.5084377527236938,0.5084377527236938,0.45629405975341797,training/exp/EXP_ratio_f1.0_2023-03-05_08-40/logs/target/checkpoints/epoch=64-step=455.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_08-40/logs/target/metrics.csv,240,1227,3627,5985,0.738386332988739,0.738386332988739,0.9259975552558899,training/exp/EXP_ratio_f1.0_2023-03-05_08-40/logs/pretrain/checkpoints/epoch=40-step=779.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_08-40/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,True,1,0,128,5,0.44262295961380005,0.44262295961380005,0.4272615909576416,0.46900585293769836,0.46900585293769836,0.4494023323059082,training/exp/EXP_ratio_f1.0_2023-03-05_09-18/logs/target/checkpoints/epoch=155-step=1092.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_09-18/logs/target/metrics.csv,240,1227,7254,5985,0.8797881007194519,0.8797881007194519,0.9750440716743469,training/exp/EXP_ratio_f1.0_2023-03-05_09-18/logs/pretrain/checkpoints/epoch=55-step=2128.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_09-18/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,True,1,0,128,5,0.5831381678581238,0.5831381678581238,0.7118661999702454,0.5512113571166992,0.5512113571166992,0.5520821809768677,training/exp/EXP_ratio_f1.0_2023-03-05_09-58/logs/target/checkpoints/epoch=58-step=413.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_09-58/logs/target/metrics.csv,240,1227,10881,5985,0.8899755477905273,0.8899755477905273,0.975328266620636,training/exp/EXP_ratio_f1.0_2023-03-05_09-58/logs/pretrain/checkpoints/epoch=36-step=2109.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_09-58/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,True,1,0,128,5,0.466042160987854,0.466042160987854,0.4281717836856842,0.4763575494289398,0.4763575494289398,0.4476143717765808,training/exp/EXP_ratio_f1.0_2023-03-05_10-38/logs/target/checkpoints/epoch=122-step=861.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_10-38/logs/target/metrics.csv,240,1227,14508,5985,0.883659303188324,0.883659303188324,0.9735733270645142,training/exp/EXP_ratio_f1.0_2023-03-05_10-38/logs/pretrain/checkpoints/epoch=39-step=3000.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_10-38/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,True,1,0,128,5,0.6487119197845459,0.6487119197845459,0.6033560633659363,0.5769423842430115,0.5769423842430115,0.542107880115509,training/exp/EXP_ratio_f1.0_2023-03-05_11-20/logs/target/checkpoints/epoch=68-step=483.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_11-20/logs/target/metrics.csv,240,1227,18135,5985,0.9051344990730286,0.9051344990730286,0.9844667315483093,training/exp/EXP_ratio_f1.0_2023-03-05_11-20/logs/pretrain/checkpoints/epoch=46-step=4418.ckpt,training/exp/EXP_ratio_f1.0_2023-03-05_11-20/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,False,1,0,128,5,0.5644028186798096,0.5644028186798096,0.5572826862335205,0.6197159290313721,0.6197159290313721,0.6244739294052124,training/exp/EXP_ratio_f1.base_2023-03-05_12-03/logs/target/checkpoints/epoch=203-step=2652.ckpt,training/exp/EXP_ratio_f1.base_2023-03-05_12-03/logs/target/metrics.csv,240,2454,0,5985,,,,,,
GunPoint,CNN_DFS,True,1,0,128,5,0.5573770403862,0.5573770403862,0.5555761456489563,0.5223057866096497,0.5223057866096497,0.512220025062561,training/exp/EXP_ratio_f1.1_2023-03-05_12-35/logs/target/checkpoints/epoch=2-step=39.ckpt,training/exp/EXP_ratio_f1.1_2023-03-05_12-35/logs/target/metrics.csv,240,2454,3627,5985,0.7294213771820068,0.7294213771820068,0.928240954875946,training/exp/EXP_ratio_f1.1_2023-03-05_12-35/logs/pretrain/checkpoints/epoch=40-step=779.ckpt,training/exp/EXP_ratio_f1.1_2023-03-05_12-35/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,True,1,0,128,5,0.5456674695014954,0.5456674695014954,0.5849064588546753,0.5298245549201965,0.5298245549201965,0.49793699383735657,training/exp/EXP_ratio_f1.1_2023-03-05_13-15/logs/target/checkpoints/epoch=0-step=13.ckpt,training/exp/EXP_ratio_f1.1_2023-03-05_13-15/logs/target/metrics.csv,240,2454,7254,5985,0.8814181089401245,0.8814181089401245,0.9759055972099304,training/exp/EXP_ratio_f1.1_2023-03-05_13-15/logs/pretrain/checkpoints/epoch=56-step=2166.ckpt,training/exp/EXP_ratio_f1.1_2023-03-05_13-15/logs/pretrain/metrics.csv,60
GunPoint,CNN_DFS,True,1,0,128,5,0.5714285969734192,0.5714285969734192,0.5436853766441345,0.5662489533424377,0.5662489533424377,0.5357955694198608,training/exp/EXP_ratio_f1.1_2023-03-05_13-56/logs/target/checkpoints/epoch=26-step=351.ckpt,training/exp/EXP_ratio_f1.1_2023-03-05_13-56/logs/target/metrics.csv,240,2454,10881,5985,0.8929638862609863,0.8929638862609863,0.973695695400238,training/exp/EXP_ratio_f1.1_2023-03-05_13-56/logs/pretrain/checkpoints/epoch=37-step=2166.ckpt,training/exp/EXP_ratio_f1.1_2023-03-05_13-56/logs/pretrain/metrics.csv,60
