dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
PowerCons,CNN_DFS,False,1,0,128,5,0.7515624761581421,0.7515624761581421,0.7876245975494385,0.6786133050918579,0.6786133050918579,0.7389373779296875,training/exp/EXP_ratio_f1.base_2023-03-11_22-50/logs/target/checkpoints/epoch=5-step=60.ckpt,training/exp/EXP_ratio_f1.base_2023-03-11_22-50/logs/target/metrics.csv,120,2099,0,10353,,,,,,
PowerCons,CNN_DFS,True,1,0,128,5,0.721875011920929,0.721875011920929,0.7523739337921143,0.627148449420929,0.627148449420929,0.6833237409591675,training/exp/EXP_ratio_f1.0_2023-03-11_23-06/logs/target/checkpoints/epoch=3-step=40.ckpt,training/exp/EXP_ratio_f1.0_2023-03-11_23-06/logs/target/metrics.csv,120,2099,6246,10353,0.62841796875,0.62841796875,0.8706989288330078,training/exp/EXP_ratio_f1.0_2023-03-11_23-06/logs/pretrain/checkpoints/epoch=49-step=1600.ckpt,training/exp/EXP_ratio_f1.0_2023-03-11_23-06/logs/pretrain/metrics.csv,60
PowerCons,CNN_DFS,True,1,0,128,5,0.7437499761581421,0.7437499761581421,0.7437897324562073,0.657031238079071,0.657031238079071,0.7067742347717285,training/exp/EXP_ratio_f1.0_2023-03-11_23-31/logs/target/checkpoints/epoch=3-step=40.ckpt,training/exp/EXP_ratio_f1.0_2023-03-11_23-31/logs/target/metrics.csv,120,2099,12492,10353,0.667236328125,0.667236328125,0.8925651907920837,training/exp/EXP_ratio_f1.0_2023-03-11_23-31/logs/pretrain/checkpoints/epoch=47-step=3072.ckpt,training/exp/EXP_ratio_f1.0_2023-03-11_23-31/logs/pretrain/metrics.csv,60
PowerCons,CNN_DFS,True,1,0,128,5,0.737500011920929,0.737500011920929,0.695543110370636,0.652636706829071,0.652636706829071,0.6971473693847656,training/exp/EXP_ratio_f1.0_2023-03-11_23-57/logs/target/checkpoints/epoch=6-step=70.ckpt,training/exp/EXP_ratio_f1.0_2023-03-11_23-57/logs/target/metrics.csv,120,2099,18739,10353,0.6726722121238708,0.6726722121238708,0.8939206004142761,training/exp/EXP_ratio_f1.0_2023-03-11_23-57/logs/pretrain/checkpoints/epoch=58-step=5723.ckpt,training/exp/EXP_ratio_f1.0_2023-03-11_23-57/logs/pretrain/metrics.csv,60
PowerCons,CNN_DFS,True,1,0,128,5,0.7406250238418579,0.7406250238418579,0.6503854990005493,0.635449230670929,0.635449230670929,0.6529973149299622,training/exp/EXP_ratio_f1.0_2023-03-12_00-26/logs/target/checkpoints/epoch=2-step=30.ckpt,training/exp/EXP_ratio_f1.0_2023-03-12_00-26/logs/target/metrics.csv,120,2099,24985,10353,0.6854567527770996,0.6854567527770996,0.9028465151786804,training/exp/EXP_ratio_f1.0_2023-03-12_00-26/logs/pretrain/checkpoints/epoch=57-step=7482.ckpt,training/exp/EXP_ratio_f1.0_2023-03-12_00-26/logs/pretrain/metrics.csv,60
PowerCons,CNN_DFS,True,1,0,128,5,0.754687488079071,0.754687488079071,0.7164133787155151,0.6474609375,0.6474609375,0.7069869041442871,training/exp/EXP_ratio_f1.0_2023-03-12_00-58/logs/target/checkpoints/epoch=6-step=70.ckpt,training/exp/EXP_ratio_f1.0_2023-03-12_00-58/logs/target/metrics.csv,120,2099,31233,10353,0.6922637224197388,0.6922637224197388,0.8980672955513,training/exp/EXP_ratio_f1.0_2023-03-12_00-58/logs/pretrain/checkpoints/epoch=57-step=9396.ckpt,training/exp/EXP_ratio_f1.0_2023-03-12_00-58/logs/pretrain/metrics.csv,60
PowerCons,CNN_DFS,False,1,0,128,5,0.7286931872367859,0.7286931872367859,0.7638137340545654,0.678906261920929,0.678906261920929,0.742363452911377,training/exp/EXP_ratio_f1.base_2023-03-12_01-34/logs/target/checkpoints/epoch=0-step=21.ckpt,training/exp/EXP_ratio_f1.base_2023-03-12_01-34/logs/target/metrics.csv,120,4198,0,10353,,,,,,
PowerCons,CNN_DFS,True,1,0,128,5,0.7080965638160706,0.7080965638160706,0.7303503155708313,0.654296875,0.654296875,0.7004997730255127,training/exp/EXP_ratio_f1.1_2023-03-12_01-51/logs/target/checkpoints/epoch=1-step=42.ckpt,training/exp/EXP_ratio_f1.1_2023-03-12_01-51/logs/target/metrics.csv,120,4198,6246,10353,0.6279296875,0.6279296875,0.8686507344245911,training/exp/EXP_ratio_f1.1_2023-03-12_01-51/logs/pretrain/checkpoints/epoch=56-step=1824.ckpt,training/exp/EXP_ratio_f1.1_2023-03-12_01-51/logs/pretrain/metrics.csv,60
PowerCons,CNN_DFS,True,1,0,128,5,0.7258522510528564,0.7258522510528564,0.7428781986236572,0.6622070074081421,0.6622070074081421,0.7102882862091064,training/exp/EXP_ratio_f1.1_2023-03-12_02-17/logs/target/checkpoints/epoch=2-step=63.ckpt,training/exp/EXP_ratio_f1.1_2023-03-12_02-17/logs/target/metrics.csv,120,4198,12492,10353,0.66748046875,0.66748046875,0.8919265866279602,training/exp/EXP_ratio_f1.1_2023-03-12_02-17/logs/pretrain/checkpoints/epoch=53-step=3456.ckpt,training/exp/EXP_ratio_f1.1_2023-03-12_02-17/logs/pretrain/metrics.csv,60
PowerCons,CNN_DFS,True,1,0,128,5,0.7350852489471436,0.7350852489471436,0.7185205221176147,0.662109375,0.662109375,0.711588978767395,training/exp/EXP_ratio_f1.1_2023-03-12_02-45/logs/target/checkpoints/epoch=4-step=105.ckpt,training/exp/EXP_ratio_f1.1_2023-03-12_02-45/logs/target/metrics.csv,120,4198,18739,10353,0.672831654548645,0.672831654548645,0.8928394317626953,training/exp/EXP_ratio_f1.1_2023-03-12_02-45/logs/pretrain/checkpoints/epoch=55-step=5432.ckpt,training/exp/EXP_ratio_f1.1_2023-03-12_02-45/logs/pretrain/metrics.csv,60
