dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
PowerCons,CNN_DFS,False,4,0,128,5,1,0.7093750238418579,0.7093750238418579,0.6074028611183167,0.6211913824081421,0.6211913824081421,0.7039616107940674,training/2023-03-21_01-03_EXP_ratio_CNN_DFS_PowerCons_f4-base/logs/target/checkpoints/epoch=31-step=320.ckpt,training/2023-03-21_01-03_EXP_ratio_CNN_DFS_PowerCons_f4-base/logs/target/metrics.csv,2099,0,10353,,,,
PowerCons,CNN_DFS,True,4,0,128,5,1,0.707812488079071,0.707812488079071,0.7317482233047485,0.6009765863418579,0.6009765863418579,0.7301857471466064,training/2023-03-21_01-09_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/checkpoints/epoch=21-step=220.ckpt,training/2023-03-21_01-09_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/metrics.csv,2099,6246,10353,0.36364880204200745,0.8912390470504761,training/2023-03-21_01-09_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/checkpoints/epoch=58-step=1888.ckpt,training/2023-03-21_01-09_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/metrics.csv
PowerCons,CNN_DFS,True,4,0,128,5,1,0.729687511920929,0.729687511920929,0.7321352958679199,0.6363281011581421,0.6363281011581421,0.7490533590316772,training/2023-03-21_01-20_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/checkpoints/epoch=18-step=190.ckpt,training/2023-03-21_01-20_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/metrics.csv,2099,12492,10353,0.3383479714393616,0.9000337719917297,training/2023-03-21_01-20_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/checkpoints/epoch=58-step=3776.ckpt,training/2023-03-21_01-20_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/metrics.csv
PowerCons,CNN_DFS,True,4,0,128,5,1,0.7265625,0.7265625,0.7301136255264282,0.6449218988418579,0.6449218988418579,0.7500602602958679,training/2023-03-21_01-35_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/checkpoints/epoch=17-step=180.ckpt,training/2023-03-21_01-35_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/metrics.csv,2099,18739,10353,0.27552005648612976,0.9318168759346008,training/2023-03-21_01-35_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/checkpoints/epoch=54-step=5335.ckpt,training/2023-03-21_01-35_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/metrics.csv
PowerCons,CNN_DFS,True,4,0,128,5,1,0.7328125238418579,0.7328125238418579,0.7259520292282104,0.613574206829071,0.613574206829071,0.7266381978988647,training/2023-03-21_01-54_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/checkpoints/epoch=17-step=180.ckpt,training/2023-03-21_01-54_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/metrics.csv,2099,24985,10353,0.24438783526420593,0.9467059373855591,training/2023-03-21_01-54_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/checkpoints/epoch=54-step=7095.ckpt,training/2023-03-21_01-54_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/metrics.csv
PowerCons,CNN_DFS,True,4,0,128,5,1,0.7281249761581421,0.7281249761581421,0.7428568601608276,0.634082019329071,0.634082019329071,0.7522999048233032,training/2023-03-21_02-17_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/checkpoints/epoch=12-step=130.ckpt,training/2023-03-21_02-17_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/target/metrics.csv,2099,31233,10353,0.22739627957344055,0.9546253085136414,training/2023-03-21_02-17_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/checkpoints/epoch=59-step=9720.ckpt,training/2023-03-21_02-17_EXP_ratio_CNN_DFS_PowerCons_f4-0/logs/pretrain/metrics.csv
PowerCons,CNN_DFS,False,4,0,128,5,1,0.6335227489471436,0.6335227489471436,0.6592109799385071,0.653027355670929,0.653027355670929,0.7414532899856567,training/2023-03-21_02-45_EXP_ratio_CNN_DFS_PowerCons_f4-base/logs/target/checkpoints/epoch=6-step=147.ckpt,training/2023-03-21_02-45_EXP_ratio_CNN_DFS_PowerCons_f4-base/logs/target/metrics.csv,4198,0,10353,,,,
PowerCons,CNN_DFS,True,4,0,128,5,1,0.6221590638160706,0.6221590638160706,0.6571723222732544,0.578417956829071,0.578417956829071,0.7317639589309692,training/2023-03-21_02-54_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/target/checkpoints/epoch=4-step=105.ckpt,training/2023-03-21_02-54_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/target/metrics.csv,4198,6246,10353,0.36364880204200745,0.8912390470504761,training/2023-03-21_02-54_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/pretrain/checkpoints/epoch=58-step=1888.ckpt,training/2023-03-21_02-54_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/pretrain/metrics.csv
PowerCons,CNN_DFS,True,4,0,128,5,1,0.6491477489471436,0.6491477489471436,0.6710465550422668,0.62939453125,0.62939453125,0.7457332611083984,training/2023-03-21_03-08_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/target/checkpoints/epoch=8-step=189.ckpt,training/2023-03-21_03-08_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/target/metrics.csv,4198,12492,10353,0.3383479714393616,0.9000337719917297,training/2023-03-21_03-08_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/pretrain/checkpoints/epoch=58-step=3776.ckpt,training/2023-03-21_03-08_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/pretrain/metrics.csv
PowerCons,CNN_DFS,True,4,0,128,5,1,0.6420454382896423,0.6420454382896423,0.6740910410881042,0.6214843988418579,0.6214843988418579,0.7521945834159851,training/2023-03-21_03-25_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/target/checkpoints/epoch=4-step=105.ckpt,training/2023-03-21_03-25_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/target/metrics.csv,4198,18739,10353,0.27552005648612976,0.9318168759346008,training/2023-03-21_03-25_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/pretrain/checkpoints/epoch=54-step=5335.ckpt,training/2023-03-21_03-25_EXP_ratio_CNN_DFS_PowerCons_f4-1/logs/pretrain/metrics.csv
