dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
Trace,CNN_DFS,False,0,0,128,5,1,0.5221354365348816,0.5221354365348816,0.7482841610908508,0.3201286792755127,0.3201286792755127,0.645233690738678,training/2023-03-20_23-53_EXP_ratio_CNN_DFS_Trace_f0-base/logs/target/checkpoints/epoch=66-step=737.ckpt,training/2023-03-20_23-53_EXP_ratio_CNN_DFS_Trace_f0-base/logs/target/metrics.csv,2251,0,10985,,,,
Trace,CNN_DFS,True,0,0,128,5,1,0.6236979365348816,0.6236979365348816,0.8146582841873169,0.43318015336990356,0.43318015336990356,0.6616670489311218,training/2023-03-21_00-00_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/checkpoints/epoch=91-step=1012.ckpt,training/2023-03-21_00-00_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/metrics.csv,2251,6652,10985,0.3222690522670746,0.8962518572807312,training/2023-03-21_00-00_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/checkpoints/epoch=51-step=1768.ckpt,training/2023-03-21_00-00_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/metrics.csv
Trace,CNN_DFS,True,0,0,128,5,1,0.6106770634651184,0.6106770634651184,0.8568053841590881,0.40422794222831726,0.40422794222831726,0.6801411509513855,training/2023-03-21_00-13_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/checkpoints/epoch=116-step=1287.ckpt,training/2023-03-21_00-13_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/metrics.csv,2251,13304,10985,0.25906166434288025,0.931978702545166,training/2023-03-21_00-13_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/checkpoints/epoch=56-step=3876.ckpt,training/2023-03-21_00-13_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/metrics.csv
Trace,CNN_DFS,True,0,0,128,5,1,0.6028645634651184,0.6028645634651184,0.7971552610397339,0.453125,0.453125,0.6908570528030396,training/2023-03-21_00-31_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/checkpoints/epoch=93-step=1034.ckpt,training/2023-03-21_00-31_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/metrics.csv,2251,19956,10985,0.24533399939537048,0.9409002065658569,training/2023-03-21_00-31_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/checkpoints/epoch=55-step=5768.ckpt,training/2023-03-21_00-31_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/metrics.csv
Trace,CNN_DFS,True,0,0,128,5,1,0.6106770634651184,0.6106770634651184,0.8496105074882507,0.5277573466300964,0.5277573466300964,0.7088135480880737,training/2023-03-21_00-54_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/checkpoints/epoch=119-step=1320.ckpt,training/2023-03-21_00-54_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/metrics.csv,2251,26608,10985,0.17562107741832733,0.9692716598510742,training/2023-03-21_00-54_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/checkpoints/epoch=58-step=8083.ckpt,training/2023-03-21_00-54_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/metrics.csv
Trace,CNN_DFS,True,0,0,128,5,1,0.6263020634651184,0.6263020634651184,0.8421088457107544,0.4751838147640228,0.4751838147640228,0.7159993648529053,training/2023-03-21_01-22_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/checkpoints/epoch=107-step=1188.ckpt,training/2023-03-21_01-22_EXP_ratio_CNN_DFS_Trace_f0-0/logs/target/metrics.csv,2251,33260,10985,0.16312940418720245,0.97344571352005,training/2023-03-21_01-22_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/checkpoints/epoch=51-step=8892.ckpt,training/2023-03-21_01-22_EXP_ratio_CNN_DFS_Trace_f0-0/logs/pretrain/metrics.csv
Trace,CNN_DFS,False,0,0,128,5,1,0.4114583432674408,0.4114583432674408,0.6817065477371216,0.3633272051811218,0.3633272051811218,0.6673563718795776,training/2023-03-21_01-56_EXP_ratio_CNN_DFS_Trace_f0-base/logs/target/checkpoints/epoch=103-step=2288.ckpt,training/2023-03-21_01-56_EXP_ratio_CNN_DFS_Trace_f0-base/logs/target/metrics.csv,4503,0,10985,,,,
Trace,CNN_DFS,True,0,0,128,5,1,0.4016927182674408,0.4016927182674408,0.739014744758606,0.3336397111415863,0.3336397111415863,0.639423131942749,training/2023-03-21_02-06_EXP_ratio_CNN_DFS_Trace_f0-1/logs/target/checkpoints/epoch=63-step=1408.ckpt,training/2023-03-21_02-06_EXP_ratio_CNN_DFS_Trace_f0-1/logs/target/metrics.csv,4503,6652,10985,0.3222690522670746,0.8962518572807312,training/2023-03-21_02-06_EXP_ratio_CNN_DFS_Trace_f0-1/logs/pretrain/checkpoints/epoch=51-step=1768.ckpt,training/2023-03-21_02-06_EXP_ratio_CNN_DFS_Trace_f0-1/logs/pretrain/metrics.csv
Trace,CNN_DFS,True,0,0,128,5,1,0.435546875,0.435546875,0.7548246383666992,0.3641543984413147,0.3641543984413147,0.6693235635757446,training/2023-03-21_02-22_EXP_ratio_CNN_DFS_Trace_f0-1/logs/target/checkpoints/epoch=87-step=1936.ckpt,training/2023-03-21_02-22_EXP_ratio_CNN_DFS_Trace_f0-1/logs/target/metrics.csv,4503,13304,10985,0.25906166434288025,0.931978702545166,training/2023-03-21_02-22_EXP_ratio_CNN_DFS_Trace_f0-1/logs/pretrain/checkpoints/epoch=56-step=3876.ckpt,training/2023-03-21_02-22_EXP_ratio_CNN_DFS_Trace_f0-1/logs/pretrain/metrics.csv
Trace,CNN_DFS,True,0,0,128,5,1,0.4563802182674408,0.4563802182674408,0.7209845781326294,0.4468750059604645,0.4468750059604645,0.6975909471511841,training/2023-03-21_02-43_EXP_ratio_CNN_DFS_Trace_f0-1/logs/target/checkpoints/epoch=70-step=1562.ckpt,training/2023-03-21_02-43_EXP_ratio_CNN_DFS_Trace_f0-1/logs/target/metrics.csv,4503,19956,10985,0.24533399939537048,0.9409002065658569,training/2023-03-21_02-43_EXP_ratio_CNN_DFS_Trace_f0-1/logs/pretrain/checkpoints/epoch=55-step=5768.ckpt,training/2023-03-21_02-43_EXP_ratio_CNN_DFS_Trace_f0-1/logs/pretrain/metrics.csv
