dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
CBF,CNN_TS,False,1,0,128,5,0.3977864682674408,0.3977864682674408,0.5423205494880676,0.38994932174682617,0.38994932174682617,0.5657081007957458,training/exp/EXP_ratio_f1.base_2023-03-13_16-20/logs/target/checkpoints/epoch=110-step=2664.ckpt,training/exp/EXP_ratio_f1.base_2023-03-13_16-20/logs/target/metrics.csv,120,4783,0,23793,,,,,,
CBF,CNN_TS,True,1,0,128,5,0.4381510317325592,0.4381510317325592,0.5713333487510681,0.41946789622306824,0.41946789622306824,0.5663794875144958,training/exp/EXP_ratio_f1.0_2023-03-13_16-28/logs/target/checkpoints/epoch=71-step=1728.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_16-28/logs/target/metrics.csv,120,4783,14307,23793,0.5183699131011963,0.5183699131011963,0.8219512701034546,training/exp/EXP_ratio_f1.0_2023-03-13_16-28/logs/pretrain/checkpoints/epoch=50-step=3774.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_16-28/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,1,0,128,5,0.4576822817325592,0.4576822817325592,0.5743985176086426,0.45012667775154114,0.45012667775154114,0.575968325138092,training/exp/EXP_ratio_f1.0_2023-03-13_16-44/logs/target/checkpoints/epoch=59-step=1440.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_16-44/logs/target/metrics.csv,120,4783,28614,23793,0.5024282336235046,0.5024282336235046,0.8107643127441406,training/exp/EXP_ratio_f1.0_2023-03-13_16-44/logs/pretrain/checkpoints/epoch=48-step=7252.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_16-44/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,1,0,128,5,0.4381510317325592,0.4381510317325592,0.5561227798461914,0.4024493098258972,0.4024493098258972,0.562824547290802,training/exp/EXP_ratio_f1.0_2023-03-13_17-09/logs/target/checkpoints/epoch=66-step=1608.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_17-09/logs/target/metrics.csv,120,4783,42921,23793,0.5098353624343872,0.5098353624343872,0.8226903676986694,training/exp/EXP_ratio_f1.0_2023-03-13_17-09/logs/pretrain/checkpoints/epoch=54-step=12265.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_17-09/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,1,0,128,5,0.4544270932674408,0.4544270932674408,0.5875486135482788,0.4251689314842224,0.4251689314842224,0.5534504652023315,training/exp/EXP_ratio_f1.0_2023-03-13_17-50/logs/target/checkpoints/epoch=2-step=72.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_17-50/logs/target/metrics.csv,120,4783,57228,23793,0.5110108852386475,0.5110108852386475,0.8214120864868164,training/exp/EXP_ratio_f1.0_2023-03-13_17-50/logs/pretrain/checkpoints/epoch=42-step=12771.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_17-50/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,1,0,128,5,0.4609375,0.4609375,0.5967767238616943,0.4197635054588318,0.4197635054588318,0.563414990901947,training/exp/EXP_ratio_f1.0_2023-03-13_18-47/logs/target/checkpoints/epoch=0-step=24.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_18-47/logs/target/metrics.csv,120,4783,71537,23793,0.5165910720825195,0.5165910720825195,0.8219984173774719,training/exp/EXP_ratio_f1.0_2023-03-13_18-47/logs/pretrain/checkpoints/epoch=31-step=11904.ckpt,training/exp/EXP_ratio_f1.0_2023-03-13_18-47/logs/pretrain/metrics.csv,60
CBF,CNN_TS,False,1,0,128,5,0.3981249928474426,0.3981249928474426,0.5090310573577881,0.3797297179698944,0.3797297179698944,0.5013988018035889,training/exp/EXP_ratio_f1.base_2023-03-13_20-12/logs/target/checkpoints/epoch=0-step=49.ckpt,training/exp/EXP_ratio_f1.base_2023-03-13_20-12/logs/target/metrics.csv,120,9567,0,23793,,,,,,
CBF,CNN_TS,True,1,0,128,5,0.35062500834465027,0.35062500834465027,0.4420407712459564,0.3145270347595215,0.3145270347595215,0.46710968017578125,training/exp/EXP_ratio_f1.1_2023-03-13_20-25/logs/target/checkpoints/epoch=18-step=931.ckpt,training/exp/EXP_ratio_f1.1_2023-03-13_20-25/logs/target/metrics.csv,120,9567,14307,23793,0.5183699131011963,0.5183699131011963,0.8219512701034546,training/exp/EXP_ratio_f1.1_2023-03-13_20-25/logs/pretrain/checkpoints/epoch=50-step=3774.ckpt,training/exp/EXP_ratio_f1.1_2023-03-13_20-25/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,1,0,128,5,0.4243749976158142,0.4243749976158142,0.5551677346229553,0.4168919026851654,0.4168919026851654,0.5901420712471008,training/exp/EXP_ratio_f1.1_2023-03-13_20-45/logs/target/checkpoints/epoch=3-step=196.ckpt,training/exp/EXP_ratio_f1.1_2023-03-13_20-45/logs/target/metrics.csv,120,9567,28614,23793,0.5024282336235046,0.5024282336235046,0.8107643127441406,training/exp/EXP_ratio_f1.1_2023-03-13_20-45/logs/pretrain/checkpoints/epoch=48-step=7252.ckpt,training/exp/EXP_ratio_f1.1_2023-03-13_20-45/logs/pretrain/metrics.csv,60
CBF,CNN_TS,True,1,0,128,5,0.4221875071525574,0.4221875071525574,0.5800567865371704,0.4162162244319916,0.4162162244319916,0.6031622290611267,training/exp/EXP_ratio_f1.1_2023-03-13_21-14/logs/target/checkpoints/epoch=2-step=147.ckpt,training/exp/EXP_ratio_f1.1_2023-03-13_21-14/logs/target/metrics.csv,120,9567,42921,23793,0.5098353624343872,0.5098353624343872,0.8226903676986694,training/exp/EXP_ratio_f1.1_2023-03-13_21-14/logs/pretrain/checkpoints/epoch=54-step=12265.ckpt,training/exp/EXP_ratio_f1.1_2023-03-13_21-14/logs/pretrain/metrics.csv,60
