dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
GunPoint,CNN_TS,False,4,0,128,5,0.4817708432674408,0.4817708432674408,0.5831929445266724,0.515964686870575,0.515964686870575,0.5242106914520264,training/exp/EXP_ratio_f4.base_2023-03-08_11-28/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.base_2023-03-08_11-28/logs/target/metrics.csv,120,1227,0,5985,,,,,,
GunPoint,CNN_TS,True,4,0,128,5,0.6432291865348816,0.6432291865348816,0.5473040342330933,0.573879063129425,0.573879063129425,0.5072673559188843,training/exp/EXP_ratio_f4.0_2023-03-08_11-32/logs/target/checkpoints/epoch=3-step=24.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-32/logs/target/metrics.csv,120,1227,3627,5985,0.8394097089767456,0.8394097089767456,0.9749946594238281,training/exp/EXP_ratio_f4.0_2023-03-08_11-32/logs/pretrain/checkpoints/epoch=54-step=990.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-32/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,4,0,128,5,0.5208333134651184,0.5208333134651184,0.46692925691604614,0.44972825050354004,0.44972825050354004,0.4286602735519409,training/exp/EXP_ratio_f4.0_2023-03-08_11-39/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-39/logs/target/metrics.csv,120,1227,7254,5985,0.8478618264198303,0.8478618264198303,0.9759612083435059,training/exp/EXP_ratio_f4.0_2023-03-08_11-39/logs/pretrain/checkpoints/epoch=57-step=2146.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-39/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,4,0,128,5,0.515625,0.515625,0.4710036516189575,0.4142323434352875,0.4142323434352875,0.44515588879585266,training/exp/EXP_ratio_f4.0_2023-03-08_11-47/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-47/logs/target/metrics.csv,120,1227,10881,5985,0.8635602593421936,0.8635602593421936,0.9773985147476196,training/exp/EXP_ratio_f4.0_2023-03-08_11-47/logs/pretrain/checkpoints/epoch=57-step=3248.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-47/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,4,0,128,5,0.5182291865348816,0.5182291865348816,0.47746843099594116,0.4373301565647125,0.4373301565647125,0.45073240995407104,training/exp/EXP_ratio_f4.0_2023-03-08_11-56/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-56/logs/target/metrics.csv,120,1227,14508,5985,0.8795230388641357,0.8795230388641357,0.9829493761062622,training/exp/EXP_ratio_f4.0_2023-03-08_11-56/logs/pretrain/checkpoints/epoch=52-step=3975.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_11-56/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,4,0,128,5,0.4817708432674408,0.4817708432674408,0.45090317726135254,0.515285313129425,0.515285313129425,0.41446653008461,training/exp/EXP_ratio_f4.0_2023-03-08_12-08/logs/target/checkpoints/epoch=13-step=84.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_12-08/logs/target/metrics.csv,120,1227,18135,5985,0.8460771441459656,0.8460771441459656,0.9790910482406616,training/exp/EXP_ratio_f4.0_2023-03-08_12-08/logs/pretrain/checkpoints/epoch=21-step=2046.ckpt,training/exp/EXP_ratio_f4.0_2023-03-08_12-08/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,False,4,0,128,5,0.4140625,0.4140625,0.4401712119579315,0.515964686870575,0.515964686870575,0.49855127930641174,training/exp/EXP_ratio_f4.base_2023-03-08_12-24/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f4.base_2023-03-08_12-24/logs/target/metrics.csv,120,2454,0,5985,,,,,,
GunPoint,CNN_TS,True,4,0,128,5,0.5859375,0.5859375,0.7241649627685547,0.5832201242446899,0.5832201242446899,0.6380198001861572,training/exp/EXP_ratio_f4.1_2023-03-08_12-31/logs/target/checkpoints/epoch=114-step=1380.ckpt,training/exp/EXP_ratio_f4.1_2023-03-08_12-31/logs/target/metrics.csv,120,2454,3627,5985,0.8394097089767456,0.8394097089767456,0.9749946594238281,training/exp/EXP_ratio_f4.1_2023-03-08_12-31/logs/pretrain/checkpoints/epoch=54-step=990.ckpt,training/exp/EXP_ratio_f4.1_2023-03-08_12-31/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,4,0,128,5,0.60546875,0.60546875,0.5824458599090576,0.56199049949646,0.56199049949646,0.5262296199798584,training/exp/EXP_ratio_f4.1_2023-03-08_12-41/logs/target/checkpoints/epoch=5-step=72.ckpt,training/exp/EXP_ratio_f4.1_2023-03-08_12-41/logs/target/metrics.csv,120,2454,7254,5985,0.8478618264198303,0.8478618264198303,0.9759612083435059,training/exp/EXP_ratio_f4.1_2023-03-08_12-41/logs/pretrain/checkpoints/epoch=57-step=2146.ckpt,training/exp/EXP_ratio_f4.1_2023-03-08_12-41/logs/pretrain/metrics.csv,60
GunPoint,CNN_TS,True,4,0,128,5,0.5286458134651184,0.5286458134651184,0.6340618133544922,0.55417799949646,0.55417799949646,0.558025598526001,training/exp/EXP_ratio_f4.1_2023-03-08_12-52/logs/target/checkpoints/epoch=35-step=432.ckpt,training/exp/EXP_ratio_f4.1_2023-03-08_12-52/logs/target/metrics.csv,120,2454,10881,5985,0.8635602593421936,0.8635602593421936,0.9773985147476196,training/exp/EXP_ratio_f4.1_2023-03-08_12-52/logs/pretrain/checkpoints/epoch=57-step=3248.ckpt,training/exp/EXP_ratio_f4.1_2023-03-08_12-52/logs/pretrain/metrics.csv,60
