dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
PowerCons,CNN_TS,False,3,0,128,5,0.651562511920929,0.651562511920929,0.5000268816947937,0.4952148497104645,0.4952148497104645,0.6077289581298828,training/exp/EXP_ratio_f3.base_2023-03-10_17-14/logs/target/checkpoints/epoch=2-step=30.ckpt,training/exp/EXP_ratio_f3.base_2023-03-10_17-14/logs/target/metrics.csv,120,2099,0,10353,,,,,,
PowerCons,CNN_TS,True,3,0,128,5,0.651562511920929,0.651562511920929,0.5006021857261658,0.4952148497104645,0.4952148497104645,0.5712573528289795,training/exp/EXP_ratio_f3.0_2023-03-10_17-20/logs/target/checkpoints/epoch=7-step=80.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-20/logs/target/metrics.csv,120,2099,6246,10353,0.6923828125,0.6923828125,0.8914327621459961,training/exp/EXP_ratio_f3.0_2023-03-10_17-20/logs/pretrain/checkpoints/epoch=40-step=1312.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-20/logs/pretrain/metrics.csv,60
PowerCons,CNN_TS,True,3,0,128,5,0.6499999761581421,0.6499999761581421,0.4979326128959656,0.49150389432907104,0.49150389432907104,0.5104730725288391,training/exp/EXP_ratio_f3.0_2023-03-10_17-31/logs/target/checkpoints/epoch=70-step=710.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-31/logs/target/metrics.csv,120,2099,12492,10353,0.712158203125,0.712158203125,0.8973006010055542,training/exp/EXP_ratio_f3.0_2023-03-10_17-31/logs/pretrain/checkpoints/epoch=58-step=3776.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-31/logs/pretrain/metrics.csv,60
PowerCons,CNN_TS,True,3,0,128,5,0.6499999761581421,0.6499999761581421,0.4804147481918335,0.5013672113418579,0.5013672113418579,0.5151360630989075,training/exp/EXP_ratio_f3.0_2023-03-10_17-43/logs/target/checkpoints/epoch=85-step=860.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-43/logs/target/metrics.csv,120,2099,18739,10353,0.6919642686843872,0.6919642686843872,0.8913121223449707,training/exp/EXP_ratio_f3.0_2023-03-10_17-43/logs/pretrain/checkpoints/epoch=53-step=5238.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-43/logs/pretrain/metrics.csv,60
PowerCons,CNN_TS,True,3,0,128,5,0.6499999761581421,0.6499999761581421,0.45663559436798096,0.5030273199081421,0.5030273199081421,0.47332262992858887,training/exp/EXP_ratio_f3.0_2023-03-10_17-59/logs/target/checkpoints/epoch=87-step=880.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-59/logs/target/metrics.csv,120,2099,24985,10353,0.7145432829856873,0.7145432829856873,0.902592658996582,training/exp/EXP_ratio_f3.0_2023-03-10_17-59/logs/pretrain/checkpoints/epoch=53-step=6966.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_17-59/logs/pretrain/metrics.csv,60
PowerCons,CNN_TS,True,3,0,128,5,0.651562511920929,0.651562511920929,0.4906845688819885,0.4862304627895355,0.4862304627895355,0.4951696991920471,training/exp/EXP_ratio_f3.0_2023-03-10_18-17/logs/target/checkpoints/epoch=55-step=560.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_18-17/logs/target/metrics.csv,120,2099,31233,10353,0.7147485017776489,0.7147485017776489,0.9090331196784973,training/exp/EXP_ratio_f3.0_2023-03-10_18-17/logs/pretrain/checkpoints/epoch=50-step=8262.ckpt,training/exp/EXP_ratio_f3.0_2023-03-10_18-17/logs/pretrain/metrics.csv,60
PowerCons,CNN_TS,False,3,0,128,5,0.6448863744735718,0.6448863744735718,0.6465371251106262,0.598925769329071,0.598925769329071,0.6591743230819702,training/exp/EXP_ratio_f3.base_2023-03-10_18-41/logs/target/checkpoints/epoch=115-step=2436.ckpt,training/exp/EXP_ratio_f3.base_2023-03-10_18-41/logs/target/metrics.csv,120,4198,0,10353,,,,,,
PowerCons,CNN_TS,True,3,0,128,5,0.65625,0.65625,0.6659342050552368,0.631542980670929,0.631542980670929,0.674129843711853,training/exp/EXP_ratio_f3.1_2023-03-10_18-48/logs/target/checkpoints/epoch=1-step=42.ckpt,training/exp/EXP_ratio_f3.1_2023-03-10_18-48/logs/target/metrics.csv,120,4198,6246,10353,0.6923828125,0.6923828125,0.8914327621459961,training/exp/EXP_ratio_f3.1_2023-03-10_18-48/logs/pretrain/checkpoints/epoch=40-step=1312.ckpt,training/exp/EXP_ratio_f3.1_2023-03-10_18-48/logs/pretrain/metrics.csv,60
PowerCons,CNN_TS,True,3,0,128,5,0.6725852489471436,0.6725852489471436,0.6636743545532227,0.646679699420929,0.646679699420929,0.6682138442993164,training/exp/EXP_ratio_f3.1_2023-03-10_18-58/logs/target/checkpoints/epoch=3-step=84.ckpt,training/exp/EXP_ratio_f3.1_2023-03-10_18-58/logs/target/metrics.csv,120,4198,12492,10353,0.712158203125,0.712158203125,0.8973006010055542,training/exp/EXP_ratio_f3.1_2023-03-10_18-58/logs/pretrain/checkpoints/epoch=58-step=3776.ckpt,training/exp/EXP_ratio_f3.1_2023-03-10_18-58/logs/pretrain/metrics.csv,60
PowerCons,CNN_TS,True,3,0,128,5,0.6633522510528564,0.6633522510528564,0.6445380449295044,0.630664050579071,0.630664050579071,0.6623730063438416,training/exp/EXP_ratio_f3.1_2023-03-10_19-10/logs/target/checkpoints/epoch=2-step=63.ckpt,training/exp/EXP_ratio_f3.1_2023-03-10_19-10/logs/target/metrics.csv,120,4198,18739,10353,0.6919642686843872,0.6919642686843872,0.8913121223449707,training/exp/EXP_ratio_f3.1_2023-03-10_19-10/logs/pretrain/checkpoints/epoch=53-step=5238.ckpt,training/exp/EXP_ratio_f3.1_2023-03-10_19-10/logs/pretrain/metrics.csv,60
