dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
ArrowHead,CNN,DF,False,1,0,128,True,5,1,1,8,4,96,0,0,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_base/checkpoints/epoch=59-step=6780.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_base/metrics.csv,59,0.38522207736968994,0.3620847165584564,0.38522207736968994,0.3620847165584564,0.5535743832588196,0.5357250571250916,,,,,
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,8,4,96,4,384,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_4pmult/checkpoints/epoch=4-step=565.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_4pmult/metrics.csv,4,0.3418430984020233,0.2787046730518341,0.3418430984020233,0.2787046730518341,0.5210885405540466,0.5119830965995789,1.0882561206817627,-0.12866082787513733,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_4pmult/checkpoints/epoch=4-step=565.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_4pmult/metrics.csv,58
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,8,4,96,8,768,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_8pmult/checkpoints/epoch=18-step=2147.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_8pmult/metrics.csv,18,0.38802406191825867,0.38586607575416565,0.38802406191825867,0.38586607575416565,0.5414234399795532,0.5238798260688782,1.170807123184204,-0.33609873056411743,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_8pmult/checkpoints/epoch=18-step=2147.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_8pmult/metrics.csv,59
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,8,4,96,16,1536,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_16pmult/checkpoints/epoch=22-step=2599.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_16pmult/metrics.csv,22,0.39414694905281067,0.32993006706237793,0.39414694905281067,0.32993006706237793,0.5835244655609131,0.5444771647453308,0.9930605888366699,0.06262312084436417,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_16pmult/checkpoints/epoch=22-step=2599.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/8exc_16pmult/metrics.csv,59
ArrowHead,CNN,DF,False,1,0,128,True,5,1,1,16,4,192,0,0,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_base/checkpoints/epoch=97-step=22148.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_base/metrics.csv,97,0.3995538055896759,0.39755961298942566,0.3995538055896759,0.39755961298942566,0.5581795573234558,0.5487075448036194,,,,,
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,16,4,192,4,384,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_4pmult/checkpoints/epoch=119-step=27120.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_4pmult/metrics.csv,119,0.39825671911239624,0.3261013925075531,0.39825671911239624,0.3261013925075531,0.568716824054718,0.5161104202270508,0.9712729454040527,0.10095308721065521,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_4pmult/checkpoints/epoch=119-step=27120.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_4pmult/metrics.csv,58
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,16,4,192,8,768,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_8pmult/checkpoints/epoch=69-step=15820.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_8pmult/metrics.csv,69,0.41662344336509705,0.4158002734184265,0.41662344336509705,0.4158002734184265,0.5704817175865173,0.5585542321205139,0.8326815366744995,0.3241884708404541,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_8pmult/checkpoints/epoch=69-step=15820.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_8pmult/metrics.csv,59
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,16,4,192,16,1536,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_16pmult/checkpoints/epoch=62-step=14238.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_16pmult/metrics.csv,62,0.4319809079170227,0.4198779761791229,0.4319809079170227,0.4198779761791229,0.5860134363174438,0.5706495642662048,0.9785192608833313,0.08987174183130264,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_16pmult/checkpoints/epoch=62-step=14238.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/16exc_16pmult/metrics.csv,59
ArrowHead,CNN,DF,False,1,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_base/checkpoints/epoch=108-step=49268.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_base/metrics.csv,108,0.37005525827407837,0.37093526124954224,0.37005525827407837,0.37093526124954224,0.545356273651123,0.5846173763275146,,,,,
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,32,4,384,4,384,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_4pmult/checkpoints/epoch=117-step=53336.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_4pmult/metrics.csv,117,0.3491997718811035,0.3229990303516388,0.3491997718811035,0.3229990303516388,0.523757815361023,0.5453020334243774,0.9736806154251099,0.09648861736059189,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_4pmult/checkpoints/epoch=117-step=53336.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_4pmult/metrics.csv,58
ArrowHead,CNN,DF,True,1,0,128,True,5,1,1,32,4,384,8,768,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_8pmult/checkpoints/epoch=100-step=45652.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_8pmult/metrics.csv,100,0.36019816994667053,0.30875304341316223,0.36019816994667053,0.30875304341316223,0.5591181516647339,0.5240166783332825,0.920608639717102,0.17392811179161072,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_8pmult/checkpoints/epoch=100-step=45652.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f1/logs/32exc_8pmult/metrics.csv,59
