dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,CNN,DF,False,4,0,128,True,5,1,1,8,4,96,0,0,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_base/checkpoints/epoch=25-step=1508.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_base/metrics.csv,25,0.47903093695640564,0.4503520131111145,0.47903093695640564,0.4503520131111145,0.656568706035614,0.6073453426361084,,,,,
CBF,CNN,DF,True,4,0,128,True,5,1,1,8,4,96,4,384,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_4pmult/checkpoints/epoch=61-step=3596.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_4pmult/metrics.csv,61,0.5787866711616516,0.50697922706604,0.5787866711616516,0.50697922706604,0.7051565647125244,0.674399197101593,0.927765429019928,0.22176209092140198,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_4pmult/checkpoints/epoch=61-step=3596.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_4pmult/metrics.csv,59
CBF,CNN,DF,True,4,0,128,True,5,1,1,8,4,96,8,768,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_8pmult/checkpoints/epoch=64-step=3770.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_8pmult/metrics.csv,64,0.5458061695098877,0.5037439465522766,0.5458061695098877,0.5037439465522766,0.7142536044120789,0.7116553783416748,0.6768646836280823,0.5301084518432617,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_8pmult/checkpoints/epoch=64-step=3770.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_8pmult/metrics.csv,58
CBF,CNN,DF,True,4,0,128,True,5,1,1,8,4,96,16,1536,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_16pmult/checkpoints/epoch=31-step=1856.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_16pmult/metrics.csv,31,0.44584691524505615,0.43785861134529114,0.44584691524505615,0.43785861134529114,0.647026777267456,0.6371245980262756,0.6679522395133972,0.546558678150177,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_16pmult/checkpoints/epoch=31-step=1856.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/8exc_16pmult/metrics.csv,58
CBF,CNN,DF,False,4,0,128,True,5,1,1,16,4,192,0,0,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_base/checkpoints/epoch=43-step=5104.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_base/metrics.csv,43,0.4889092445373535,0.4707809388637543,0.4889092445373535,0.4707809388637543,0.6486932635307312,0.644589364528656,,,,,
CBF,CNN,DF,True,4,0,128,True,5,1,1,16,4,192,4,384,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_4pmult/checkpoints/epoch=18-step=2204.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_4pmult/metrics.csv,18,0.5625762939453125,0.4986570477485657,0.5625762939453125,0.4986570477485657,0.7277257442474365,0.6840605735778809,0.8364678621292114,0.3673871159553528,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_4pmult/checkpoints/epoch=18-step=2204.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_4pmult/metrics.csv,59
CBF,CNN,DF,True,4,0,128,True,5,1,1,16,4,192,8,768,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_8pmult/checkpoints/epoch=30-step=3596.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_8pmult/metrics.csv,30,0.4998982548713684,0.45564237236976624,0.4998982548713684,0.45564237236976624,0.6352110505104065,0.6097642779350281,0.6028733253479004,0.6272231340408325,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_8pmult/checkpoints/epoch=30-step=3596.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_8pmult/metrics.csv,58
CBF,CNN,DF,True,4,0,128,True,5,1,1,16,4,192,16,1536,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_16pmult/checkpoints/epoch=20-step=2436.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_16pmult/metrics.csv,20,0.5247252583503723,0.48695722222328186,0.5247252583503723,0.48695722222328186,0.7084206938743591,0.6701808571815491,0.7554198503494263,0.4200279116630554,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_16pmult/checkpoints/epoch=20-step=2436.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/16exc_16pmult/metrics.csv,58
CBF,CNN,DF,False,4,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/32exc_base/checkpoints/epoch=71-step=16632.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/32exc_base/metrics.csv,71,0.5138874650001526,0.5195133090019226,0.5138874650001526,0.5195133090019226,0.7273175120353699,0.7021724581718445,,,,,
CBF,CNN,DF,True,4,0,128,True,5,1,1,32,4,384,4,384,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/32exc_4pmult/checkpoints/epoch=40-step=9471.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/32exc_4pmult/metrics.csv,40,0.4986265003681183,0.48498350381851196,0.4986265003681183,0.48498350381851196,0.708415687084198,0.6847732663154602,1.2430588006973267,-0.39708346128463745,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/32exc_4pmult/checkpoints/epoch=40-step=9471.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f4/logs/32exc_4pmult/metrics.csv,59
