dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
Chinatown,CNN,DF,False,3,0,128,False,5,1,1,8,4,64,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_base/checkpoints/epoch=119-step=960.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_base/metrics.csv,119,0.6241829991340637,0.5510669350624084,0.6241829991340637,0.5510669350624084,0.6433840990066528,0.5745278000831604,,,,,
Chinatown,CNN,DF,True,3,0,128,False,5,1,1,8,4,64,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_4pmult/checkpoints/epoch=90-step=728.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_4pmult/metrics.csv,90,0.6405228972434998,0.591627299785614,0.6405228972434998,0.591627299785614,0.6763914823532104,0.5577085018157959,0.4111972153186798,0.7393220067024231,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_4pmult/checkpoints/epoch=90-step=728.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_4pmult/metrics.csv,56
Chinatown,CNN,DF,True,3,0,128,False,5,1,1,8,4,64,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_8pmult/checkpoints/epoch=114-step=920.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_8pmult/metrics.csv,114,0.6323529481887817,0.5761524438858032,0.6323529481887817,0.5761524438858032,0.6490545272827148,0.5490175485610962,0.649547278881073,0.41789206862449646,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_8pmult/checkpoints/epoch=114-step=920.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_8pmult/metrics.csv,58
Chinatown,CNN,DF,True,3,0,128,False,5,1,1,8,4,64,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_16pmult/checkpoints/epoch=117-step=944.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_16pmult/metrics.csv,117,0.6029411554336548,0.5603518486022949,0.6029411554336548,0.5603518486022949,0.6285148859024048,0.5611463785171509,0.36666327714920044,0.8674634695053101,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_16pmult/checkpoints/epoch=117-step=944.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/8exc_16pmult/metrics.csv,59
Chinatown,CNN,DF,False,3,0,128,False,5,1,1,16,4,128,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_base/checkpoints/epoch=46-step=705.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_base/metrics.csv,46,0.7887438535690308,0.6636260151863098,0.7887438535690308,0.6636260151863098,0.8866385221481323,0.5875766277313232,,,,,
Chinatown,CNN,DF,True,3,0,128,False,5,1,1,16,4,128,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_4pmult/checkpoints/epoch=31-step=480.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_4pmult/metrics.csv,31,0.7862969040870667,0.6631373167037964,0.7862969040870667,0.6631373167037964,0.8752927780151367,0.5825210213661194,0.4549960196018219,0.6808249354362488,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_4pmult/checkpoints/epoch=31-step=480.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_4pmult/metrics.csv,56
Chinatown,CNN,DF,True,3,0,128,False,5,1,1,16,4,128,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_8pmult/checkpoints/epoch=47-step=720.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_8pmult/metrics.csv,47,0.7920065522193909,0.6290926933288574,0.7920065522193909,0.6290926933288574,0.885217010974884,0.5747746825218201,0.5672947764396667,0.5559860467910767,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_8pmult/checkpoints/epoch=47-step=720.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_8pmult/metrics.csv,58
Chinatown,CNN,DF,True,3,0,128,False,5,1,1,16,4,128,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_16pmult/checkpoints/epoch=86-step=1305.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_16pmult/metrics.csv,86,0.7911908626556396,0.6491284966468811,0.7911908626556396,0.6491284966468811,0.8724150657653809,0.5947844982147217,0.5150471329689026,0.7384895086288452,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_16pmult/checkpoints/epoch=86-step=1305.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/16exc_16pmult/metrics.csv,59
Chinatown,CNN,DF,False,3,0,128,False,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/32exc_base/checkpoints/epoch=55-step=1624.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/32exc_base/metrics.csv,55,0.753564178943634,0.6168757081031799,0.753564178943634,0.6168757081031799,0.8189724683761597,0.5833958387374878,,,,,
Chinatown,CNN,DF,True,3,0,128,False,5,1,1,32,4,256,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/32exc_4pmult/checkpoints/epoch=81-step=2378.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/32exc_4pmult/metrics.csv,81,0.7543787956237793,0.6444046497344971,0.7543787956237793,0.6444046497344971,0.8224285840988159,0.5904803276062012,0.46297910809516907,0.669512927532196,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/32exc_4pmult/checkpoints/epoch=81-step=2378.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f3/logs/32exc_4pmult/metrics.csv,56
