dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
GunPoint,CNN,DF,False,3,0,128,False,5,1,1,8,4,64,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_base/checkpoints/epoch=83-step=3780.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_base/metrics.csv,83,0.5953621864318848,0.4974345564842224,0.5953621864318848,0.4974345564842224,0.6123846769332886,0.484189510345459,,,,,
GunPoint,CNN,DF,True,3,0,128,False,5,1,1,8,4,64,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_4pmult/checkpoints/epoch=41-step=1890.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_4pmult/metrics.csv,41,0.6003126502037048,0.5325953960418701,0.6003126502037048,0.5325953960418701,0.6040197610855103,0.5336800813674927,0.5558480620384216,0.7042793035507202,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_4pmult/checkpoints/epoch=41-step=1890.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_4pmult/metrics.csv,55
GunPoint,CNN,DF,True,3,0,128,False,5,1,1,8,4,64,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_8pmult/checkpoints/epoch=60-step=2745.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_8pmult/metrics.csv,60,0.572172999382019,0.5370751619338989,0.572172999382019,0.5370751619338989,0.6111729145050049,0.5499283075332642,1.0332831144332886,-0.12558093667030334,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_8pmult/checkpoints/epoch=60-step=2745.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_8pmult/metrics.csv,56
GunPoint,CNN,DF,True,3,0,128,False,5,1,1,8,4,64,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_16pmult/checkpoints/epoch=111-step=5040.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_16pmult/metrics.csv,111,0.6289734244346619,0.5277249813079834,0.6289734244346619,0.5277249813079834,0.6342881917953491,0.5305031538009644,0.37420615553855896,0.8557570576667786,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_16pmult/checkpoints/epoch=111-step=5040.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/8exc_16pmult/metrics.csv,51
GunPoint,CNN,DF,False,3,0,128,False,5,1,1,16,4,128,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_base/checkpoints/epoch=54-step=4950.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_base/metrics.csv,54,0.5345141887664795,0.4470634162425995,0.5345141887664795,0.4470634162425995,0.5125610828399658,0.42820465564727783,,,,,
GunPoint,CNN,DF,True,3,0,128,False,5,1,1,16,4,128,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_4pmult/checkpoints/epoch=87-step=7920.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_4pmult/metrics.csv,87,0.5894764065742493,0.5230628848075867,0.5894764065742493,0.5230628848075867,0.6061201095581055,0.5000137090682983,1.0624021291732788,-0.08031211048364639,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_4pmult/checkpoints/epoch=87-step=7920.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_4pmult/metrics.csv,55
GunPoint,CNN,DF,True,3,0,128,False,5,1,1,16,4,128,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_8pmult/checkpoints/epoch=115-step=10440.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_8pmult/metrics.csv,115,0.5646001696586609,0.5082172155380249,0.5646001696586609,0.5082172155380249,0.5825035572052002,0.5250616073608398,1.1166229248046875,-0.31447821855545044,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_8pmult/checkpoints/epoch=115-step=10440.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_8pmult/metrics.csv,56
GunPoint,CNN,DF,True,3,0,128,False,5,1,1,16,4,128,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_16pmult/checkpoints/epoch=108-step=9810.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_16pmult/metrics.csv,108,0.555092453956604,0.5143898725509644,0.555092453956604,0.5143898725509644,0.6263229846954346,0.5355446934700012,0.5743846297264099,0.660156786441803,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_16pmult/checkpoints/epoch=108-step=9810.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/16exc_16pmult/metrics.csv,51
GunPoint,CNN,DF,False,3,0,128,False,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/32exc_base/checkpoints/epoch=103-step=18720.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/32exc_base/metrics.csv,103,0.5922645926475525,0.543846845626831,0.5922645926475525,0.543846845626831,0.6060389280319214,0.5264127850532532,,,,,
GunPoint,CNN,DF,True,3,0,128,False,5,1,1,32,4,256,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/32exc_4pmult/checkpoints/epoch=77-step=14040.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/32exc_4pmult/metrics.csv,77,0.6025524139404297,0.539575457572937,0.6025524139404297,0.539575457572937,0.6219293475151062,0.5473137497901917,0.8258112668991089,0.34727057814598083,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/32exc_4pmult/checkpoints/epoch=77-step=14040.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f3/logs/32exc_4pmult/metrics.csv,55
