dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Coffee,RNN_TS,False,3,0,128,5,0.3125,0.3125,0.25198864936828613,0.4654947817325592,0.4654947817325592,0.5159101486206055,training/exp/EXP_ratio_f3.base_2023-03-08_20-15/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f3.base_2023-03-08_20-15/logs/target/metrics.csv,120,683,0,3131,,,,,,
Coffee,RNN_TS,True,3,0,128,5,0.3125,0.3125,0.35411930084228516,0.4654947817325592,0.4654947817325592,0.5218455791473389,training/exp/EXP_ratio_f3.0_2023-03-08_20-19/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-19/logs/target/metrics.csv,120,683,1998,3131,0.870312511920929,0.870312511920929,0.9764014482498169,training/exp/EXP_ratio_f3.0_2023-03-08_20-19/logs/pretrain/checkpoints/epoch=55-step=560.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-19/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,3,0,128,5,0.3125,0.3125,0.4132102131843567,0.4654947817325592,0.4654947817325592,0.5212098360061646,training/exp/EXP_ratio_f3.0_2023-03-08_20-25/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-25/logs/target/metrics.csv,120,683,3997,3131,0.8656250238418579,0.8656250238418579,0.9774910807609558,training/exp/EXP_ratio_f3.0_2023-03-08_20-25/logs/pretrain/checkpoints/epoch=59-step=1200.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-25/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,3,0,128,5,0.3125,0.3125,0.5367187261581421,0.4654947817325592,0.4654947817325592,0.5182985067367554,training/exp/EXP_ratio_f3.0_2023-03-08_20-32/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-32/logs/target/metrics.csv,120,683,5996,3131,0.88232421875,0.88232421875,0.9783290028572083,training/exp/EXP_ratio_f3.0_2023-03-08_20-32/logs/pretrain/checkpoints/epoch=52-step=1590.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-32/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,3,0,128,5,0.3125,0.3125,0.4537642002105713,0.4654947817325592,0.4654947817325592,0.5009303689002991,training/exp/EXP_ratio_f3.0_2023-03-08_20-39/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-39/logs/target/metrics.csv,120,683,7995,3131,0.8690476417541504,0.8690476417541504,0.9785158038139343,training/exp/EXP_ratio_f3.0_2023-03-08_20-39/logs/pretrain/checkpoints/epoch=58-step=2360.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-39/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,3,0,128,5,0.3125,0.3125,0.5213778018951416,0.4654947817325592,0.4654947817325592,0.513592004776001,training/exp/EXP_ratio_f3.0_2023-03-08_20-46/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-46/logs/target/metrics.csv,120,683,9995,3131,0.8894675970077515,0.8894675970077515,0.9821869134902954,training/exp/EXP_ratio_f3.0_2023-03-08_20-46/logs/pretrain/checkpoints/epoch=48-step=2450.ckpt,training/exp/EXP_ratio_f3.0_2023-03-08_20-46/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,False,3,0,128,5,0.658203125,0.658203125,0.5283963680267334,0.466796875,0.466796875,0.5180975794792175,training/exp/EXP_ratio_f3.base_2023-03-08_20-54/logs/target/checkpoints/epoch=37-step=228.ckpt,training/exp/EXP_ratio_f3.base_2023-03-08_20-54/logs/target/metrics.csv,120,1366,0,3131,,,,,,
Coffee,RNN_TS,True,3,0,128,5,0.66015625,0.66015625,0.49961531162261963,0.466796875,0.466796875,0.5203285217285156,training/exp/EXP_ratio_f3.1_2023-03-08_20-59/logs/target/checkpoints/epoch=25-step=156.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_20-59/logs/target/metrics.csv,120,1366,1998,3131,0.870312511920929,0.870312511920929,0.9764014482498169,training/exp/EXP_ratio_f3.1_2023-03-08_20-59/logs/pretrain/checkpoints/epoch=55-step=560.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_20-59/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,3,0,128,5,0.66015625,0.66015625,0.49621209502220154,0.4713541567325592,0.4713541567325592,0.520753026008606,training/exp/EXP_ratio_f3.1_2023-03-08_21-05/logs/target/checkpoints/epoch=25-step=156.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_21-05/logs/target/metrics.csv,120,1366,3997,3131,0.8656250238418579,0.8656250238418579,0.9774910807609558,training/exp/EXP_ratio_f3.1_2023-03-08_21-05/logs/pretrain/checkpoints/epoch=59-step=1200.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_21-05/logs/pretrain/metrics.csv,60
Coffee,RNN_TS,True,3,0,128,5,0.662109375,0.662109375,0.4951975345611572,0.4710286557674408,0.4710286557674408,0.5210589170455933,training/exp/EXP_ratio_f3.1_2023-03-08_21-12/logs/target/checkpoints/epoch=25-step=156.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_21-12/logs/target/metrics.csv,120,1366,5996,3131,0.88232421875,0.88232421875,0.9783290028572083,training/exp/EXP_ratio_f3.1_2023-03-08_21-12/logs/pretrain/checkpoints/epoch=52-step=1590.ckpt,training/exp/EXP_ratio_f3.1_2023-03-08_21-12/logs/pretrain/metrics.csv,60
