dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Plane,RNN_TS,False,1,0,128,5,0.2890625,0.2890625,0.22618286311626434,0.16505983471870422,0.16505983471870422,0.5025379061698914,training/exp/EXP_ratio_f1.base_2023-03-10_21-45/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f1.base_2023-03-10_21-45/logs/target/metrics.csv,120,1235,0,6033,,,,,,
Plane,RNN_TS,True,1,0,128,5,0.3307291567325592,0.3307291567325592,0.23653796315193176,0.19115690886974335,0.19115690886974335,0.5163760781288147,training/exp/EXP_ratio_f1.0_2023-03-10_21-51/logs/target/checkpoints/epoch=58-step=354.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_21-51/logs/target/metrics.csv,120,1235,3654,6033,0.8307291865348816,0.8307291865348816,0.9699550867080688,training/exp/EXP_ratio_f1.0_2023-03-10_21-51/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_21-51/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.328125,0.328125,0.24105806648731232,0.20445479452610016,0.20445479452610016,0.5195790529251099,training/exp/EXP_ratio_f1.0_2023-03-10_21-59/logs/target/checkpoints/epoch=109-step=660.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_21-59/logs/target/metrics.csv,120,1235,7308,6033,0.84375,0.84375,0.978334903717041,training/exp/EXP_ratio_f1.0_2023-03-10_21-59/logs/pretrain/checkpoints/epoch=59-step=2220.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_21-59/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.328125,0.328125,0.2424481362104416,0.20545212924480438,0.20545212924480438,0.5208878517150879,training/exp/EXP_ratio_f1.0_2023-03-10_22-09/logs/target/checkpoints/epoch=85-step=516.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_22-09/logs/target/metrics.csv,120,1235,10963,6033,0.9087611436843872,0.9087611436843872,0.9907047152519226,training/exp/EXP_ratio_f1.0_2023-03-10_22-09/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_22-09/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.3333333432674408,0.3333333432674408,0.2456301748752594,0.20861037075519562,0.20861037075519562,0.5202641487121582,training/exp/EXP_ratio_f1.0_2023-03-10_22-19/logs/target/checkpoints/epoch=96-step=582.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_22-19/logs/target/metrics.csv,120,1235,14617,6033,0.9233141541481018,0.9233141541481018,0.9916939735412598,training/exp/EXP_ratio_f1.0_2023-03-10_22-19/logs/pretrain/checkpoints/epoch=55-step=4200.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_22-19/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.3359375,0.3359375,0.24535353481769562,0.2081117033958435,0.2081117033958435,0.5200517773628235,training/exp/EXP_ratio_f1.0_2023-03-10_22-31/logs/target/checkpoints/epoch=86-step=522.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_22-31/logs/target/metrics.csv,120,1235,18273,6033,0.9065755009651184,0.9065755009651184,0.9911683797836304,training/exp/EXP_ratio_f1.0_2023-03-10_22-31/logs/pretrain/checkpoints/epoch=54-step=5170.ckpt,training/exp/EXP_ratio_f1.0_2023-03-10_22-31/logs/pretrain/metrics.csv,60
Plane,RNN_TS,False,1,0,128,5,0.3372395932674408,0.3372395932674408,0.3799022138118744,0.16323138773441315,0.16323138773441315,0.49929675459861755,training/exp/EXP_ratio_f1.base_2023-03-10_22-44/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f1.base_2023-03-10_22-44/logs/target/metrics.csv,120,2470,0,6033,,,,,,
Plane,RNN_TS,True,1,0,128,5,0.37109375,0.37109375,0.362870991230011,0.1668882966041565,0.1668882966041565,0.5050142407417297,training/exp/EXP_ratio_f1.1_2023-03-10_22-50/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_22-50/logs/target/metrics.csv,120,2470,3654,6033,0.8307291865348816,0.8307291865348816,0.9699550867080688,training/exp/EXP_ratio_f1.1_2023-03-10_22-50/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_22-50/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.375,0.375,0.3608147203922272,0.16505983471870422,0.16505983471870422,0.5031007528305054,training/exp/EXP_ratio_f1.1_2023-03-10_23-00/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-00/logs/target/metrics.csv,120,2470,7308,6033,0.84375,0.84375,0.978334903717041,training/exp/EXP_ratio_f1.1_2023-03-10_23-00/logs/pretrain/checkpoints/epoch=59-step=2220.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-00/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.375,0.375,0.362193763256073,0.16505983471870422,0.16505983471870422,0.5037961602210999,training/exp/EXP_ratio_f1.1_2023-03-10_23-10/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-10/logs/target/metrics.csv,120,2470,10963,6033,0.9087611436843872,0.9087611436843872,0.9907047152519226,training/exp/EXP_ratio_f1.1_2023-03-10_23-10/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-10/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.375,0.375,0.35566768050193787,0.16505983471870422,0.16505983471870422,0.5036829113960266,training/exp/EXP_ratio_f1.1_2023-03-10_23-21/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-21/logs/target/metrics.csv,120,2470,14617,6033,0.9233141541481018,0.9233141541481018,0.9916939735412598,training/exp/EXP_ratio_f1.1_2023-03-10_23-21/logs/pretrain/checkpoints/epoch=55-step=4200.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-21/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.375,0.375,0.3571023643016815,0.16505983471870422,0.16505983471870422,0.49947190284729004,training/exp/EXP_ratio_f1.1_2023-03-10_23-33/logs/target/checkpoints/epoch=0-step=12.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-33/logs/target/metrics.csv,120,2470,18273,6033,0.9065755009651184,0.9065755009651184,0.9911683797836304,training/exp/EXP_ratio_f1.1_2023-03-10_23-33/logs/pretrain/checkpoints/epoch=54-step=5170.ckpt,training/exp/EXP_ratio_f1.1_2023-03-10_23-33/logs/pretrain/metrics.csv,60
Plane,RNN_TS,False,1,0,128,5,0.23046875,0.23046875,0.3624095916748047,0.1595744639635086,0.1595744639635086,0.5104345083236694,training/exp/EXP_ratio_f1.base_2023-03-10_23-47/logs/target/checkpoints/epoch=4-step=90.ckpt,training/exp/EXP_ratio_f1.base_2023-03-10_23-47/logs/target/metrics.csv,120,3706,0,6033,,,,,,
Plane,RNN_TS,True,1,0,128,5,0.22421875596046448,0.22421875596046448,0.3598197400569916,0.14361701905727386,0.14361701905727386,0.5042258501052856,training/exp/EXP_ratio_f1.2_2023-03-10_23-53/logs/target/checkpoints/epoch=1-step=36.ckpt,training/exp/EXP_ratio_f1.2_2023-03-10_23-53/logs/target/metrics.csv,120,3706,3654,6033,0.8307291865348816,0.8307291865348816,0.9699550867080688,training/exp/EXP_ratio_f1.2_2023-03-10_23-53/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/exp/EXP_ratio_f1.2_2023-03-10_23-53/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.22421875596046448,0.22421875596046448,0.35927814245224,0.14361701905727386,0.14361701905727386,0.5023916959762573,training/exp/EXP_ratio_f1.2_2023-03-11_00-03/logs/target/checkpoints/epoch=1-step=36.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-03/logs/target/metrics.csv,120,3706,7308,6033,0.84375,0.84375,0.978334903717041,training/exp/EXP_ratio_f1.2_2023-03-11_00-03/logs/pretrain/checkpoints/epoch=59-step=2220.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-03/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.22421875596046448,0.22421875596046448,0.3596284091472626,0.14361701905727386,0.14361701905727386,0.5030035972595215,training/exp/EXP_ratio_f1.2_2023-03-11_00-14/logs/target/checkpoints/epoch=1-step=36.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-14/logs/target/metrics.csv,120,3706,10963,6033,0.9087611436843872,0.9087611436843872,0.9907047152519226,training/exp/EXP_ratio_f1.2_2023-03-11_00-14/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-14/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.22421875596046448,0.22421875596046448,0.3600403666496277,0.14361701905727386,0.14361701905727386,0.506734311580658,training/exp/EXP_ratio_f1.2_2023-03-11_00-25/logs/target/checkpoints/epoch=1-step=36.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-25/logs/target/metrics.csv,120,3706,14617,6033,0.9233141541481018,0.9233141541481018,0.9916939735412598,training/exp/EXP_ratio_f1.2_2023-03-11_00-25/logs/pretrain/checkpoints/epoch=55-step=4200.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-25/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.22968749701976776,0.22968749701976776,0.35766419768333435,0.14993351697921753,0.14993351697921753,0.5033642649650574,training/exp/EXP_ratio_f1.2_2023-03-11_00-38/logs/target/checkpoints/epoch=0-step=18.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-38/logs/target/metrics.csv,120,3706,18273,6033,0.9065755009651184,0.9065755009651184,0.9911683797836304,training/exp/EXP_ratio_f1.2_2023-03-11_00-38/logs/pretrain/checkpoints/epoch=54-step=5170.ckpt,training/exp/EXP_ratio_f1.2_2023-03-11_00-38/logs/pretrain/metrics.csv,60
Plane,RNN_TS,False,1,0,128,5,0.13882210850715637,0.13882210850715637,0.4265725016593933,0.16672207415103912,0.16672207415103912,0.5000091791152954,training/exp/EXP_ratio_f1.base_2023-03-11_00-52/logs/target/checkpoints/epoch=0-step=25.ckpt,training/exp/EXP_ratio_f1.base_2023-03-11_00-52/logs/target/metrics.csv,120,4941,0,6033,,,,,,
Plane,RNN_TS,True,1,0,128,5,0.1742788404226303,0.1742788404226303,0.4339919090270996,0.15940824151039124,0.15940824151039124,0.5102840662002563,training/exp/EXP_ratio_f1.3_2023-03-11_01-00/logs/target/checkpoints/epoch=0-step=25.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-00/logs/target/metrics.csv,120,4941,3654,6033,0.8307291865348816,0.8307291865348816,0.9699550867080688,training/exp/EXP_ratio_f1.3_2023-03-11_01-00/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-00/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.17367789149284363,0.17367789149284363,0.42692258954048157,0.16173537075519562,0.16173537075519562,0.5071185231208801,training/exp/EXP_ratio_f1.3_2023-03-11_01-10/logs/target/checkpoints/epoch=0-step=25.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-10/logs/target/metrics.csv,120,4941,7308,6033,0.84375,0.84375,0.978334903717041,training/exp/EXP_ratio_f1.3_2023-03-11_01-10/logs/pretrain/checkpoints/epoch=59-step=2220.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-10/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.1875,0.1875,0.42853862047195435,0.16539229452610016,0.16539229452610016,0.5072840452194214,training/exp/EXP_ratio_f1.3_2023-03-11_01-22/logs/target/checkpoints/epoch=0-step=25.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-22/logs/target/metrics.csv,120,4941,10963,6033,0.9087611436843872,0.9087611436843872,0.9907047152519226,training/exp/EXP_ratio_f1.3_2023-03-11_01-22/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-22/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.17668269574642181,0.17668269574642181,0.4274735152721405,0.1612367033958435,0.1612367033958435,0.5088751912117004,training/exp/EXP_ratio_f1.3_2023-03-11_01-34/logs/target/checkpoints/epoch=0-step=25.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-34/logs/target/metrics.csv,120,4941,14617,6033,0.9233141541481018,0.9233141541481018,0.9916939735412598,training/exp/EXP_ratio_f1.3_2023-03-11_01-34/logs/pretrain/checkpoints/epoch=55-step=4200.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-34/logs/pretrain/metrics.csv,60
Plane,RNN_TS,True,1,0,128,5,0.17367789149284363,0.17367789149284363,0.4247221052646637,0.16090425848960876,0.16090425848960876,0.5053933262825012,training/exp/EXP_ratio_f1.3_2023-03-11_01-48/logs/target/checkpoints/epoch=0-step=25.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-48/logs/target/metrics.csv,120,4941,18273,6033,0.9065755009651184,0.9065755009651184,0.9911683797836304,training/exp/EXP_ratio_f1.3_2023-03-11_01-48/logs/pretrain/checkpoints/epoch=54-step=5170.ckpt,training/exp/EXP_ratio_f1.3_2023-03-11_01-48/logs/pretrain/metrics.csv,60
Plane,RNN_TS,False,1,0,128,5,0.10009765625,0.10009765625,0.46128755807876587,0.19930186867713928,0.19930186867713928,0.5577799677848816,training/exp/EXP_ratio_f1.base_2023-03-11_02-03/logs/target/checkpoints/epoch=94-step=2945.ckpt,training/exp/EXP_ratio_f1.base_2023-03-11_02-03/logs/target/metrics.csv,120,6177,0,6033,,,,,,
Plane,RNN_TS,True,1,0,128,5,0.1162109375,0.1162109375,0.45661279559135437,0.20960770547389984,0.20960770547389984,0.5572749376296997,training/exp/EXP_ratio_f1.4_2023-03-11_02-10/logs/target/checkpoints/epoch=80-step=2511.ckpt,training/exp/EXP_ratio_f1.4_2023-03-11_02-10/logs/target/metrics.csv,120,6177,3654,6033,0.8307291865348816,0.8307291865348816,0.9699550867080688,training/exp/EXP_ratio_f1.4_2023-03-11_02-10/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/exp/EXP_ratio_f1.4_2023-03-11_02-10/logs/pretrain/metrics.csv,60
