dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
ECG200,ResNet_DFS,False,0,0,128,5,1,0.75,0.75,0.71337890625,0.3574892282485962,0.3574892282485962,0.463823527097702,training/2023-03-21_02-46_EXP_ratio_ResNet_DFS_ECG200_f0-base/logs/target/checkpoints/epoch=0-step=4.ckpt,training/2023-03-21_02-46_EXP_ratio_ResNet_DFS_ECG200_f0-base/logs/target/metrics.csv,784,0,3825,,,,
ECG200,ResNet_DFS,True,0,0,128,5,1,0.70703125,0.70703125,0.6162923574447632,0.6174569129943848,0.6174569129943848,0.6510895490646362,training/2023-03-21_02-53_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/checkpoints/epoch=33-step=136.ckpt,training/2023-03-21_02-53_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/metrics.csv,784,2320,3825,0.3208087086677551,0.8928471803665161,training/2023-03-21_02-53_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/checkpoints/epoch=58-step=708.ckpt,training/2023-03-21_02-53_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.70703125,0.70703125,0.5183919072151184,0.5245150923728943,0.5245150923728943,0.6185580492019653,training/2023-03-21_03-05_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/checkpoints/epoch=38-step=156.ckpt,training/2023-03-21_03-05_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/metrics.csv,784,4640,3825,0.21555814146995544,0.9532966613769531,training/2023-03-21_03-05_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/checkpoints/epoch=55-step=1344.ckpt,training/2023-03-21_03-05_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.703125,0.703125,0.77783203125,0.6282327771186829,0.6282327771186829,0.632743239402771,training/2023-03-21_03-21_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/checkpoints/epoch=66-step=268.ckpt,training/2023-03-21_03-21_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/metrics.csv,784,6960,3825,0.19669972360134125,0.961121678352356,training/2023-03-21_03-21_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/checkpoints/epoch=52-step=1908.ckpt,training/2023-03-21_03-21_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.6796875,0.6796875,0.55517578125,0.6166487336158752,0.6166487336158752,0.6365935802459717,training/2023-03-21_03-40_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/checkpoints/epoch=29-step=120.ckpt,training/2023-03-21_03-40_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/metrics.csv,784,9280,3825,0.17198340594768524,0.9701798558235168,training/2023-03-21_03-40_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/checkpoints/epoch=55-step=2688.ckpt,training/2023-03-21_03-40_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.7265625,0.7265625,0.59033203125,0.6179956793785095,0.6179956793785095,0.6461009979248047,training/2023-03-21_04-02_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/checkpoints/epoch=39-step=160.ckpt,training/2023-03-21_04-02_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/target/metrics.csv,784,11601,3825,0.15571804344654083,0.9754173159599304,training/2023-03-21_04-02_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/checkpoints/epoch=56-step=3420.ckpt,training/2023-03-21_04-02_EXP_ratio_ResNet_DFS_ECG200_f0-0/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,False,0,0,128,5,1,0.578125,0.578125,0.6648375988006592,0.6721444129943848,0.6721444129943848,0.6745948791503906,training/2023-03-21_04-28_EXP_ratio_ResNet_DFS_ECG200_f0-base/logs/target/checkpoints/epoch=96-step=776.ckpt,training/2023-03-21_04-28_EXP_ratio_ResNet_DFS_ECG200_f0-base/logs/target/metrics.csv,1568,0,3825,,,,
ECG200,ResNet_DFS,True,0,0,128,5,1,0.685546875,0.685546875,0.7525421380996704,0.6761853694915771,0.6761853694915771,0.6713269948959351,training/2023-03-21_04-37_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/checkpoints/epoch=104-step=840.ckpt,training/2023-03-21_04-37_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/metrics.csv,1568,2320,3825,0.3208087086677551,0.8928471803665161,training/2023-03-21_04-37_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/checkpoints/epoch=58-step=708.ckpt,training/2023-03-21_04-37_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.6484375,0.6484375,0.6745566725730896,0.6298491358757019,0.6298491358757019,0.6451493501663208,training/2023-03-21_04-52_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/checkpoints/epoch=39-step=320.ckpt,training/2023-03-21_04-52_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/metrics.csv,1568,4640,3825,0.21555814146995544,0.9532966613769531,training/2023-03-21_04-52_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/checkpoints/epoch=55-step=1344.ckpt,training/2023-03-21_04-52_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.65234375,0.65234375,0.694707989692688,0.6667564511299133,0.6667564511299133,0.6810595393180847,training/2023-03-21_05-10_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/checkpoints/epoch=54-step=440.ckpt,training/2023-03-21_05-10_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/metrics.csv,1568,6960,3825,0.19669972360134125,0.961121678352356,training/2023-03-21_05-10_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/checkpoints/epoch=52-step=1908.ckpt,training/2023-03-21_05-10_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.666015625,0.666015625,0.7076977491378784,0.670527994632721,0.670527994632721,0.6816698312759399,training/2023-03-21_05-32_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/checkpoints/epoch=103-step=832.ckpt,training/2023-03-21_05-32_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/metrics.csv,1568,9280,3825,0.17198340594768524,0.9701798558235168,training/2023-03-21_05-32_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/checkpoints/epoch=55-step=2688.ckpt,training/2023-03-21_05-32_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.66015625,0.66015625,0.6772693395614624,0.6430495977401733,0.6430495977401733,0.644214391708374,training/2023-03-21_05-56_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/checkpoints/epoch=58-step=472.ckpt,training/2023-03-21_05-56_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/target/metrics.csv,1568,11601,3825,0.15571804344654083,0.9754173159599304,training/2023-03-21_05-56_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/checkpoints/epoch=56-step=3420.ckpt,training/2023-03-21_05-56_EXP_ratio_ResNet_DFS_ECG200_f0-1/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,False,0,0,128,5,1,0.60546875,0.60546875,0.5904449224472046,0.6788793206214905,0.6788793206214905,0.6410295963287354,training/2023-03-21_06-24_EXP_ratio_ResNet_DFS_ECG200_f0-base/logs/target/checkpoints/epoch=58-step=708.ckpt,training/2023-03-21_06-24_EXP_ratio_ResNet_DFS_ECG200_f0-base/logs/target/metrics.csv,2352,0,3825,,,,
ECG200,ResNet_DFS,True,0,0,128,5,1,0.6315104365348816,0.6315104365348816,0.6604418754577637,0.6697198152542114,0.6697198152542114,0.6654798984527588,training/2023-03-21_06-36_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/checkpoints/epoch=41-step=504.ckpt,training/2023-03-21_06-36_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/metrics.csv,2352,2320,3825,0.3208087086677551,0.8928471803665161,training/2023-03-21_06-36_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/checkpoints/epoch=58-step=708.ckpt,training/2023-03-21_06-36_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.62890625,0.62890625,0.5863066911697388,0.6619073152542114,0.6619073152542114,0.6439880132675171,training/2023-03-21_06-53_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/checkpoints/epoch=48-step=588.ckpt,training/2023-03-21_06-53_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/metrics.csv,2352,4640,3825,0.21555814146995544,0.9532966613769531,training/2023-03-21_06-53_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/checkpoints/epoch=55-step=1344.ckpt,training/2023-03-21_06-53_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.6315104365348816,0.6315104365348816,0.5993802547454834,0.6686422228813171,0.6686422228813171,0.652573823928833,training/2023-03-21_07-13_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/checkpoints/epoch=33-step=408.ckpt,training/2023-03-21_07-13_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/metrics.csv,2352,6960,3825,0.19669972360134125,0.961121678352356,training/2023-03-21_07-13_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/checkpoints/epoch=52-step=1908.ckpt,training/2023-03-21_07-13_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,True,0,0,128,5,1,0.63671875,0.63671875,0.6637153625488281,0.6778017282485962,0.6778017282485962,0.6670597791671753,training/2023-03-21_07-37_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/checkpoints/epoch=56-step=684.ckpt,training/2023-03-21_07-37_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/target/metrics.csv,2352,9280,3825,0.17198340594768524,0.9701798558235168,training/2023-03-21_07-37_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/checkpoints/epoch=55-step=2688.ckpt,training/2023-03-21_07-37_EXP_ratio_ResNet_DFS_ECG200_f0-2/logs/pretrain/metrics.csv
