dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
Plane,ResNet_DFS,False,1,0,128,5,1,0.5598958134651184,0.5598958134651184,0.369060754776001,0.2795877754688263,0.2795877754688263,0.7207785248756409,training/2023-03-21_06-53_EXP_ratio_ResNet_DFS_Plane_f1-base/logs/target/checkpoints/epoch=61-step=372.ckpt,training/2023-03-21_06-53_EXP_ratio_ResNet_DFS_Plane_f1-base/logs/target/metrics.csv,1235,0,6033,,,,
Plane,ResNet_DFS,True,1,0,128,5,1,0.5390625,0.5390625,0.2823142409324646,0.26811835169792175,0.26811835169792175,0.6272045969963074,training/2023-03-21_07-04_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/checkpoints/epoch=24-step=150.ckpt,training/2023-03-21_07-04_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/metrics.csv,1235,3654,6033,0.12796413898468018,0.9835103750228882,training/2023-03-21_07-04_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/2023-03-21_07-04_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/metrics.csv
Plane,ResNet_DFS,True,1,0,128,5,1,0.5364583134651184,0.5364583134651184,0.2833072543144226,0.29039227962493896,0.29039227962493896,0.6151062250137329,training/2023-03-21_07-27_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/checkpoints/epoch=22-step=138.ckpt,training/2023-03-21_07-27_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/metrics.csv,1235,7308,6033,0.09734218567609787,0.9903498888015747,training/2023-03-21_07-27_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/checkpoints/epoch=56-step=2109.ckpt,training/2023-03-21_07-27_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/metrics.csv
Plane,ResNet_DFS,True,1,0,128,5,1,0.5442708134651184,0.5442708134651184,0.29505738615989685,0.2601396143436432,0.2601396143436432,0.6154685020446777,training/2023-03-21_07-58_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/checkpoints/epoch=27-step=168.ckpt,training/2023-03-21_07-58_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/metrics.csv,1235,10963,6033,0.0721503272652626,0.9947177171707153,training/2023-03-21_07-58_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/2023-03-21_07-58_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/metrics.csv
Plane,ResNet_DFS,True,1,0,128,5,1,0.5208333134651184,0.5208333134651184,0.28379613161087036,0.24684175848960876,0.24684175848960876,0.6261320114135742,training/2023-03-21_08-39_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/checkpoints/epoch=34-step=210.ckpt,training/2023-03-21_08-39_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/metrics.csv,1235,14617,6033,0.07331306487321854,0.9945534467697144,training/2023-03-21_08-39_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/checkpoints/epoch=59-step=4500.ckpt,training/2023-03-21_08-39_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/metrics.csv
Plane,ResNet_DFS,True,1,0,128,5,1,0.5494791865348816,0.5494791865348816,0.31325334310531616,0.2416888326406479,0.2416888326406479,0.6297592520713806,training/2023-03-21_09-29_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/checkpoints/epoch=36-step=222.ckpt,training/2023-03-21_09-29_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/target/metrics.csv,1235,18273,6033,0.06302841752767563,0.9959758520126343,training/2023-03-21_09-29_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/checkpoints/epoch=55-step=5264.ckpt,training/2023-03-21_09-29_EXP_ratio_ResNet_DFS_Plane_f1-0/logs/pretrain/metrics.csv
Plane,ResNet_DFS,False,1,0,128,5,1,0.5065104365348816,0.5065104365348816,0.5013079047203064,0.5580119490623474,0.5580119490623474,0.8161591291427612,training/2023-03-21_10-28_EXP_ratio_ResNet_DFS_Plane_f1-base/logs/target/checkpoints/epoch=110-step=1332.ckpt,training/2023-03-21_10-28_EXP_ratio_ResNet_DFS_Plane_f1-base/logs/target/metrics.csv,2470,0,6033,,,,
Plane,ResNet_DFS,True,1,0,128,5,1,0.4830729067325592,0.4830729067325592,0.5622686147689819,0.5709773898124695,0.5709773898124695,0.8343232274055481,training/2023-03-21_10-46_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/target/checkpoints/epoch=86-step=1044.ckpt,training/2023-03-21_10-46_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/target/metrics.csv,2470,3654,6033,0.12796413898468018,0.9835103750228882,training/2023-03-21_10-46_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/pretrain/checkpoints/epoch=59-step=1080.ckpt,training/2023-03-21_10-46_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/pretrain/metrics.csv
Plane,ResNet_DFS,True,1,0,128,5,1,0.4361979067325592,0.4361979067325592,0.5415847897529602,0.5733045339584351,0.5733045339584351,0.8060970306396484,training/2023-03-21_11-14_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/target/checkpoints/epoch=68-step=828.ckpt,training/2023-03-21_11-14_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/target/metrics.csv,2470,7308,6033,0.09734218567609787,0.9903498888015747,training/2023-03-21_11-14_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/pretrain/checkpoints/epoch=56-step=2109.ckpt,training/2023-03-21_11-14_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/pretrain/metrics.csv
Plane,ResNet_DFS,True,1,0,128,5,1,0.4361979067325592,0.4361979067325592,0.5050327181816101,0.589428186416626,0.589428186416626,0.8288624882698059,training/2023-03-21_11-52_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/target/checkpoints/epoch=83-step=1008.ckpt,training/2023-03-21_11-52_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/target/metrics.csv,2470,10963,6033,0.0721503272652626,0.9947177171707153,training/2023-03-21_11-52_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/pretrain/checkpoints/epoch=59-step=3360.ckpt,training/2023-03-21_11-52_EXP_ratio_ResNet_DFS_Plane_f1-1/logs/pretrain/metrics.csv
