dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
CBF,ResNet_TS,False,2,0,128,5,0.4967447817325592,0.4967447817325592,0.6859928965568542,0.45696792006492615,0.45696792006492615,0.634670078754425,training/exp/EXP_ratio_f2.base_2023-03-13_16-15/logs/target/checkpoints/epoch=7-step=192.ckpt,training/exp/EXP_ratio_f2.base_2023-03-13_16-15/logs/target/metrics.csv,120,4783,0,23793,,,,,,
CBF,ResNet_TS,True,2,0,128,5,0.4303385317325592,0.4303385317325592,0.5976685881614685,0.42749154567718506,0.42749154567718506,0.586669385433197,training/exp/EXP_ratio_f2.0_2023-03-13_16-22/logs/target/checkpoints/epoch=15-step=384.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_16-22/logs/target/metrics.csv,120,4783,14307,23793,0.5179476141929626,0.5179476141929626,0.8187236785888672,training/exp/EXP_ratio_f2.0_2023-03-13_16-22/logs/pretrain/checkpoints/epoch=6-step=518.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_16-22/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.4654947817325592,0.4654947817325592,0.6773223876953125,0.42335304617881775,0.42335304617881775,0.6213985085487366,training/exp/EXP_ratio_f2.0_2023-03-13_16-37/logs/target/checkpoints/epoch=0-step=24.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_16-37/logs/target/metrics.csv,120,4783,28614,23793,0.5006334185600281,0.5006334185600281,0.8169518709182739,training/exp/EXP_ratio_f2.0_2023-03-13_16-37/logs/pretrain/checkpoints/epoch=2-step=444.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_16-37/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.513671875,0.513671875,0.6914171576499939,0.46135979890823364,0.46135979890823364,0.6365202069282532,training/exp/EXP_ratio_f2.0_2023-03-13_16-59/logs/target/checkpoints/epoch=1-step=48.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_16-59/logs/target/metrics.csv,120,4783,42921,23793,0.5006278157234192,0.5006278157234192,0.8206371068954468,training/exp/EXP_ratio_f2.0_2023-03-13_16-59/logs/pretrain/checkpoints/epoch=3-step=892.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_16-59/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.4680989682674408,0.4680989682674408,0.6540543437004089,0.4327702820301056,0.4327702820301056,0.6107453107833862,training/exp/EXP_ratio_f2.0_2023-03-13_17-31/logs/target/checkpoints/epoch=0-step=24.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_17-31/logs/target/metrics.csv,120,4783,57228,23793,0.4984794557094574,0.4984794557094574,0.8239220380783081,training/exp/EXP_ratio_f2.0_2023-03-13_17-31/logs/pretrain/checkpoints/epoch=2-step=891.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_17-31/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.4993489682674408,0.4993489682674408,0.6810091137886047,0.4567567706108093,0.4567567706108093,0.6293889880180359,training/exp/EXP_ratio_f2.0_2023-03-13_18-15/logs/target/checkpoints/epoch=0-step=24.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_18-15/logs/target/metrics.csv,120,4783,71537,23793,0.5099546313285828,0.5099546313285828,0.8244227170944214,training/exp/EXP_ratio_f2.0_2023-03-13_18-15/logs/pretrain/checkpoints/epoch=2-step=1116.ckpt,training/exp/EXP_ratio_f2.0_2023-03-13_18-15/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,False,2,0,128,5,0.5224999785423279,0.5224999785423279,0.7140684127807617,0.47309964895248413,0.47309964895248413,0.6691729426383972,training/exp/EXP_ratio_f2.base_2023-03-13_19-14/logs/target/checkpoints/epoch=1-step=98.ckpt,training/exp/EXP_ratio_f2.base_2023-03-13_19-14/logs/target/metrics.csv,120,9567,0,23793,,,,,,
CBF,ResNet_TS,True,2,0,128,5,0.5209375023841858,0.5209375023841858,0.6619860529899597,0.4738597869873047,0.4738597869873047,0.6315800547599792,training/exp/EXP_ratio_f2.1_2023-03-13_19-26/logs/target/checkpoints/epoch=1-step=98.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_19-26/logs/target/metrics.csv,120,9567,14307,23793,0.5179476141929626,0.5179476141929626,0.8187236785888672,training/exp/EXP_ratio_f2.1_2023-03-13_19-26/logs/pretrain/checkpoints/epoch=6-step=518.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_19-26/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.5262500047683716,0.5262500047683716,0.6947119235992432,0.46727195382118225,0.46727195382118225,0.6474770307540894,training/exp/EXP_ratio_f2.1_2023-03-13_19-43/logs/target/checkpoints/epoch=0-step=49.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_19-43/logs/target/metrics.csv,120,9567,28614,23793,0.5006334185600281,0.5006334185600281,0.8169518709182739,training/exp/EXP_ratio_f2.1_2023-03-13_19-43/logs/pretrain/checkpoints/epoch=2-step=444.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_19-43/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.5228124856948853,0.5228124856948853,0.6963095664978027,0.46832770109176636,0.46832770109176636,0.6494651436805725,training/exp/EXP_ratio_f2.1_2023-03-13_20-08/logs/target/checkpoints/epoch=0-step=49.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_20-08/logs/target/metrics.csv,120,9567,42921,23793,0.5006278157234192,0.5006278157234192,0.8206371068954468,training/exp/EXP_ratio_f2.1_2023-03-13_20-08/logs/pretrain/checkpoints/epoch=3-step=892.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_20-08/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.5284374952316284,0.5284374952316284,0.7018381953239441,0.47128379344940186,0.47128379344940186,0.6544459462165833,training/exp/EXP_ratio_f2.1_2023-03-13_20-44/logs/target/checkpoints/epoch=0-step=49.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_20-44/logs/target/metrics.csv,120,9567,57228,23793,0.4984794557094574,0.4984794557094574,0.8239220380783081,training/exp/EXP_ratio_f2.1_2023-03-13_20-44/logs/pretrain/checkpoints/epoch=2-step=891.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_20-44/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.5246875286102295,0.5246875286102295,0.7000718116760254,0.4675675630569458,0.4675675630569458,0.6540125012397766,training/exp/EXP_ratio_f2.1_2023-03-13_21-32/logs/target/checkpoints/epoch=0-step=49.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_21-32/logs/target/metrics.csv,120,9567,71537,23793,0.5099546313285828,0.5099546313285828,0.8244227170944214,training/exp/EXP_ratio_f2.1_2023-03-13_21-32/logs/pretrain/checkpoints/epoch=2-step=1116.ckpt,training/exp/EXP_ratio_f2.1_2023-03-13_21-32/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,False,2,0,128,5,0.48796454071998596,0.48796454071998596,0.6775805354118347,0.4629223048686981,0.4629223048686981,0.6588446497917175,training/exp/EXP_ratio_f2.base_2023-03-13_22-36/logs/target/checkpoints/epoch=0-step=74.ckpt,training/exp/EXP_ratio_f2.base_2023-03-13_22-36/logs/target/metrics.csv,120,14352,0,23793,,,,,,
CBF,ResNet_TS,True,2,0,128,5,0.4518581032752991,0.4518581032752991,0.5897937417030334,0.4260557293891907,0.4260557293891907,0.5689634680747986,training/exp/EXP_ratio_f2.2_2023-03-13_22-52/logs/target/checkpoints/epoch=114-step=8510.ckpt,training/exp/EXP_ratio_f2.2_2023-03-13_22-52/logs/target/metrics.csv,120,14352,14307,23793,0.5179476141929626,0.5179476141929626,0.8187236785888672,training/exp/EXP_ratio_f2.2_2023-03-13_22-52/logs/pretrain/checkpoints/epoch=6-step=518.ckpt,training/exp/EXP_ratio_f2.2_2023-03-13_22-52/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.44700169563293457,0.44700169563293457,0.5892768502235413,0.37719595432281494,0.37719595432281494,0.5783292651176453,training/exp/EXP_ratio_f2.2_2023-03-13_23-15/logs/target/checkpoints/epoch=11-step=888.ckpt,training/exp/EXP_ratio_f2.2_2023-03-13_23-15/logs/target/metrics.csv,120,14352,28614,23793,0.5006334185600281,0.5006334185600281,0.8169518709182739,training/exp/EXP_ratio_f2.2_2023-03-13_23-15/logs/pretrain/checkpoints/epoch=2-step=444.ckpt,training/exp/EXP_ratio_f2.2_2023-03-13_23-15/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.48796454071998596,0.48796454071998596,0.613251268863678,0.4337415397167206,0.4337415397167206,0.589417040348053,training/exp/EXP_ratio_f2.2_2023-03-13_23-45/logs/target/checkpoints/epoch=117-step=8732.ckpt,training/exp/EXP_ratio_f2.2_2023-03-13_23-45/logs/target/metrics.csv,120,14352,42921,23793,0.5006278157234192,0.5006278157234192,0.8206371068954468,training/exp/EXP_ratio_f2.2_2023-03-13_23-45/logs/pretrain/checkpoints/epoch=3-step=892.ckpt,training/exp/EXP_ratio_f2.2_2023-03-13_23-45/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.47128379344940186,0.47128379344940186,0.6495482325553894,0.42681586742401123,0.42681586742401123,0.6191777586936951,training/exp/EXP_ratio_f2.2_2023-03-14_00-25/logs/target/checkpoints/epoch=20-step=1554.ckpt,training/exp/EXP_ratio_f2.2_2023-03-14_00-25/logs/target/metrics.csv,120,14352,57228,23793,0.4984794557094574,0.4984794557094574,0.8239220380783081,training/exp/EXP_ratio_f2.2_2023-03-14_00-25/logs/pretrain/checkpoints/epoch=2-step=891.ckpt,training/exp/EXP_ratio_f2.2_2023-03-14_00-25/logs/pretrain/metrics.csv,60
CBF,ResNet_TS,True,2,0,128,5,0.45460304617881775,0.45460304617881775,0.5728318095207214,0.4314611554145813,0.4314611554145813,0.5518086552619934,training/exp/EXP_ratio_f2.2_2023-03-14_01-19/logs/target/checkpoints/epoch=111-step=8288.ckpt,training/exp/EXP_ratio_f2.2_2023-03-14_01-19/logs/target/metrics.csv,120,14352,71537,23793,0.5099546313285828,0.5099546313285828,0.8244227170944214,training/exp/EXP_ratio_f2.2_2023-03-14_01-19/logs/pretrain/checkpoints/epoch=2-step=1116.ckpt,training/exp/EXP_ratio_f2.2_2023-03-14_01-19/logs/pretrain/metrics.csv,60
