dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
PowerCons,ResNet_TS,False,2,0,128,5,0.6546875238418579,0.6546875238418579,0.5506876707077026,0.527539074420929,0.527539074420929,0.7642757892608643,training/exp/EXP_ratio_f2.base_2023-03-09_21-11/logs/target/checkpoints/epoch=2-step=30.ckpt,training/exp/EXP_ratio_f2.base_2023-03-09_21-11/logs/target/metrics.csv,120,2099,0,10353,,,,,,
PowerCons,ResNet_TS,True,2,0,128,5,0.6546875238418579,0.6546875238418579,0.526212215423584,0.516406238079071,0.516406238079071,0.5946895480155945,training/exp/EXP_ratio_f2.0_2023-03-09_21-16/logs/target/checkpoints/epoch=18-step=190.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-16/logs/target/metrics.csv,120,2099,6246,10353,0.78857421875,0.78857421875,0.9302250146865845,training/exp/EXP_ratio_f2.0_2023-03-09_21-16/logs/pretrain/checkpoints/epoch=40-step=1312.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-16/logs/pretrain/metrics.csv,60
PowerCons,ResNet_TS,True,2,0,128,5,0.653124988079071,0.653124988079071,0.4836059808731079,0.518359363079071,0.518359363079071,0.40415453910827637,training/exp/EXP_ratio_f2.0_2023-03-09_21-25/logs/target/checkpoints/epoch=70-step=710.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-25/logs/target/metrics.csv,120,2099,12492,10353,0.7939453125,0.7939453125,0.9295774698257446,training/exp/EXP_ratio_f2.0_2023-03-09_21-25/logs/pretrain/checkpoints/epoch=39-step=2560.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-25/logs/pretrain/metrics.csv,60
PowerCons,ResNet_TS,True,2,0,128,5,0.6468750238418579,0.6468750238418579,0.5729587078094482,0.514941394329071,0.514941394329071,0.708942711353302,training/exp/EXP_ratio_f2.0_2023-03-09_21-35/logs/target/checkpoints/epoch=12-step=130.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-35/logs/target/metrics.csv,120,2099,18739,10353,0.6422193646430969,0.6422193646430969,0.9137198328971863,training/exp/EXP_ratio_f2.0_2023-03-09_21-35/logs/pretrain/checkpoints/epoch=1-step=194.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-35/logs/pretrain/metrics.csv,60
PowerCons,ResNet_TS,True,2,0,128,5,0.653124988079071,0.653124988079071,0.5698938369750977,0.5189453363418579,0.5189453363418579,0.7155269384384155,training/exp/EXP_ratio_f2.0_2023-03-09_21-48/logs/target/checkpoints/epoch=1-step=20.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-48/logs/target/metrics.csv,120,2099,24985,10353,0.7800480723381042,0.7800480723381042,0.9204668998718262,training/exp/EXP_ratio_f2.0_2023-03-09_21-48/logs/pretrain/checkpoints/epoch=51-step=6708.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_21-48/logs/pretrain/metrics.csv,60
PowerCons,ResNet_TS,True,2,0,128,5,0.660937488079071,0.660937488079071,0.49729543924331665,0.5274413824081421,0.5274413824081421,0.41477495431900024,training/exp/EXP_ratio_f2.0_2023-03-09_22-04/logs/target/checkpoints/epoch=52-step=530.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_22-04/logs/target/metrics.csv,120,2099,31233,10353,0.7895388603210449,0.7895388603210449,0.925317108631134,training/exp/EXP_ratio_f2.0_2023-03-09_22-04/logs/pretrain/checkpoints/epoch=20-step=3402.ckpt,training/exp/EXP_ratio_f2.0_2023-03-09_22-04/logs/pretrain/metrics.csv,60
PowerCons,ResNet_TS,False,2,0,128,5,0.6960227489471436,0.6960227489471436,0.7390637993812561,0.6504882574081421,0.6504882574081421,0.7673417329788208,training/exp/EXP_ratio_f2.base_2023-03-09_22-25/logs/target/checkpoints/epoch=1-step=42.ckpt,training/exp/EXP_ratio_f2.base_2023-03-09_22-25/logs/target/metrics.csv,120,4198,0,10353,,,,,,
PowerCons,ResNet_TS,True,2,0,128,5,0.7052556872367859,0.7052556872367859,0.7361507415771484,0.646679699420929,0.646679699420929,0.7621015310287476,training/exp/EXP_ratio_f2.1_2023-03-09_22-31/logs/target/checkpoints/epoch=1-step=42.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_22-31/logs/target/metrics.csv,120,4198,6246,10353,0.78857421875,0.78857421875,0.9302250146865845,training/exp/EXP_ratio_f2.1_2023-03-09_22-31/logs/pretrain/checkpoints/epoch=40-step=1312.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_22-31/logs/pretrain/metrics.csv,60
PowerCons,ResNet_TS,True,2,0,128,5,0.6938920617103577,0.6938920617103577,0.7214251160621643,0.6244140863418579,0.6244140863418579,0.7225341200828552,training/exp/EXP_ratio_f2.1_2023-03-09_22-40/logs/target/checkpoints/epoch=3-step=84.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_22-40/logs/target/metrics.csv,120,4198,12492,10353,0.7939453125,0.7939453125,0.9295774698257446,training/exp/EXP_ratio_f2.1_2023-03-09_22-40/logs/pretrain/checkpoints/epoch=39-step=2560.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_22-40/logs/pretrain/metrics.csv,60
PowerCons,ResNet_TS,True,2,0,128,5,0.703125,0.703125,0.7329106330871582,0.653027355670929,0.653027355670929,0.741460919380188,training/exp/EXP_ratio_f2.1_2023-03-09_22-52/logs/target/checkpoints/epoch=1-step=42.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_22-52/logs/target/metrics.csv,120,4198,18739,10353,0.6422193646430969,0.6422193646430969,0.9137198328971863,training/exp/EXP_ratio_f2.1_2023-03-09_22-52/logs/pretrain/checkpoints/epoch=1-step=194.ckpt,training/exp/EXP_ratio_f2.1_2023-03-09_22-52/logs/pretrain/metrics.csv,60
