dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
GunPoint,CNN_DFS,False,0,0,128,5,1,0.65771484375,0.65771484375,0.5892717242240906,0.5470448136329651,0.5470448136329651,0.5598061084747314,training/EXP_stride_f0.0_base_2023-03-16_00-29/logs/target/checkpoints/epoch=16-step=527.ckpt,training/EXP_stride_f0.0_base_2023-03-16_00-29/logs/target/metrics.csv,6135,0,5985,,,,
GunPoint,CNN_DFS,True,0,0,128,5,1,0.7314453125,0.7314453125,0.8175382614135742,0.6543818116188049,0.6543818116188049,0.7377490401268005,training/EXP_stride_f0.0_2023-03-16_00-32/logs/target/checkpoints/epoch=35-step=1116.ckpt,training/EXP_stride_f0.0_2023-03-16_00-32/logs/target/metrics.csv,6135,18135,5985,0.13996990025043488,0.9803122878074646,training/EXP_stride_f0.0_2023-03-16_00-32/logs/pretrain/checkpoints/epoch=59-step=5580.ckpt,training/EXP_stride_f0.0_2023-03-16_00-32/logs/pretrain/metrics.csv
GunPoint,CNN_DFS,False,0,0,128,5,2,0.6669921875,0.6669921875,0.7507826089859009,0.658797562122345,0.658797562122345,0.7293744087219238,training/EXP_stride_f0.1_base_2023-03-16_00-39/logs/target/checkpoints/epoch=68-step=2139.ckpt,training/EXP_stride_f0.1_base_2023-03-16_00-39/logs/target/metrics.csv,6120,0,5970,,,,
GunPoint,CNN_DFS,True,0,0,128,5,2,0.60693359375,0.60693359375,0.661699652671814,0.6328125,0.6328125,0.6963256001472473,training/EXP_stride_f0.1_2023-03-16_00-42/logs/target/checkpoints/epoch=38-step=1209.ckpt,training/EXP_stride_f0.1_2023-03-16_00-42/logs/target/metrics.csv,6120,18120,5970,0.11693061888217926,0.986266553401947,training/EXP_stride_f0.1_2023-03-16_00-42/logs/pretrain/checkpoints/epoch=58-step=5487.ckpt,training/EXP_stride_f0.1_2023-03-16_00-42/logs/pretrain/metrics.csv
GunPoint,CNN_DFS,False,0,0,128,5,3,0.7080078125,0.7080078125,0.8232775926589966,0.709578812122345,0.709578812122345,0.7697654962539673,training/EXP_stride_f0.2_base_2023-03-16_00-49/logs/target/checkpoints/epoch=88-step=2759.ckpt,training/EXP_stride_f0.2_base_2023-03-16_00-49/logs/target/metrics.csv,6105,0,5955,,,,
GunPoint,CNN_DFS,True,0,0,128,5,3,0.66064453125,0.66064453125,0.740481972694397,0.7172214388847351,0.7172214388847351,0.7691037058830261,training/EXP_stride_f0.2_2023-03-16_00-52/logs/target/checkpoints/epoch=95-step=2976.ckpt,training/EXP_stride_f0.2_2023-03-16_00-52/logs/target/metrics.csv,6105,18105,5955,0.11390237510204315,0.9869816899299622,training/EXP_stride_f0.2_2023-03-16_00-52/logs/pretrain/checkpoints/epoch=59-step=5580.ckpt,training/EXP_stride_f0.2_2023-03-16_00-52/logs/pretrain/metrics.csv
GunPoint,CNN_DFS,False,0,0,128,5,4,0.7333984375,0.7333984375,0.8146231174468994,0.69752037525177,0.69752037525177,0.7420023083686829,training/EXP_stride_f0.3_base_2023-03-16_00-59/logs/target/checkpoints/epoch=117-step=3658.ckpt,training/EXP_stride_f0.3_base_2023-03-16_00-59/logs/target/metrics.csv,6090,0,5940,,,,
GunPoint,CNN_DFS,True,0,0,128,5,4,0.71142578125,0.71142578125,0.7721764445304871,0.71705162525177,0.71705162525177,0.762275755405426,training/EXP_stride_f0.3_2023-03-16_01-03/logs/target/checkpoints/epoch=77-step=2418.ckpt,training/EXP_stride_f0.3_2023-03-16_01-03/logs/target/metrics.csv,6090,18090,5940,0.11126243323087692,0.987592875957489,training/EXP_stride_f0.3_2023-03-16_01-03/logs/pretrain/checkpoints/epoch=58-step=5487.ckpt,training/EXP_stride_f0.3_2023-03-16_01-03/logs/pretrain/metrics.csv
GunPoint,CNN_DFS,False,0,0,128,5,5,0.751953125,0.751953125,0.8261927366256714,0.672724187374115,0.672724187374115,0.7348062992095947,training/EXP_stride_f0.4_base_2023-03-16_01-10/logs/target/checkpoints/epoch=113-step=3534.ckpt,training/EXP_stride_f0.4_base_2023-03-16_01-10/logs/target/metrics.csv,6075,0,5925,,,,
GunPoint,CNN_DFS,True,0,0,128,5,5,0.68017578125,0.68017578125,0.7676608562469482,0.687160313129425,0.687160313129425,0.7352259159088135,training/EXP_stride_f0.4_2023-03-16_01-13/logs/target/checkpoints/epoch=42-step=1333.ckpt,training/EXP_stride_f0.4_2023-03-16_01-13/logs/target/metrics.csv,6075,18075,5925,0.11102203279733658,0.9876327514648438,training/EXP_stride_f0.4_2023-03-16_01-13/logs/pretrain/checkpoints/epoch=58-step=5487.ckpt,training/EXP_stride_f0.4_2023-03-16_01-13/logs/pretrain/metrics.csv
