dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Coffee,CNN_DFS,False,0,0,128,5,0.3333333432674408,0.3333333432674408,0.8029441833496094,0.4184957444667816,0.4184957444667816,0.46943628787994385,training/exp/EXP_ratio_f0.base_2023-02-25_18-41/logs/target/checkpoints/epoch=124-step=500.ckpt,training/exp/EXP_ratio_f0.base_2023-02-25_18-41/logs/target/metrics.csv,165,683,0,3417,,,,,,
Coffee,CNN_DFS,True,0,0,128,5,0.3333333432674408,0.3333333432674408,0.18598270416259766,0.4184957444667816,0.4184957444667816,0.46555399894714355,training/exp/EXP_ratio_f0.0_2023-02-25_19-02/logs/target/checkpoints/epoch=10-step=44.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-02/logs/target/metrics.csv,51,683,1941,3417,0.6046851873397827,0.6046851873397827,0.8932141661643982,training/exp/EXP_ratio_f0.0_2023-02-25_19-02/logs/pretrain/checkpoints/epoch=4-step=50.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-02/logs/pretrain/metrics.csv,10
Coffee,CNN_DFS,True,0,0,128,5,0.3333333432674408,0.3333333432674408,0.6149276494979858,0.4184957444667816,0.4184957444667816,0.37501320242881775,training/exp/EXP_ratio_f0.0_2023-02-25_19-10/logs/target/checkpoints/epoch=4-step=20.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-10/logs/target/metrics.csv,45,683,3882,3417,0.6464129090309143,0.6464129090309143,0.8776319622993469,training/exp/EXP_ratio_f0.0_2023-02-25_19-10/logs/pretrain/checkpoints/epoch=2-step=60.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-10/logs/pretrain/metrics.csv,8
Coffee,CNN_DFS,True,0,0,128,5,0.625,0.625,0.7542613744735718,0.46473515033721924,0.46473515033721924,0.4455024003982544,training/exp/EXP_ratio_f0.0_2023-02-25_19-17/logs/target/checkpoints/epoch=0-step=4.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-17/logs/target/metrics.csv,41,683,5825,3417,0.8580487966537476,0.8580487966537476,0.9654326438903809,training/exp/EXP_ratio_f0.0_2023-02-25_19-17/logs/pretrain/checkpoints/epoch=22-step=690.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-17/logs/pretrain/metrics.csv,28
Coffee,CNN_DFS,True,0,0,128,5,0.43939393758773804,0.43939393758773804,0.7018337249755859,0.4427860677242279,0.4427860677242279,0.44157540798187256,training/exp/EXP_ratio_f0.0_2023-02-25_19-27/logs/target/checkpoints/epoch=0-step=4.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-27/logs/target/metrics.csv,41,683,7766,3417,0.8016831278800964,0.8016831278800964,0.9417012333869934,training/exp/EXP_ratio_f0.0_2023-02-25_19-27/logs/pretrain/checkpoints/epoch=13-step=560.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-27/logs/pretrain/metrics.csv,19
Coffee,CNN_DFS,True,0,0,128,5,0.4962121248245239,0.4962121248245239,0.5566244721412659,0.4621012508869171,0.4621012508869171,0.45237329602241516,training/exp/EXP_ratio_f0.0_2023-02-25_19-36/logs/target/checkpoints/epoch=0-step=4.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-36/logs/target/metrics.csv,41,683,9709,3417,0.8501609563827515,0.8501609563827515,0.9605324864387512,training/exp/EXP_ratio_f0.0_2023-02-25_19-36/logs/pretrain/checkpoints/epoch=14-step=750.ckpt,training/exp/EXP_ratio_f0.0_2023-02-25_19-36/logs/pretrain/metrics.csv,20
Coffee,CNN_DFS,False,0,0,128,5,0.39962121844291687,0.39962121844291687,0.5734601020812988,0.4600526690483093,0.4600526690483093,0.38190123438835144,training/exp/EXP_ratio_f0.base_2023-02-25_19-45/logs/target/checkpoints/epoch=12-step=91.ckpt,training/exp/EXP_ratio_f0.base_2023-02-25_19-45/logs/target/metrics.csv,53,1366,0,3417,,,,,,
Coffee,CNN_DFS,True,0,0,128,5,0.4166666567325592,0.4166666567325592,0.5463060140609741,0.47644132375717163,0.47644132375717163,0.43622708320617676,training/exp/EXP_ratio_f0.1_2023-02-25_19-52/logs/target/checkpoints/epoch=77-step=546.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_19-52/logs/target/metrics.csv,118,1366,1941,3417,0.6544656157493591,0.6544656157493591,0.8984618186950684,training/exp/EXP_ratio_f0.1_2023-02-25_19-52/logs/pretrain/checkpoints/epoch=8-step=90.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_19-52/logs/pretrain/metrics.csv,14
Coffee,CNN_DFS,True,0,0,128,5,0.3125,0.3125,0.4300587475299835,0.45771142840385437,0.45771142840385437,0.37278497219085693,training/exp/EXP_ratio_f0.1_2023-02-25_20-10/logs/target/checkpoints/epoch=23-step=168.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-10/logs/target/metrics.csv,64,1366,3882,3417,0.6390922665596008,0.6390922665596008,0.8683147430419922,training/exp/EXP_ratio_f0.1_2023-02-25_20-10/logs/pretrain/checkpoints/epoch=2-step=60.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-10/logs/pretrain/metrics.csv,8
Coffee,CNN_DFS,True,0,0,128,5,0.5321969985961914,0.5321969985961914,0.7975690364837646,0.46444249153137207,0.46444249153137207,0.4510957598686218,training/exp/EXP_ratio_f0.1_2023-02-25_20-20/logs/target/checkpoints/epoch=41-step=294.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-20/logs/target/metrics.csv,82,1366,5825,3417,0.8502439260482788,0.8502439260482788,0.959564208984375,training/exp/EXP_ratio_f0.1_2023-02-25_20-20/logs/pretrain/checkpoints/epoch=25-step=780.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-20/logs/pretrain/metrics.csv,31
Coffee,CNN_DFS,True,0,0,128,5,0.34090909361839294,0.34090909361839294,0.4061329960823059,0.4910740554332733,0.4910740554332733,0.4114086925983429,training/exp/EXP_ratio_f0.1_2023-02-25_20-36/logs/target/checkpoints/epoch=97-step=686.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-36/logs/target/metrics.csv,138,1366,7766,3417,0.7991218566894531,0.7991218566894531,0.9129225015640259,training/exp/EXP_ratio_f0.1_2023-02-25_20-36/logs/pretrain/checkpoints/epoch=12-step=520.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-36/logs/pretrain/metrics.csv,18
Coffee,CNN_DFS,True,0,0,128,5,0.4469696879386902,0.4469696879386902,0.7542774677276611,0.47819724678993225,0.47819724678993225,0.43836307525634766,training/exp/EXP_ratio_f0.1_2023-02-25_20-58/logs/target/checkpoints/epoch=21-step=154.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-58/logs/target/metrics.csv,62,1366,9709,3417,0.8305531144142151,0.8305531144142151,0.9498865008354187,training/exp/EXP_ratio_f0.1_2023-02-25_20-58/logs/pretrain/checkpoints/epoch=13-step=700.ckpt,training/exp/EXP_ratio_f0.1_2023-02-25_20-58/logs/pretrain/metrics.csv,19
Coffee,CNN_DFS,False,0,0,128,5,0.6401515007019043,0.6401515007019043,0.5543606877326965,0.5788703560829163,0.5788703560829163,0.5709307193756104,training/exp/EXP_ratio_f0.base_2023-02-25_21-10/logs/target/checkpoints/epoch=199-step=2000.ckpt,training/exp/EXP_ratio_f0.base_2023-02-25_21-10/logs/target/metrics.csv,200,2050,0,3417,,,,,,
