dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
PowerCons,CNN_DFS,False,2,0,128,5,0.5885634422302246,0.5885634422302246,0.5382430553436279,0.610354483127594,0.610354483127594,0.6834069490432739,training/exp/EXP_ratio_f2.base_2023-02-28_12-24/logs/target/checkpoints/epoch=12-step=143.ckpt,training/exp/EXP_ratio_f2.base_2023-02-28_12-24/logs/target/metrics.csv,53,2099,0,10353,,,,,,
PowerCons,CNN_DFS,True,2,0,128,5,0.5285913348197937,0.5285913348197937,0.5511201620101929,0.6875301599502563,0.6875301599502563,0.7322559356689453,training/exp/EXP_ratio_f2.0_2023-02-28_12-32/logs/target/checkpoints/epoch=0-step=11.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_12-32/logs/target/metrics.csv,41,2099,6246,10353,0.5431157946586609,0.5431157946586609,0.8233321309089661,training/exp/EXP_ratio_f2.0_2023-02-28_12-32/logs/pretrain/checkpoints/epoch=27-step=924.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_12-32/logs/pretrain/metrics.csv,33
PowerCons,CNN_DFS,True,2,0,128,5,0.5202231407165527,0.5202231407165527,0.5397646427154541,0.6860813498497009,0.6860813498497009,0.7509040236473083,training/exp/EXP_ratio_f2.0_2023-02-28_12-44/logs/target/checkpoints/epoch=0-step=11.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_12-44/logs/target/metrics.csv,41,2099,12492,10353,0.5852786898612976,0.5852786898612976,0.8587262034416199,training/exp/EXP_ratio_f2.0_2023-02-28_12-44/logs/pretrain/checkpoints/epoch=22-step=1495.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_12-44/logs/pretrain/metrics.csv,28
PowerCons,CNN_DFS,True,2,0,128,5,0.5801952481269836,0.5801952481269836,0.5621196031570435,0.6478315591812134,0.6478315591812134,0.7186343669891357,training/exp/EXP_ratio_f2.0_2023-02-28_12-55/logs/target/checkpoints/epoch=7-step=88.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_12-55/logs/target/metrics.csv,48,2099,18739,10353,0.5968561172485352,0.5968561172485352,0.855568528175354,training/exp/EXP_ratio_f2.0_2023-02-28_12-55/logs/pretrain/checkpoints/epoch=17-step=1764.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_12-55/logs/pretrain/metrics.csv,23
PowerCons,CNN_DFS,True,2,0,128,5,0.5969316363334656,0.5969316363334656,0.6466022729873657,0.6392350196838379,0.6392350196838379,0.6760959029197693,training/exp/EXP_ratio_f2.0_2023-02-28_13-07/logs/target/checkpoints/epoch=12-step=143.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_13-07/logs/target/metrics.csv,53,2099,24985,10353,0.6041443347930908,0.6041443347930908,0.871674656867981,training/exp/EXP_ratio_f2.0_2023-02-28_13-07/logs/pretrain/checkpoints/epoch=14-step=1950.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_13-07/logs/pretrain/metrics.csv,20
PowerCons,CNN_DFS,True,2,0,128,5,0.589958131313324,0.589958131313324,0.62888503074646,0.651212215423584,0.651212215423584,0.7478219866752625,training/exp/EXP_ratio_f2.0_2023-02-28_13-20/logs/target/checkpoints/epoch=4-step=55.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_13-20/logs/target/metrics.csv,45,2099,31233,10353,0.6822901964187622,0.6822901964187622,0.898685097694397,training/exp/EXP_ratio_f2.0_2023-02-28_13-20/logs/pretrain/checkpoints/epoch=34-step=5670.ckpt,training/exp/EXP_ratio_f2.0_2023-02-28_13-20/logs/pretrain/metrics.csv,40
PowerCons,CNN_DFS,False,2,0,128,5,0.5871687531471252,0.5871687531471252,0.6908472776412964,0.6863710880279541,0.6863710880279541,0.7564302682876587,training/exp/EXP_ratio_f2.base_2023-02-28_13-40/logs/target/checkpoints/epoch=5-step=132.ckpt,training/exp/EXP_ratio_f2.base_2023-02-28_13-40/logs/target/metrics.csv,46,4198,0,10353,,,,,,
PowerCons,CNN_DFS,True,2,0,128,5,0.6666666865348816,0.6666666865348816,0.707602858543396,0.6948710680007935,0.6948710680007935,0.7677993774414062,training/exp/EXP_ratio_f2.1_2023-02-28_13-47/logs/target/checkpoints/epoch=0-step=22.ckpt,training/exp/EXP_ratio_f2.1_2023-02-28_13-47/logs/target/metrics.csv,41,4198,6246,10353,0.5607432126998901,0.5607432126998901,0.8312657475471497,training/exp/EXP_ratio_f2.1_2023-02-28_13-47/logs/pretrain/checkpoints/epoch=30-step=1023.ckpt,training/exp/EXP_ratio_f2.1_2023-02-28_13-47/logs/pretrain/metrics.csv,36
PowerCons,CNN_DFS,True,2,0,128,5,0.6764295697212219,0.6764295697212219,0.6996629238128662,0.6993142366409302,0.6993142366409302,0.7754716873168945,training/exp/EXP_ratio_f2.1_2023-02-28_13-59/logs/target/checkpoints/epoch=0-step=22.ckpt,training/exp/EXP_ratio_f2.1_2023-02-28_13-59/logs/target/metrics.csv,41,4198,12492,10353,0.5736064910888672,0.5736064910888672,0.8579884767532349,training/exp/EXP_ratio_f2.1_2023-02-28_13-59/logs/pretrain/checkpoints/epoch=26-step=1755.ckpt,training/exp/EXP_ratio_f2.1_2023-02-28_13-59/logs/pretrain/metrics.csv,32
PowerCons,CNN_DFS,True,2,0,128,5,0.6311017870903015,0.6311017870903015,0.7050538659095764,0.6231043934822083,0.6231043934822083,0.6742465496063232,training/exp/EXP_ratio_f2.1_2023-02-28_14-11/logs/target/checkpoints/epoch=69-step=1540.ckpt,training/exp/EXP_ratio_f2.1_2023-02-28_14-11/logs/target/metrics.csv,110,4198,18739,10353,0.6292473673820496,0.6292473673820496,0.8874998092651367,training/exp/EXP_ratio_f2.1_2023-02-28_14-11/logs/pretrain/checkpoints/epoch=29-step=2940.ckpt,training/exp/EXP_ratio_f2.1_2023-02-28_14-11/logs/pretrain/metrics.csv,35
