dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
Coffee,CNN_DFS,False,0,0,128,5,1,0.585156261920929,0.585156261920929,0.623202919960022,0.5504807829856873,0.5504807829856873,0.5578650236129761,training/EXP_stride_f0.0_base_2023-03-16_13-41/logs/target/checkpoints/epoch=114-step=1840.ckpt,training/EXP_stride_f0.0_base_2023-03-16_13-41/logs/target/metrics.csv,3417,0,3417,,,,
Coffee,CNN_DFS,True,0,0,128,5,1,0.78125,0.78125,0.8398275375366211,0.5877403616905212,0.5877403616905212,0.5984255075454712,training/EXP_stride_f0.0_2023-03-16_13-49/logs/target/checkpoints/epoch=115-step=1856.ckpt,training/EXP_stride_f0.0_2023-03-16_13-49/logs/target/metrics.csv,3417,9709,3417,0.1474727988243103,0.97752445936203,training/EXP_stride_f0.0_2023-03-16_13-49/logs/pretrain/checkpoints/epoch=58-step=2891.ckpt,training/EXP_stride_f0.0_2023-03-16_13-49/logs/pretrain/metrics.csv
Coffee,CNN_DFS,False,0,0,128,5,2,0.596875011920929,0.596875011920929,0.6105497479438782,0.5631009340286255,0.5631009340286255,0.5760844945907593,training/EXP_stride_f0.1_base_2023-03-16_14-05/logs/target/checkpoints/epoch=114-step=1840.ckpt,training/EXP_stride_f0.1_base_2023-03-16_14-05/logs/target/metrics.csv,3402,0,3402,,,,
Coffee,CNN_DFS,True,0,0,128,5,2,0.621874988079071,0.621874988079071,0.6841516494750977,0.5471754670143127,0.5471754670143127,0.5636021494865417,training/EXP_stride_f0.1_2023-03-16_14-14/logs/target/checkpoints/epoch=98-step=1584.ckpt,training/EXP_stride_f0.1_2023-03-16_14-14/logs/target/metrics.csv,3402,9694,3402,0.1562311053276062,0.9748181104660034,training/EXP_stride_f0.1_2023-03-16_14-14/logs/pretrain/checkpoints/epoch=58-step=2891.ckpt,training/EXP_stride_f0.1_2023-03-16_14-14/logs/pretrain/metrics.csv
Coffee,CNN_DFS,False,0,0,128,5,3,0.614062488079071,0.614062488079071,0.6934460401535034,0.5793269276618958,0.5793269276618958,0.589978814125061,training/EXP_stride_f0.2_base_2023-03-16_14-30/logs/target/checkpoints/epoch=103-step=1664.ckpt,training/EXP_stride_f0.2_base_2023-03-16_14-30/logs/target/metrics.csv,3387,0,3387,,,,
Coffee,CNN_DFS,True,0,0,128,5,3,0.625,0.625,0.6934843063354492,0.5919471383094788,0.5919471383094788,0.6006783246994019,training/EXP_stride_f0.2_2023-03-16_14-39/logs/target/checkpoints/epoch=118-step=1904.ckpt,training/EXP_stride_f0.2_2023-03-16_14-39/logs/target/metrics.csv,3387,9679,3387,0.16847346723079681,0.9708837270736694,training/EXP_stride_f0.2_2023-03-16_14-39/logs/pretrain/checkpoints/epoch=59-step=2940.ckpt,training/EXP_stride_f0.2_2023-03-16_14-39/logs/pretrain/metrics.csv
Coffee,CNN_DFS,False,0,0,128,5,4,0.6163194179534912,0.6163194179534912,0.6465245485305786,0.5207331776618958,0.5207331776618958,0.6005614995956421,training/EXP_stride_f0.3_base_2023-03-16_14-56/logs/target/checkpoints/epoch=103-step=1664.ckpt,training/EXP_stride_f0.3_base_2023-03-16_14-56/logs/target/metrics.csv,3372,0,3372,,,,
Coffee,CNN_DFS,True,0,0,128,5,4,0.6232638955116272,0.6232638955116272,0.6953339576721191,0.5567908883094788,0.5567908883094788,0.6065201163291931,training/EXP_stride_f0.3_2023-03-16_15-04/logs/target/checkpoints/epoch=79-step=1280.ckpt,training/EXP_stride_f0.3_2023-03-16_15-04/logs/target/metrics.csv,3372,9664,3372,0.1678553968667984,0.9712192416191101,training/EXP_stride_f0.3_2023-03-16_15-04/logs/pretrain/checkpoints/epoch=58-step=2891.ckpt,training/EXP_stride_f0.3_2023-03-16_15-04/logs/pretrain/metrics.csv
Coffee,CNN_DFS,False,0,0,128,5,5,0.6336805820465088,0.6336805820465088,0.655292272567749,0.5453726053237915,0.5453726053237915,0.5784614086151123,training/EXP_stride_f0.4_base_2023-03-16_15-21/logs/target/checkpoints/epoch=96-step=1552.ckpt,training/EXP_stride_f0.4_base_2023-03-16_15-21/logs/target/metrics.csv,3357,0,3357,,,,
Coffee,CNN_DFS,True,0,0,128,5,5,0.6293402910232544,0.6293402910232544,0.666653573513031,0.5640023946762085,0.5640023946762085,0.6197067499160767,training/EXP_stride_f0.4_2023-03-16_15-30/logs/target/checkpoints/epoch=109-step=1760.ckpt,training/EXP_stride_f0.4_2023-03-16_15-30/logs/target/metrics.csv,3357,9649,3357,0.15844200551509857,0.9744232892990112,training/EXP_stride_f0.4_2023-03-16_15-30/logs/pretrain/checkpoints/epoch=57-step=2842.ckpt,training/EXP_stride_f0.4_2023-03-16_15-30/logs/pretrain/metrics.csv
