dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
ECG200,CNN_DFS,False,1,0,128,5,1,0.699999988079071,0.699999988079071,0.6137295365333557,0.6465517282485962,0.6465517282485962,0.5231727957725525,training/EXP_stride_f1.0_base_2023-03-16_21-36/logs/target/checkpoints/epoch=0-step=20.ckpt,training/EXP_stride_f1.0_base_2023-03-16_21-36/logs/target/metrics.csv,3921,0,3825,,,,
ECG200,CNN_DFS,True,1,0,128,5,1,0.7359374761581421,0.7359374761581421,0.7241385579109192,0.6460129022598267,0.6460129022598267,0.6158145070075989,training/EXP_stride_f1.0_2023-03-16_21-43/logs/target/checkpoints/epoch=39-step=800.ckpt,training/EXP_stride_f1.0_2023-03-16_21-43/logs/target/metrics.csv,3921,11601,3825,0.2139158993959427,0.9539100527763367,training/EXP_stride_f1.0_2023-03-16_21-43/logs/pretrain/checkpoints/epoch=59-step=3600.ckpt,training/EXP_stride_f1.0_2023-03-16_21-43/logs/pretrain/metrics.csv
ECG200,CNN_DFS,False,1,0,128,5,2,0.7242187261581421,0.7242187261581421,0.6392328143119812,0.6457435488700867,0.6457435488700867,0.5596868991851807,training/EXP_stride_f1.1_base_2023-03-16_21-55/logs/target/checkpoints/epoch=37-step=760.ckpt,training/EXP_stride_f1.1_base_2023-03-16_21-55/logs/target/metrics.csv,3906,0,3810,,,,
ECG200,CNN_DFS,True,1,0,128,5,2,0.739062488079071,0.739062488079071,0.6756446361541748,0.6449353694915771,0.6449353694915771,0.5903118848800659,training/EXP_stride_f1.1_2023-03-16_22-02/logs/target/checkpoints/epoch=23-step=480.ckpt,training/EXP_stride_f1.1_2023-03-16_22-02/logs/target/metrics.csv,3906,11586,3810,0.23898956179618835,0.9421544075012207,training/EXP_stride_f1.1_2023-03-16_22-02/logs/pretrain/checkpoints/epoch=59-step=3600.ckpt,training/EXP_stride_f1.1_2023-03-16_22-02/logs/pretrain/metrics.csv
ECG200,CNN_DFS,False,1,0,128,5,3,0.7242187261581421,0.7242187261581421,0.6116848587989807,0.6608297228813171,0.6608297228813171,0.5973961353302002,training/EXP_stride_f1.2_base_2023-03-16_22-15/logs/target/checkpoints/epoch=34-step=700.ckpt,training/EXP_stride_f1.2_base_2023-03-16_22-15/logs/target/metrics.csv,3891,0,3795,,,,
ECG200,CNN_DFS,True,1,0,128,5,3,0.784375011920929,0.784375011920929,0.7694899439811707,0.6659482717514038,0.6659482717514038,0.641567587852478,training/EXP_stride_f1.2_2023-03-16_22-21/logs/target/checkpoints/epoch=40-step=820.ckpt,training/EXP_stride_f1.2_2023-03-16_22-21/logs/target/metrics.csv,3891,11571,3795,0.2788560092449188,0.921463131904602,training/EXP_stride_f1.2_2023-03-16_22-21/logs/pretrain/checkpoints/epoch=57-step=3480.ckpt,training/EXP_stride_f1.2_2023-03-16_22-21/logs/pretrain/metrics.csv
ECG200,CNN_DFS,False,1,0,128,5,4,0.721875011920929,0.721875011920929,0.5989256501197815,0.6465517282485962,0.6465517282485962,0.519127368927002,training/EXP_stride_f1.3_base_2023-03-16_22-34/logs/target/checkpoints/epoch=0-step=20.ckpt,training/EXP_stride_f1.3_base_2023-03-16_22-34/logs/target/metrics.csv,3876,0,3780,,,,
ECG200,CNN_DFS,True,1,0,128,5,4,0.766406238079071,0.766406238079071,0.7735936641693115,0.6697198152542114,0.6697198152542114,0.6358053088188171,training/EXP_stride_f1.3_2023-03-16_22-41/logs/target/checkpoints/epoch=53-step=1080.ckpt,training/EXP_stride_f1.3_2023-03-16_22-41/logs/target/metrics.csv,3876,11556,3780,0.3182922601699829,0.8977689743041992,training/EXP_stride_f1.3_2023-03-16_22-41/logs/pretrain/checkpoints/epoch=59-step=3600.ckpt,training/EXP_stride_f1.3_2023-03-16_22-41/logs/pretrain/metrics.csv
ECG200,CNN_DFS,False,1,0,128,5,5,0.741406261920929,0.741406261920929,0.6027064323425293,0.6581357717514038,0.6581357717514038,0.6091830730438232,training/EXP_stride_f1.4_base_2023-03-16_22-54/logs/target/checkpoints/epoch=28-step=580.ckpt,training/EXP_stride_f1.4_base_2023-03-16_22-54/logs/target/metrics.csv,3861,0,3765,,,,
ECG200,CNN_DFS,True,1,0,128,5,5,0.7593749761581421,0.7593749761581421,0.7026622295379639,0.681034505367279,0.681034505367279,0.6122773885726929,training/EXP_stride_f1.4_2023-03-16_23-01/logs/target/checkpoints/epoch=38-step=780.ckpt,training/EXP_stride_f1.4_2023-03-16_23-01/logs/target/metrics.csv,3861,11541,3765,0.34850406646728516,0.8774272203445435,training/EXP_stride_f1.4_2023-03-16_23-01/logs/pretrain/checkpoints/epoch=59-step=3600.ckpt,training/EXP_stride_f1.4_2023-03-16_23-01/logs/pretrain/metrics.csv
