dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
Plane,CNN_DFS,False,1,0,128,5,1,0.345703125,0.345703125,0.5966827273368835,0.5039893388748169,0.5039893388748169,0.7918290495872498,training/EXP_stride_f1.0_base_2023-03-16_16-04/logs/target/checkpoints/epoch=101-step=3162.ckpt,training/EXP_stride_f1.0_base_2023-03-16_16-04/logs/target/metrics.csv,6177,0,6033,,,,
Plane,CNN_DFS,True,1,0,128,5,1,0.3876953125,0.3876953125,0.6002822518348694,0.5388962626457214,0.5388962626457214,0.7994639277458191,training/EXP_stride_f1.0_2023-03-16_16-13/logs/target/checkpoints/epoch=119-step=3720.ckpt,training/EXP_stride_f1.0_2023-03-16_16-13/logs/target/metrics.csv,6177,18273,6033,0.07700791209936142,0.9939929246902466,training/EXP_stride_f1.0_2023-03-16_16-13/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/EXP_stride_f1.0_2023-03-16_16-13/logs/pretrain/metrics.csv
Plane,CNN_DFS,False,1,0,128,5,2,0.3330078125,0.3330078125,0.5840250849723816,0.5197805762290955,0.5197805762290955,0.7861900329589844,training/EXP_stride_f1.1_base_2023-03-16_16-33/logs/target/checkpoints/epoch=103-step=3224.ckpt,training/EXP_stride_f1.1_base_2023-03-16_16-33/logs/target/metrics.csv,6162,0,6018,,,,
Plane,CNN_DFS,True,1,0,128,5,2,0.3876953125,0.3876953125,0.5929833650588989,0.5495345592498779,0.5495345592498779,0.7939842343330383,training/EXP_stride_f1.1_2023-03-16_16-43/logs/target/checkpoints/epoch=113-step=3534.ckpt,training/EXP_stride_f1.1_2023-03-16_16-43/logs/target/metrics.csv,6162,18258,6018,0.08782216161489487,0.9921868443489075,training/EXP_stride_f1.1_2023-03-16_16-43/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/EXP_stride_f1.1_2023-03-16_16-43/logs/pretrain/metrics.csv
Plane,CNN_DFS,False,1,0,128,5,3,0.30078125,0.30078125,0.6039079427719116,0.49643343687057495,0.49643343687057495,0.8015748262405396,training/EXP_stride_f1.2_base_2023-03-16_17-03/logs/target/checkpoints/epoch=117-step=3658.ckpt,training/EXP_stride_f1.2_base_2023-03-16_17-03/logs/target/metrics.csv,6147,0,6003,,,,
Plane,CNN_DFS,True,1,0,128,5,3,0.2841796875,0.2841796875,0.5671707391738892,0.4602581560611725,0.4602581560611725,0.7513412833213806,training/EXP_stride_f1.2_2023-03-16_17-12/logs/target/checkpoints/epoch=102-step=3193.ckpt,training/EXP_stride_f1.2_2023-03-16_17-12/logs/target/metrics.csv,6147,18243,6003,0.10097717493772507,0.9896701574325562,training/EXP_stride_f1.2_2023-03-16_17-12/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/EXP_stride_f1.2_2023-03-16_17-12/logs/pretrain/metrics.csv
Plane,CNN_DFS,False,1,0,128,5,4,0.330078125,0.330078125,0.5963696241378784,0.496942937374115,0.496942937374115,0.7750310897827148,training/EXP_stride_f1.3_base_2023-03-16_17-33/logs/target/checkpoints/epoch=117-step=3658.ckpt,training/EXP_stride_f1.3_base_2023-03-16_17-33/logs/target/metrics.csv,6132,0,5988,,,,
Plane,CNN_DFS,True,1,0,128,5,4,0.31640625,0.31640625,0.5931881666183472,0.47877037525177,0.47877037525177,0.7824741005897522,training/EXP_stride_f1.3_2023-03-16_17-42/logs/target/checkpoints/epoch=103-step=3224.ckpt,training/EXP_stride_f1.3_2023-03-16_17-42/logs/target/metrics.csv,6132,18228,5988,0.10765697807073593,0.9883484840393066,training/EXP_stride_f1.3_2023-03-16_17-42/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/EXP_stride_f1.3_2023-03-16_17-42/logs/pretrain/metrics.csv
Plane,CNN_DFS,False,1,0,128,5,5,0.2822265625,0.2822265625,0.6026129722595215,0.453125,0.453125,0.765340268611908,training/EXP_stride_f1.4_base_2023-03-16_18-03/logs/target/checkpoints/epoch=119-step=3720.ckpt,training/EXP_stride_f1.4_base_2023-03-16_18-03/logs/target/metrics.csv,6117,0,5973,,,,
Plane,CNN_DFS,True,1,0,128,5,5,0.33935546875,0.33935546875,0.639764666557312,0.475713312625885,0.475713312625885,0.8088082075119019,training/EXP_stride_f1.4_2023-03-16_18-13/logs/target/checkpoints/epoch=119-step=3720.ckpt,training/EXP_stride_f1.4_2023-03-16_18-13/logs/target/metrics.csv,6117,18213,5973,0.12148548662662506,0.9851561784744263,training/EXP_stride_f1.4_2023-03-16_18-13/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/EXP_stride_f1.4_2023-03-16_18-13/logs/pretrain/metrics.csv
