dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
ECG200,ResNet_DFS,False,1,0,128,5,1,0.735156238079071,0.735156238079071,0.7565751075744629,0.6519396305084229,0.6519396305084229,0.625849723815918,training/EXP_stride_f1.0_base_2023-03-16_22-22/logs/target/checkpoints/epoch=45-step=920.ckpt,training/EXP_stride_f1.0_base_2023-03-16_22-22/logs/target/metrics.csv,3921,0,3825,,,,
ECG200,ResNet_DFS,True,1,0,128,5,1,0.75390625,0.75390625,0.7855950593948364,0.625,0.625,0.6189543008804321,training/EXP_stride_f1.0_2023-03-16_22-36/logs/target/checkpoints/epoch=36-step=740.ckpt,training/EXP_stride_f1.0_2023-03-16_22-36/logs/target/metrics.csv,3921,11601,3825,0.17610107362270355,0.9687649011611938,training/EXP_stride_f1.0_2023-03-16_22-36/logs/pretrain/checkpoints/epoch=59-step=3600.ckpt,training/EXP_stride_f1.0_2023-03-16_22-36/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,False,1,0,128,5,2,0.7242187261581421,0.7242187261581421,0.7081625461578369,0.6212284564971924,0.6212284564971924,0.57578444480896,training/EXP_stride_f1.1_base_2023-03-16_23-06/logs/target/checkpoints/epoch=68-step=1380.ckpt,training/EXP_stride_f1.1_base_2023-03-16_23-06/logs/target/metrics.csv,3906,0,3810,,,,
ECG200,ResNet_DFS,True,1,0,128,5,2,0.7445312738418579,0.7445312738418579,0.7933001518249512,0.657597005367279,0.657597005367279,0.6038219332695007,training/EXP_stride_f1.1_2023-03-16_23-20/logs/target/checkpoints/epoch=10-step=220.ckpt,training/EXP_stride_f1.1_2023-03-16_23-20/logs/target/metrics.csv,3906,11586,3810,0.23644055426120758,0.9433767199516296,training/EXP_stride_f1.1_2023-03-16_23-20/logs/pretrain/checkpoints/epoch=51-step=3120.ckpt,training/EXP_stride_f1.1_2023-03-16_23-20/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,False,1,0,128,5,3,0.727343738079071,0.727343738079071,0.7821545004844666,0.6379310488700867,0.6379310488700867,0.6150625944137573,training/EXP_stride_f1.2_base_2023-03-16_23-51/logs/target/checkpoints/epoch=17-step=360.ckpt,training/EXP_stride_f1.2_base_2023-03-16_23-51/logs/target/metrics.csv,3891,0,3795,,,,
ECG200,ResNet_DFS,True,1,0,128,5,3,0.735156238079071,0.735156238079071,0.775159478187561,0.646821141242981,0.646821141242981,0.6504865288734436,training/EXP_stride_f1.2_2023-03-17_00-05/logs/target/checkpoints/epoch=23-step=480.ckpt,training/EXP_stride_f1.2_2023-03-17_00-05/logs/target/metrics.csv,3891,11571,3795,0.28037041425704956,0.9206156730651855,training/EXP_stride_f1.2_2023-03-17_00-05/logs/pretrain/checkpoints/epoch=55-step=3360.ckpt,training/EXP_stride_f1.2_2023-03-17_00-05/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,False,1,0,128,5,4,0.7484375238418579,0.7484375238418579,0.6923116445541382,0.6460129022598267,0.6460129022598267,0.5582607984542847,training/EXP_stride_f1.3_base_2023-03-17_00-35/logs/target/checkpoints/epoch=7-step=160.ckpt,training/EXP_stride_f1.3_base_2023-03-17_00-35/logs/target/metrics.csv,3876,0,3780,,,,
ECG200,ResNet_DFS,True,1,0,128,5,4,0.7515624761581421,0.7515624761581421,0.7439259886741638,0.662715494632721,0.662715494632721,0.6100643873214722,training/EXP_stride_f1.3_2023-03-17_00-50/logs/target/checkpoints/epoch=8-step=180.ckpt,training/EXP_stride_f1.3_2023-03-17_00-50/logs/target/metrics.csv,3876,11556,3780,0.30607154965400696,0.9054692983627319,training/EXP_stride_f1.3_2023-03-17_00-50/logs/pretrain/checkpoints/epoch=59-step=3600.ckpt,training/EXP_stride_f1.3_2023-03-17_00-50/logs/pretrain/metrics.csv
ECG200,ResNet_DFS,False,1,0,128,5,5,0.7578125,0.7578125,0.7627444267272949,0.6791487336158752,0.6791487336158752,0.6629875302314758,training/EXP_stride_f1.4_base_2023-03-17_01-20/logs/target/checkpoints/epoch=42-step=860.ckpt,training/EXP_stride_f1.4_base_2023-03-17_01-20/logs/target/metrics.csv,3861,0,3765,,,,
ECG200,ResNet_DFS,True,1,0,128,5,5,0.75390625,0.75390625,0.6529314517974854,0.6514008641242981,0.6514008641242981,0.5778992176055908,training/EXP_stride_f1.4_2023-03-17_01-34/logs/target/checkpoints/epoch=5-step=120.ckpt,training/EXP_stride_f1.4_2023-03-17_01-34/logs/target/metrics.csv,3861,11541,3765,0.33913224935531616,0.8839267492294312,training/EXP_stride_f1.4_2023-03-17_01-34/logs/pretrain/checkpoints/epoch=56-step=3420.ckpt,training/EXP_stride_f1.4_2023-03-17_01-34/logs/pretrain/metrics.csv
