dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
GunPoint,ResNet_DFS,False,1,0,128,5,1,0.642578125,0.642578125,0.6847476363182068,0.56589674949646,0.56589674949646,0.5999258756637573,training/EXP_stride_f1.0_base_2023-03-16_13-39/logs/target/checkpoints/epoch=72-step=2263.ckpt,training/EXP_stride_f1.0_base_2023-03-16_13-39/logs/target/metrics.csv,6135,0,5985,,,,
GunPoint,ResNet_DFS,True,1,0,128,5,1,0.6748046875,0.6748046875,0.7351332902908325,0.5822010636329651,0.5822010636329651,0.6548622846603394,training/EXP_stride_f1.0_2023-03-16_14-13/logs/target/checkpoints/epoch=60-step=1891.ckpt,training/EXP_stride_f1.0_2023-03-16_14-13/logs/target/metrics.csv,6135,18135,5985,0.08832584321498871,0.992131233215332,training/EXP_stride_f1.0_2023-03-16_14-13/logs/pretrain/checkpoints/epoch=51-step=4836.ckpt,training/EXP_stride_f1.0_2023-03-16_14-13/logs/pretrain/metrics.csv
GunPoint,ResNet_DFS,False,1,0,128,5,2,0.6416015625,0.6416015625,0.7341102957725525,0.5859375,0.5859375,0.6543004512786865,training/EXP_stride_f1.1_base_2023-03-16_15-34/logs/target/checkpoints/epoch=48-step=1519.ckpt,training/EXP_stride_f1.1_base_2023-03-16_15-34/logs/target/metrics.csv,6120,0,5970,,,,
GunPoint,ResNet_DFS,True,1,0,128,5,2,0.66455078125,0.66455078125,0.6908298134803772,0.5601223111152649,0.5601223111152649,0.6012287139892578,training/EXP_stride_f1.1_2023-03-16_16-08/logs/target/checkpoints/epoch=92-step=2883.ckpt,training/EXP_stride_f1.1_2023-03-16_16-08/logs/target/metrics.csv,6120,18120,5970,0.09229347854852676,0.9913829565048218,training/EXP_stride_f1.1_2023-03-16_16-08/logs/pretrain/checkpoints/epoch=53-step=5022.ckpt,training/EXP_stride_f1.1_2023-03-16_16-08/logs/pretrain/metrics.csv
GunPoint,ResNet_DFS,False,1,0,128,5,3,0.71044921875,0.71044921875,0.776889443397522,0.6075068116188049,0.6075068116188049,0.7179646492004395,training/EXP_stride_f1.2_base_2023-03-16_17-29/logs/target/checkpoints/epoch=58-step=1829.ckpt,training/EXP_stride_f1.2_base_2023-03-16_17-29/logs/target/metrics.csv,6105,0,5955,,,,
GunPoint,ResNet_DFS,True,1,0,128,5,3,0.68896484375,0.68896484375,0.7687910795211792,0.602411687374115,0.602411687374115,0.7437667846679688,training/EXP_stride_f1.2_2023-03-16_18-04/logs/target/checkpoints/epoch=59-step=1860.ckpt,training/EXP_stride_f1.2_2023-03-16_18-04/logs/target/metrics.csv,6105,18105,5955,0.09449651837348938,0.990969181060791,training/EXP_stride_f1.2_2023-03-16_18-04/logs/pretrain/checkpoints/epoch=58-step=5487.ckpt,training/EXP_stride_f1.2_2023-03-16_18-04/logs/pretrain/metrics.csv
GunPoint,ResNet_DFS,False,1,0,128,5,4,0.712890625,0.712890625,0.7774107456207275,0.6447010636329651,0.6447010636329651,0.693927526473999,training/EXP_stride_f1.3_base_2023-03-16_19-26/logs/target/checkpoints/epoch=78-step=2449.ckpt,training/EXP_stride_f1.3_base_2023-03-16_19-26/logs/target/metrics.csv,6090,0,5940,,,,
GunPoint,ResNet_DFS,True,1,0,128,5,4,0.73828125,0.73828125,0.7997310161590576,0.6773098111152649,0.6773098111152649,0.7566965818405151,training/EXP_stride_f1.3_2023-03-16_20-01/logs/target/checkpoints/epoch=60-step=1891.ckpt,training/EXP_stride_f1.3_2023-03-16_20-01/logs/target/metrics.csv,6090,18090,5940,0.11037538200616837,0.9876891374588013,training/EXP_stride_f1.3_2023-03-16_20-01/logs/pretrain/checkpoints/epoch=44-step=4185.ckpt,training/EXP_stride_f1.3_2023-03-16_20-01/logs/pretrain/metrics.csv
GunPoint,ResNet_DFS,False,1,0,128,5,5,0.7236328125,0.7236328125,0.7914557456970215,0.661514937877655,0.661514937877655,0.7470152378082275,training/EXP_stride_f1.4_base_2023-03-16_21-23/logs/target/checkpoints/epoch=55-step=1736.ckpt,training/EXP_stride_f1.4_base_2023-03-16_21-23/logs/target/metrics.csv,6075,0,5925,,,,
GunPoint,ResNet_DFS,True,1,0,128,5,5,0.7041015625,0.7041015625,0.7561435699462891,0.6686481237411499,0.6686481237411499,0.7345463037490845,training/EXP_stride_f1.4_2023-03-16_21-58/logs/target/checkpoints/epoch=84-step=2635.ckpt,training/EXP_stride_f1.4_2023-03-16_21-58/logs/target/metrics.csv,6075,18075,5925,0.12192193418741226,0.9849919080734253,training/EXP_stride_f1.4_2023-03-16_21-58/logs/pretrain/checkpoints/epoch=47-step=4464.ckpt,training/EXP_stride_f1.4_2023-03-16_21-58/logs/pretrain/metrics.csv
