dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
Plane,ResNet_DFS,False,2,0,128,5,1,0.587890625,0.587890625,0.7333024144172668,0.6161901354789734,0.6161901354789734,0.8790055513381958,training/EXP_stride_f2.0_base_2023-03-16_13-39/logs/target/checkpoints/epoch=118-step=3689.ckpt,training/EXP_stride_f2.0_base_2023-03-16_13-39/logs/target/metrics.csv,6177,0,6033,,,,
Plane,ResNet_DFS,True,2,0,128,5,1,0.66162109375,0.66162109375,0.7304617762565613,0.7049534320831299,0.7049534320831299,0.9082375168800354,training/EXP_stride_f2.0_2023-03-16_14-06/logs/target/checkpoints/epoch=106-step=3317.ckpt,training/EXP_stride_f2.0_2023-03-16_14-06/logs/target/metrics.csv,6177,18273,6033,0.061054378747940063,0.9962237477302551,training/EXP_stride_f2.0_2023-03-16_14-06/logs/pretrain/checkpoints/epoch=58-step=5546.ckpt,training/EXP_stride_f2.0_2023-03-16_14-06/logs/pretrain/metrics.csv
Plane,ResNet_DFS,False,2,0,128,5,2,0.59716796875,0.59716796875,0.733110249042511,0.690990686416626,0.690990686416626,0.898835301399231,training/EXP_stride_f2.1_base_2023-03-16_15-09/logs/target/checkpoints/epoch=107-step=3348.ckpt,training/EXP_stride_f2.1_base_2023-03-16_15-09/logs/target/metrics.csv,6162,0,6018,,,,
Plane,ResNet_DFS,True,2,0,128,5,2,0.65771484375,0.65771484375,0.7399855852127075,0.727393627166748,0.727393627166748,0.9110793471336365,training/EXP_stride_f2.1_2023-03-16_15-37/logs/target/checkpoints/epoch=98-step=3069.ckpt,training/EXP_stride_f2.1_2023-03-16_15-37/logs/target/metrics.csv,6162,18258,6018,0.06463021039962769,0.9957675933837891,training/EXP_stride_f2.1_2023-03-16_15-37/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/EXP_stride_f2.1_2023-03-16_15-37/logs/pretrain/metrics.csv
Plane,ResNet_DFS,False,2,0,128,5,3,0.525390625,0.525390625,0.7042893171310425,0.5939198136329651,0.5939198136329651,0.8724740743637085,training/EXP_stride_f2.2_base_2023-03-16_16-41/logs/target/checkpoints/epoch=115-step=3596.ckpt,training/EXP_stride_f2.2_base_2023-03-16_16-41/logs/target/metrics.csv,6147,0,6003,,,,
Plane,ResNet_DFS,True,2,0,128,5,3,0.66162109375,0.66162109375,0.7419837713241577,0.715692937374115,0.715692937374115,0.9102497696876526,training/EXP_stride_f2.2_2023-03-16_17-08/logs/target/checkpoints/epoch=111-step=3472.ckpt,training/EXP_stride_f2.2_2023-03-16_17-08/logs/target/metrics.csv,6147,18243,6003,0.07252709567546844,0.9946688413619995,training/EXP_stride_f2.2_2023-03-16_17-08/logs/pretrain/checkpoints/epoch=58-step=5546.ckpt,training/EXP_stride_f2.2_2023-03-16_17-08/logs/pretrain/metrics.csv
Plane,ResNet_DFS,False,2,0,128,5,4,0.58447265625,0.58447265625,0.7170291543006897,0.6329823136329651,0.6329823136329651,0.8636435866355896,training/EXP_stride_f2.3_base_2023-03-16_18-13/logs/target/checkpoints/epoch=93-step=2914.ckpt,training/EXP_stride_f2.3_base_2023-03-16_18-13/logs/target/metrics.csv,6132,0,5988,,,,
Plane,ResNet_DFS,True,2,0,128,5,4,0.67626953125,0.67626953125,0.7566143274307251,0.73828125,0.73828125,0.9177185297012329,training/EXP_stride_f2.3_2023-03-16_18-40/logs/target/checkpoints/epoch=117-step=3658.ckpt,training/EXP_stride_f2.3_2023-03-16_18-40/logs/target/metrics.csv,6132,18228,5988,0.07753421366214752,0.9939537048339844,training/EXP_stride_f2.3_2023-03-16_18-40/logs/pretrain/checkpoints/epoch=57-step=5452.ckpt,training/EXP_stride_f2.3_2023-03-16_18-40/logs/pretrain/metrics.csv
Plane,ResNet_DFS,False,2,0,128,5,5,0.58349609375,0.58349609375,0.7272765040397644,0.5949388742446899,0.5949388742446899,0.8553106188774109,training/EXP_stride_f2.4_base_2023-03-16_19-45/logs/target/checkpoints/epoch=101-step=3162.ckpt,training/EXP_stride_f2.4_base_2023-03-16_19-45/logs/target/metrics.csv,6117,0,5973,,,,
Plane,ResNet_DFS,True,2,0,128,5,5,0.662109375,0.662109375,0.7581579089164734,0.69921875,0.69921875,0.9136523008346558,training/EXP_stride_f2.4_2023-03-16_20-13/logs/target/checkpoints/epoch=109-step=3410.ckpt,training/EXP_stride_f2.4_2023-03-16_20-13/logs/target/metrics.csv,6117,18213,5973,0.08886829763650894,0.9920562505722046,training/EXP_stride_f2.4_2023-03-16_20-13/logs/pretrain/checkpoints/epoch=59-step=5640.ckpt,training/EXP_stride_f2.4_2023-03-16_20-13/logs/pretrain/metrics.csv
