dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
PowerCons,ResNet_DFS,False,0,0,128,5,1,0.6955915093421936,0.6955915093421936,0.7185553312301636,0.654296875,0.654296875,0.6988412141799927,training/EXP_stride_f0.0_base_2023-03-16_13-39/logs/target/checkpoints/epoch=24-step=1350.ckpt,training/EXP_stride_f0.0_base_2023-03-16_13-39/logs/target/metrics.csv,10497,0,10353,,,,
PowerCons,ResNet_DFS,True,0,0,128,5,1,0.7165178656578064,0.7165178656578064,0.7594013214111328,0.654980480670929,0.654980480670929,0.7247034907341003,training/EXP_stride_f0.0_2023-03-16_14-37/logs/target/checkpoints/epoch=4-step=270.ckpt,training/EXP_stride_f0.0_2023-03-16_14-37/logs/target/metrics.csv,10497,31233,10353,0.22851680219173431,0.9570916295051575,training/EXP_stride_f0.0_2023-03-16_14-37/logs/pretrain/checkpoints/epoch=53-step=8748.ckpt,training/EXP_stride_f0.0_2023-03-16_14-37/logs/pretrain/metrics.csv
PowerCons,ResNet_DFS,False,0,0,128,5,2,0.6681134104728699,0.6681134104728699,0.7155680656433105,0.666308581829071,0.666308581829071,0.7191089391708374,training/EXP_stride_f0.1_base_2023-03-16_16-57/logs/target/checkpoints/epoch=30-step=1674.ckpt,training/EXP_stride_f0.1_base_2023-03-16_16-57/logs/target/metrics.csv,10482,0,10338,,,,
PowerCons,ResNet_DFS,True,0,0,128,5,2,0.7025462985038757,0.7025462985038757,0.7537649869918823,0.658203125,0.658203125,0.7268575429916382,training/EXP_stride_f0.1_2023-03-16_17-54/logs/target/checkpoints/epoch=4-step=270.ckpt,training/EXP_stride_f0.1_2023-03-16_17-54/logs/target/metrics.csv,10482,31218,10338,0.2604214549064636,0.9443333745002747,training/EXP_stride_f0.1_2023-03-16_17-54/logs/pretrain/checkpoints/epoch=59-step=9720.ckpt,training/EXP_stride_f0.1_2023-03-16_17-54/logs/pretrain/metrics.csv
PowerCons,ResNet_DFS,False,0,0,128,5,3,0.6484375,0.6484375,0.7141963243484497,0.6534179449081421,0.6534179449081421,0.7020378112792969,training/EXP_stride_f0.2_base_2023-03-16_20-14/logs/target/checkpoints/epoch=1-step=108.ckpt,training/EXP_stride_f0.2_base_2023-03-16_20-14/logs/target/metrics.csv,10467,0,10323,,,,
PowerCons,ResNet_DFS,True,0,0,128,5,3,0.6964699029922485,0.6964699029922485,0.744240939617157,0.6639648675918579,0.6639648675918579,0.7134354114532471,training/EXP_stride_f0.2_2023-03-16_21-13/logs/target/checkpoints/epoch=9-step=540.ckpt,training/EXP_stride_f0.2_2023-03-16_21-13/logs/target/metrics.csv,10467,31203,10323,0.324350506067276,0.9136252403259277,training/EXP_stride_f0.2_2023-03-16_21-13/logs/pretrain/checkpoints/epoch=41-step=6804.ckpt,training/EXP_stride_f0.2_2023-03-16_21-13/logs/pretrain/metrics.csv
PowerCons,ResNet_DFS,False,0,0,128,5,4,0.6574074029922485,0.6574074029922485,0.708765983581543,0.660351574420929,0.660351574420929,0.7199628353118896,training/EXP_stride_f0.3_base_2023-03-16_23-34/logs/target/checkpoints/epoch=43-step=2376.ckpt,training/EXP_stride_f0.3_base_2023-03-16_23-34/logs/target/metrics.csv,10452,0,10308,,,,
PowerCons,ResNet_DFS,True,0,0,128,5,4,0.6475694179534912,0.6475694179534912,0.7257521152496338,0.6451171636581421,0.6451171636581421,0.6985330581665039,training/EXP_stride_f0.3_2023-03-17_00-32/logs/target/checkpoints/epoch=0-step=54.ckpt,training/EXP_stride_f0.3_2023-03-17_00-32/logs/target/metrics.csv,10452,31188,10308,0.35682836174964905,0.8954477310180664,training/EXP_stride_f0.3_2023-03-17_00-32/logs/pretrain/checkpoints/epoch=51-step=8424.ckpt,training/EXP_stride_f0.3_2023-03-17_00-32/logs/pretrain/metrics.csv
PowerCons,ResNet_DFS,False,0,0,128,5,5,0.6461226940155029,0.6461226940155029,0.7200279831886292,0.657421886920929,0.657421886920929,0.7033494710922241,training/EXP_stride_f0.4_base_2023-03-17_02-53/logs/target/checkpoints/epoch=6-step=378.ckpt,training/EXP_stride_f0.4_base_2023-03-17_02-53/logs/target/metrics.csv,10437,0,10293,,,,
PowerCons,ResNet_DFS,True,0,0,128,5,5,0.6452546119689941,0.6452546119689941,0.7136012315750122,0.646679699420929,0.646679699420929,0.6987116932868958,training/EXP_stride_f0.4_2023-03-17_03-50/logs/target/checkpoints/epoch=0-step=54.ckpt,training/EXP_stride_f0.4_2023-03-17_03-50/logs/target/metrics.csv,10437,31173,10293,0.39593741297721863,0.8713967204093933,training/EXP_stride_f0.4_2023-03-17_03-50/logs/pretrain/checkpoints/epoch=37-step=6156.ckpt,training/EXP_stride_f0.4_2023-03-17_03-50/logs/pretrain/metrics.csv
