dataset,arch,pretrained,fold_number,random_state,batch_size,window_length,window_stride,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_mse,pretrain_val_r2,pretrain_best_model,pretrain_train_csv
Trace,ResNet_DFS,False,2,0,128,5,1,0.44921875,0.44921875,0.7243652939796448,0.4296875,0.4296875,0.6821325421333313,training/EXP_stride_f2.0_base_2023-03-16_13-39/logs/target/checkpoints/epoch=70-step=4047.ckpt,training/EXP_stride_f2.0_base_2023-03-16_13-39/logs/target/metrics.csv,11260,0,10985,,,,
Trace,ResNet_DFS,True,2,0,128,5,1,0.5481770634651184,0.5481770634651184,0.7597622275352478,0.4414522051811218,0.4414522051811218,0.714998722076416,training/EXP_stride_f2.0_2023-03-16_15-42/logs/target/checkpoints/epoch=78-step=4503.ckpt,training/EXP_stride_f2.0_2023-03-16_15-42/logs/target/metrics.csv,11260,33260,10985,0.20194518566131592,0.9592652320861816,training/EXP_stride_f2.0_2023-03-16_15-42/logs/pretrain/checkpoints/epoch=46-step=8037.ckpt,training/EXP_stride_f2.0_2023-03-16_15-42/logs/pretrain/metrics.csv
Trace,ResNet_DFS,False,2,0,128,5,2,0.49947917461395264,0.49947917461395264,0.6658051609992981,0.40542280673980713,0.40542280673980713,0.6248098611831665,training/EXP_stride_f2.1_base_2023-03-16_20-38/logs/target/checkpoints/epoch=62-step=3591.ckpt,training/EXP_stride_f2.1_base_2023-03-16_20-38/logs/target/metrics.csv,11245,0,10970,,,,
Trace,ResNet_DFS,True,2,0,128,5,2,0.5903645753860474,0.5903645753860474,0.8024569749832153,0.45431986451148987,0.45431986451148987,0.7074798941612244,training/EXP_stride_f2.1_2023-03-16_22-45/logs/target/checkpoints/epoch=96-step=5529.ckpt,training/EXP_stride_f2.1_2023-03-16_22-45/logs/target/metrics.csv,11245,33245,10970,0.16174177825450897,0.9738736152648926,training/EXP_stride_f2.1_2023-03-16_22-45/logs/pretrain/checkpoints/epoch=59-step=10260.ckpt,training/EXP_stride_f2.1_2023-03-16_22-45/logs/pretrain/metrics.csv
Trace,ResNet_DFS,False,2,0,128,5,3,0.5255208611488342,0.5255208611488342,0.7454954385757446,0.4357536733150482,0.4357536733150482,0.6849218010902405,training/EXP_stride_f2.2_base_2023-03-17_03-57/logs/target/checkpoints/epoch=36-step=2109.ckpt,training/EXP_stride_f2.2_base_2023-03-17_03-57/logs/target/metrics.csv,11230,0,10955,,,,
Trace,ResNet_DFS,True,2,0,128,5,3,0.532031238079071,0.532031238079071,0.7411072850227356,0.43207719922065735,0.43207719922065735,0.6952330470085144,training/EXP_stride_f2.2_2023-03-17_06-07/logs/target/checkpoints/epoch=62-step=3591.ckpt,training/EXP_stride_f2.2_2023-03-17_06-07/logs/target/metrics.csv,11230,33230,10955,0.1683041900396347,0.9717143177986145,training/EXP_stride_f2.2_2023-03-17_06-07/logs/pretrain/checkpoints/epoch=54-step=9405.ckpt,training/EXP_stride_f2.2_2023-03-17_06-07/logs/pretrain/metrics.csv
Trace,ResNet_DFS,False,2,0,128,5,4,0.514843761920929,0.514843761920929,0.7700014114379883,0.4016544222831726,0.4016544222831726,0.6917331218719482,training/EXP_stride_f2.3_base_2023-03-17_11-26/logs/target/checkpoints/epoch=23-step=1368.ckpt,training/EXP_stride_f2.3_base_2023-03-17_11-26/logs/target/metrics.csv,11215,0,10940,,,,
Trace,ResNet_DFS,True,2,0,128,5,4,0.5218750238418579,0.5218750238418579,0.7424960136413574,0.4511948525905609,0.4511948525905609,0.7207775115966797,training/EXP_stride_f2.3_2023-03-17_13-38/logs/target/checkpoints/epoch=35-step=2052.ckpt,training/EXP_stride_f2.3_2023-03-17_13-38/logs/target/metrics.csv,11215,33215,10940,0.18764382600784302,0.9648440480232239,training/EXP_stride_f2.3_2023-03-17_13-38/logs/pretrain/checkpoints/epoch=44-step=7695.ckpt,training/EXP_stride_f2.3_2023-03-17_13-38/logs/pretrain/metrics.csv
Trace,ResNet_DFS,False,2,0,128,5,5,0.4716145694255829,0.4716145694255829,0.6969413757324219,0.38272058963775635,0.38272058963775635,0.6285934448242188,training/EXP_stride_f2.4_base_2023-03-17_18-52/logs/target/checkpoints/epoch=31-step=1824.ckpt,training/EXP_stride_f2.4_base_2023-03-17_18-52/logs/target/metrics.csv,11200,0,10925,,,,
Trace,ResNet_DFS,True,2,0,128,5,5,0.5375000238418579,0.5375000238418579,0.7445661425590515,0.4224264621734619,0.4224264621734619,0.6533929109573364,training/EXP_stride_f2.4_2023-03-17_21-03/logs/target/checkpoints/epoch=59-step=3420.ckpt,training/EXP_stride_f2.4_2023-03-17_21-03/logs/target/metrics.csv,11200,33200,10925,0.16694356501102448,0.9721754193305969,training/EXP_stride_f2.4_2023-03-17_21-03/logs/pretrain/checkpoints/epoch=40-step=7011.ckpt,training/EXP_stride_f2.4_2023-03-17_21-03/logs/pretrain/metrics.csv
