dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
ArrowHead,CNN,DF,False,2,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts1_wps1/checkpoints/epoch=105-step=47912.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts1_wps1/metrics.csv,105,0.39506107568740845,0.3720870018005371,0.39506107568740845,0.3720870018005371,0.567528247833252,0.5706586837768555,,,,,
ArrowHead,CNN,DF,True,2,0,128,True,5,1,1,32,4,384,8,768,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=18-step=8588.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts1_wps1_pre/metrics.csv,18,0.3741277754306793,0.3803253769874573,0.3741277754306793,0.3803253769874573,0.5540876388549805,0.5873274207115173,0.7497257590293884,0.394941121339798,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=18-step=8588.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts1_wps1_pre/metrics.csv,56
ArrowHead,CNN,DF,False,2,0,128,True,10,1,1,32,4,384,0,0,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw10_wts1_wps1/checkpoints/epoch=107-step=48816.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw10_wts1_wps1/metrics.csv,107,0.38128095865249634,0.39549458026885986,0.38128095865249634,0.39549458026885986,0.5407425761222839,0.5937288403511047,,,,,
ArrowHead,CNN,DF,True,2,0,128,True,10,1,1,32,4,384,8,768,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=119-step=54240.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw10_wts1_wps1_pre/metrics.csv,119,0.3808399736881256,0.36099323630332947,0.3808399736881256,0.36099323630332947,0.5578233599662781,0.5882703065872192,0.751359760761261,0.39223164319992065,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=119-step=54240.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw10_wts1_wps1_pre/metrics.csv,56
ArrowHead,CNN,DF,False,2,0,128,True,15,1,1,32,4,384,0,0,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw15_wts1_wps1/checkpoints/epoch=118-step=53788.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw15_wts1_wps1/metrics.csv,118,0.3959062993526459,0.40353643894195557,0.3959062993526459,0.40353643894195557,0.5658107995986938,0.5992266535758972,,,,,
ArrowHead,CNN,DF,True,2,0,128,True,15,1,1,32,4,384,8,768,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=119-step=54240.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw15_wts1_wps1_pre/metrics.csv,119,0.3844657242298126,0.385428786277771,0.3844657242298126,0.385428786277771,0.5446462035179138,0.5824291110038757,1.2124003171920776,-0.5826027393341064,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=119-step=54240.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw15_wts1_wps1_pre/metrics.csv,59
ArrowHead,CNN,DF,False,2,0,128,True,5,2,1,32,4,384,0,0,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_wts2_wps1/checkpoints/epoch=108-step=49268.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_wts2_wps1/metrics.csv,108,0.4071700870990753,0.37949424982070923,0.4071700870990753,0.37949424982070923,0.5788540244102478,0.5874632000923157,,,,,
ArrowHead,CNN,DF,True,2,0,128,True,5,2,1,32,4,384,8,768,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=83-step=37968.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,83,0.3861578702926636,0.3812997341156006,0.3861578702926636,0.3812997341156006,0.5512586236000061,0.5924966931343079,0.8441690802574158,0.23281458020210266,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=83-step=37968.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,57
ArrowHead,CNN,DF,True,2,0,128,False,5,2,1,32,4,384,8,768,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=105-step=47912.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,105,0.3851202428340912,0.36884811520576477,0.3851202428340912,0.36884811520576477,0.554374635219574,0.5903401970863342,0.8820716142654419,0.16237513720989227,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=105-step=47912.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,58
ArrowHead,CNN,DF,False,2,0,128,True,5,3,1,32,4,384,0,0,4,384,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_wts3_wps1/checkpoints/epoch=86-step=39324.ckpt,training/2023-03-30_09-28_EXP_wdw_DF_CNN_ArrowHead_f2/logs/wdw_5_wts3_wps1/metrics.csv,86,0.42003268003463745,0.39726880192756653,0.42003268003463745,0.39726880192756653,0.5922085642814636,0.6004464030265808,,,,,
