dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,CNN,DF,False,3,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts1_wps1/checkpoints/epoch=110-step=25641.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts1_wps1/metrics.csv,110,0.48224639892578125,0.4986570477485657,0.48224639892578125,0.4986570477485657,0.6643731594085693,0.6688746809959412,,,,,
CBF,CNN,DF,True,3,0,128,True,5,1,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=36-step=8547.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts1_wps1_pre/metrics.csv,36,0.4509614408016205,0.48475968837738037,0.4509614408016205,0.48475968837738037,0.6956908106803894,0.6951108574867249,0.8573628067970276,0.1406603306531906,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=36-step=8547.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts1_wps1_pre/metrics.csv,56
CBF,CNN,DF,False,3,0,128,True,10,1,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw10_wts1_wps1/checkpoints/epoch=112-step=26103.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw10_wts1_wps1/metrics.csv,112,0.4223646819591522,0.45951446890830994,0.4223646819591522,0.45951446890830994,0.6082824468612671,0.6351557970046997,,,,,
CBF,CNN,DF,True,3,0,128,True,10,1,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=19-step=4620.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw10_wts1_wps1_pre/metrics.csv,19,0.5508241653442383,0.5331800580024719,0.5508241653442383,0.5331800580024719,0.7387941479682922,0.7163817882537842,0.8962449431419373,0.060765188187360764,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=19-step=4620.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw10_wts1_wps1_pre/metrics.csv,57
CBF,CNN,DF,False,3,0,128,True,15,1,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw15_wts1_wps1/checkpoints/epoch=100-step=23331.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw15_wts1_wps1/metrics.csv,100,0.4712017774581909,0.5087512135505676,0.4712017774581909,0.5087512135505676,0.6466754674911499,0.6661178469657898,,,,,
CBF,CNN,DF,True,3,0,128,True,15,1,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=27-step=6468.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw15_wts1_wps1_pre/metrics.csv,27,0.5971303582191467,0.5474397540092468,0.5971303582191467,0.5474397540092468,0.7634914517402649,0.7272266745567322,0.912940502166748,0.025174958631396294,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=27-step=6468.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw15_wts1_wps1_pre/metrics.csv,57
CBF,CNN,DF,False,3,0,128,True,5,2,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_wts2_wps1/checkpoints/epoch=74-step=17325.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_wts2_wps1/metrics.csv,74,0.46596458554267883,0.47375917434692383,0.46596458554267883,0.47375917434692383,0.6490048766136169,0.6477918028831482,,,,,
CBF,CNN,DF,True,3,0,128,True,5,2,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=92-step=21483.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,92,0.5590659379959106,0.564844012260437,0.5590659379959106,0.564844012260437,0.7569983601570129,0.7399848103523254,0.9058111906051636,0.0405452623963356,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=92-step=21483.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,59
CBF,CNN,DF,True,3,0,128,False,5,2,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=58-step=13629.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,58,0.5820105671882629,0.5574774742126465,0.5820105671882629,0.5574774742126465,0.7528867125511169,0.7239206433296204,0.8648550510406494,0.12539105117321014,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=58-step=13629.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,58
CBF,CNN,DF,False,3,0,128,True,5,3,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_wts3_wps1/checkpoints/epoch=101-step=23562.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f3/logs/wdw_5_wts3_wps1/metrics.csv,101,0.4845324158668518,0.48390182852745056,0.4845324158668518,0.48390182852745056,0.633693277835846,0.6342846751213074,,,,,
