dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
Chinatown,CNN,DF,False,4,0,128,True,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts1_wps1/checkpoints/epoch=105-step=3074.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts1_wps1/metrics.csv,105,0.7193482518196106,0.6562398076057434,0.7193482518196106,0.6562398076057434,0.7835032939910889,0.7145941257476807,,,,,
Chinatown,CNN,DF,True,4,0,128,True,5,1,1,32,4,256,8,512,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=63-step=1856.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts1_wps1_pre/metrics.csv,63,0.7262729406356812,0.6748126149177551,0.7262729406356812,0.6748126149177551,0.791637659072876,0.7116339206695557,0.5511330366134644,0.5410588979721069,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=63-step=1856.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts1_wps1_pre/metrics.csv,58
Chinatown,CNN,DF,False,4,0,128,True,10,1,1,32,4,256,0,0,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw10_wts1_wps1/checkpoints/epoch=96-step=2813.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw10_wts1_wps1/metrics.csv,96,0.7501019239425659,0.7340616583824158,0.7501019239425659,0.7340616583824158,0.8066195249557495,0.7465383410453796,,,,,
Chinatown,CNN,DF,True,4,0,128,True,10,1,1,32,4,256,8,512,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=102-step=2987.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw10_wts1_wps1_pre/metrics.csv,102,0.7443946003913879,0.6981900930404663,0.7443946003913879,0.6981900930404663,0.7875706553459167,0.7310158014297485,1.3099143505096436,-1.5926107168197632,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=102-step=2987.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw10_wts1_wps1_pre/metrics.csv,59
Chinatown,CNN,DF,False,4,0,128,True,15,1,1,32,4,256,0,0,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw15_wts1_wps1/checkpoints/epoch=99-step=2900.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw15_wts1_wps1/metrics.csv,99,0.7523459792137146,0.7708877325057983,0.7523459792137146,0.7708877325057983,0.7966901063919067,0.7545450329780579,,,,,
Chinatown,CNN,DF,True,4,0,128,True,15,1,1,32,4,256,8,512,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=118-step=3451.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw15_wts1_wps1_pre/metrics.csv,118,0.7454100251197815,0.7193211317062378,0.7454100251197815,0.7193211317062378,0.8148961067199707,0.7718122005462646,0.8482463955879211,-0.08682487905025482,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=118-step=3451.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw15_wts1_wps1_pre/metrics.csv,59
Chinatown,CNN,DF,False,4,0,128,True,5,2,1,32,4,256,0,0,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_wts2_wps1/checkpoints/epoch=118-step=3451.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_wts2_wps1/metrics.csv,118,0.7293110489845276,0.7052013874053955,0.7293110489845276,0.7052013874053955,0.7839299440383911,0.7392648458480835,,,,,
Chinatown,CNN,DF,True,4,0,128,True,5,2,1,32,4,256,8,512,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=118-step=3451.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,118,0.7378720045089722,0.7263981699943542,0.7378720045089722,0.7263981699943542,0.8033105134963989,0.7532914280891418,0.783658504486084,0.07211260497570038,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=118-step=3451.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,59
Chinatown,CNN,DF,True,4,0,128,False,5,2,1,32,4,256,8,512,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=112-step=3277.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,112,0.743986964225769,0.7140061855316162,0.743986964225769,0.7140061855316162,0.8096135854721069,0.7379103302955627,0.6852401494979858,0.29065829515457153,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=112-step=3277.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,58
Chinatown,CNN,DF,False,4,0,128,True,5,3,1,32,4,256,0,0,4,256,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_wts3_wps1/checkpoints/epoch=116-step=3393.ckpt,training/2023-03-29_20-17_EXP_wdw_DF_CNN_Chinatown_f4/logs/wdw_5_wts3_wps1/metrics.csv,116,0.7144022583961487,0.7238903641700745,0.7144022583961487,0.7238903641700745,0.7715858817100525,0.7218946218490601,,,,,
