dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,ResNet,DF,False,4,0,128,True,5,2,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2/checkpoints/epoch=49-step=11550.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2/metrics.csv,49,0.512413501739502,0.4698724150657654,0.512413501739502,0.4698724150657654,0.65472412109375,0.6125028729438782,,,,,
CBF,ResNet,DF,True,4,0,128,True,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=30-step=7161.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_str/metrics.csv,30,0.597476601600647,0.5571925640106201,0.597476601600647,0.5571925640106201,0.7571956515312195,0.7367522716522217,0.9336674809455872,0.06949830055236816,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=30-step=7161.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_str/metrics.csv,56
CBF,ResNet,DF,True,4,0,128,False,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=24-step=5775.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_nstr/metrics.csv,24,0.5573870539665222,0.5210516452789307,0.5573870539665222,0.5210516452789307,0.7371235489845276,0.7007258534431458,1.0275286436080933,-0.12698176503181458,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=24-step=5775.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/00_wdw5_wts2_pre_nstr/metrics.csv,36
CBF,ResNet,DF,False,4,0,128,False,5,3,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3/checkpoints/epoch=22-step=5313.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3/metrics.csv,22,0.4837692081928253,0.4403288960456848,0.4837692081928253,0.4403288960456848,0.675225555896759,0.6230685710906982,,,,,
CBF,ResNet,DF,True,4,0,128,True,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=14-step=3465.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_str/metrics.csv,14,0.5937213897705078,0.5632733702659607,0.5937213897705078,0.5632733702659607,0.7728788256645203,0.7386614680290222,1.0549157857894897,-0.18800349533557892,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=14-step=3465.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_str/metrics.csv,55
CBF,ResNet,DF,True,4,0,128,False,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=29-step=6930.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_nstr/metrics.csv,29,0.5578508377075195,0.5067567825317383,0.5578508377075195,0.5067567825317383,0.7384726405143738,0.7031427025794983,0.9435779452323914,0.049563560634851456,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=29-step=6930.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/01_wdw5_wts3_pre_nstr/metrics.csv,43
CBF,ResNet,DF,False,4,0,128,False,5,4,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4/checkpoints/epoch=15-step=3696.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4/metrics.csv,15,0.5008650422096252,0.4654698669910431,0.5008650422096252,0.4654698669910431,0.7240121960639954,0.6742045283317566,,,,,
CBF,ResNet,DF,True,4,0,128,True,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=87-step=20328.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_str/metrics.csv,87,0.5955119132995605,0.5519936680793762,0.5955119132995605,0.5519936680793762,0.7818019986152649,0.7407706379890442,1.1061724424362183,-0.30644482374191284,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=87-step=20328.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_str/metrics.csv,58
CBF,ResNet,DF,True,4,0,128,False,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=34-step=8085.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_nstr/metrics.csv,34,0.575463056564331,0.5613767504692078,0.575463056564331,0.5613767504692078,0.7688908576965332,0.7334150671958923,0.9499687552452087,0.03653798997402191,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=34-step=8085.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/02_wdw5_wts4_pre_nstr/metrics.csv,20
CBF,ResNet,DF,False,4,0,128,False,5,5,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/03_wdw5_wts5/checkpoints/epoch=98-step=22869.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f4/logs/03_wdw5_wts5/metrics.csv,98,0.545089066028595,0.5056589245796204,0.545089066028595,0.5056589245796204,0.7439201474189758,0.6988444328308105,,,,,
