dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
ArrowHead,CNN,DF,False,0,0,128,True,5,1,1,8,4,96,0,0,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_base/checkpoints/epoch=72-step=8249.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_base/metrics.csv,72,0.469696968793869,0.339216411113739,0.469696968793869,0.339216411113739,0.6330681443214417,0.5244778990745544,,,,,
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,8,4,96,4,384,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_4pmult/checkpoints/epoch=118-step=13447.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_4pmult/metrics.csv,118,0.479763388633728,0.3556932210922241,0.479763388633728,0.3556932210922241,0.641987144947052,0.5247046947479248,1.215820550918579,-0.3706798255443573,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_4pmult/checkpoints/epoch=118-step=13447.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_4pmult/metrics.csv,49
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,8,4,96,8,768,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_8pmult/checkpoints/epoch=110-step=12543.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_8pmult/metrics.csv,110,0.5042548775672913,0.34905269742012024,0.5042548775672913,0.34905269742012024,0.669697105884552,0.5205214023590088,0.6814650297164917,0.5185300707817078,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_8pmult/checkpoints/epoch=110-step=12543.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_8pmult/metrics.csv,59
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,8,4,96,16,1536,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_16pmult/checkpoints/epoch=59-step=6780.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_16pmult/metrics.csv,59,0.4458281397819519,0.35119011998176575,0.4458281397819519,0.35119011998176575,0.6099376082420349,0.5329574346542358,1.1485025882720947,-0.32734712958335876,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_16pmult/checkpoints/epoch=59-step=6780.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/8exc_16pmult/metrics.csv,59
ArrowHead,CNN,DF,False,0,0,128,True,5,1,1,16,4,192,0,0,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_base/checkpoints/epoch=112-step=25538.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_base/metrics.csv,112,0.35301440954208374,0.35262197256088257,0.35301440954208374,0.35262197256088257,0.5159111618995667,0.5289415717124939,,,,,
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,16,4,192,4,384,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_4pmult/checkpoints/epoch=10-step=2486.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_4pmult/metrics.csv,10,0.3524436950683594,0.34930169582366943,0.3524436950683594,0.34930169582366943,0.5192772746086121,0.5284138321876526,0.9280800223350525,0.20133189857006073,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_4pmult/checkpoints/epoch=10-step=2486.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_4pmult/metrics.csv,49
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,16,4,192,8,768,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_8pmult/checkpoints/epoch=59-step=13560.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_8pmult/metrics.csv,59,0.38663485646247864,0.416059672832489,0.38663485646247864,0.416059672832489,0.5431328415870667,0.5403885245323181,0.9157196879386902,0.13062486052513123,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_8pmult/checkpoints/epoch=59-step=13560.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_8pmult/metrics.csv,59
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,16,4,192,16,1536,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_16pmult/checkpoints/epoch=94-step=21470.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_16pmult/metrics.csv,94,0.3807201385498047,0.44470730423927307,0.3807201385498047,0.44470730423927307,0.5399710536003113,0.5447093844413757,0.9158427119255066,0.15596076846122742,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_16pmult/checkpoints/epoch=94-step=21470.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/16exc_16pmult/metrics.csv,59
ArrowHead,CNN,DF,False,0,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_base/checkpoints/epoch=118-step=53788.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_base/metrics.csv,118,0.4107027053833008,0.4160389304161072,0.4107027053833008,0.4160389304161072,0.5914756059646606,0.6065273880958557,,,,,
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,32,4,384,4,384,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_4pmult/checkpoints/epoch=13-step=6328.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_4pmult/metrics.csv,13,0.38790175318717957,0.3775654137134552,0.38790175318717957,0.3775654137134552,0.5471082329750061,0.5250024199485779,0.984961211681366,0.10043109953403473,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_4pmult/checkpoints/epoch=13-step=6328.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_4pmult/metrics.csv,49
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,32,4,384,8,768,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_8pmult/checkpoints/epoch=115-step=52432.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_8pmult/metrics.csv,115,0.41887369751930237,0.43675941228866577,0.41887369751930237,0.43675941228866577,0.5997269749641418,0.5882111191749573,0.8798621892929077,0.19737711548805237,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_8pmult/checkpoints/epoch=115-step=52432.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_8pmult/metrics.csv,59
ArrowHead,CNN,DF,True,0,0,128,True,5,1,1,32,4,384,16,1536,4,384,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_16pmult/checkpoints/epoch=97-step=44296.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_16pmult/metrics.csv,97,0.3985370099544525,0.39645975828170776,0.3985370099544525,0.39645975828170776,0.5661786198616028,0.5855998396873474,1.1419532299041748,-0.3122512400150299,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_16pmult/checkpoints/epoch=97-step=44296.ckpt,training/2023-03-29_22-54_EXP_ratio_DF_CNN_ArrowHead_f0/logs/32exc_16pmult/metrics.csv,59
