dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,CNN,DF,False,1,0,128,False,5,1,1,8,4,96,0,0,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_base/checkpoints/epoch=70-step=4118.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_base/metrics.csv,70,0.44026052951812744,0.44377073645591736,0.44026052951812744,0.44377073645591736,0.6192273497581482,0.5658807754516602,,,,,
CBF,CNN,DF,True,1,0,128,False,5,1,1,8,4,96,4,384,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_4pmult/checkpoints/epoch=102-step=5974.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_4pmult/metrics.csv,102,0.5927132368087769,0.5360245704650879,0.5927132368087769,0.5360245704650879,0.7548980116844177,0.6923093795776367,1.5447943210601807,-1.6214103698730469,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_4pmult/checkpoints/epoch=102-step=5974.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_4pmult/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,1,1,8,4,96,8,768,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_8pmult/checkpoints/epoch=11-step=696.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_8pmult/metrics.csv,11,0.44880929589271545,0.44615134596824646,0.44880929589271545,0.44615134596824646,0.5784347653388977,0.5831231474876404,0.8864998817443848,0.14629676938056946,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_8pmult/checkpoints/epoch=11-step=696.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_8pmult/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,1,1,8,4,96,16,1536,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_16pmult/checkpoints/epoch=93-step=5452.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_16pmult/metrics.csv,93,0.48931407928466797,0.4648096561431885,0.48931407928466797,0.4648096561431885,0.6717503070831299,0.6063472628593445,0.7298884987831116,0.4037055969238281,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_16pmult/checkpoints/epoch=93-step=5452.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/8exc_16pmult/metrics.csv,59
CBF,CNN,DF,False,1,0,128,False,5,1,1,16,4,192,0,0,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_base/checkpoints/epoch=60-step=7076.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_base/metrics.csv,60,0.48270249366760254,0.4884326756000519,0.48270249366760254,0.4884326756000519,0.6519383788108826,0.6982522010803223,,,,,
CBF,CNN,DF,True,1,0,128,False,5,1,1,16,4,192,4,384,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_4pmult/checkpoints/epoch=44-step=5220.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_4pmult/metrics.csv,44,0.5264550447463989,0.5551508665084839,0.5264550447463989,0.5551508665084839,0.6922140121459961,0.7349947094917297,1.5248020887374878,-1.5540047883987427,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_4pmult/checkpoints/epoch=44-step=5220.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_4pmult/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,1,1,16,4,192,8,768,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_8pmult/checkpoints/epoch=21-step=2552.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_8pmult/metrics.csv,21,0.4622507095336914,0.4884326756000519,0.4622507095336914,0.4884326756000519,0.6313222050666809,0.6718912124633789,0.7832865118980408,0.3335115313529968,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_8pmult/checkpoints/epoch=21-step=2552.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_8pmult/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,1,1,16,4,192,16,1536,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_16pmult/checkpoints/epoch=89-step=10440.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_16pmult/metrics.csv,89,0.44810745120048523,0.4089771509170532,0.44810745120048523,0.4089771509170532,0.6689866185188293,0.6630560755729675,0.7227224707603455,0.41535496711730957,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_16pmult/checkpoints/epoch=89-step=10440.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/16exc_16pmult/metrics.csv,59
CBF,CNN,DF,False,1,0,128,False,5,1,1,32,4,384,0,0,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_base/checkpoints/epoch=52-step=12243.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_base/metrics.csv,52,0.3994811177253723,0.4482063949108124,0.3994811177253723,0.4482063949108124,0.5975024104118347,0.6228540539741516,,,,,
CBF,CNN,DF,True,1,0,128,False,5,1,1,32,4,384,4,384,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_4pmult/checkpoints/epoch=37-step=8778.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_4pmult/metrics.csv,37,0.5596194863319397,0.5763322114944458,0.5596194863319397,0.5763322114944458,0.7351620197296143,0.7522432208061218,1.5834671258926392,-1.7542873620986938,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_4pmult/checkpoints/epoch=37-step=8778.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_4pmult/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,1,1,32,4,384,8,768,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_8pmult/checkpoints/epoch=8-step=2079.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_8pmult/metrics.csv,8,0.44511139392852783,0.5094512104988098,0.44511139392852783,0.5094512104988098,0.6268031597137451,0.6832263469696045,0.6862833499908447,0.4883557856082916,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_8pmult/checkpoints/epoch=8-step=2079.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_8pmult/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,1,1,32,4,384,16,1536,4,384,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_16pmult/checkpoints/epoch=20-step=4851.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_16pmult/metrics.csv,20,0.43814224004745483,0.5091460347175598,0.43814224004745483,0.5091460347175598,0.6448621153831482,0.6753430366516113,0.7772641777992249,0.32378047704696655,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_16pmult/checkpoints/epoch=20-step=4851.ckpt,training/2023-03-29_10-36_EXP_ratio_DF_CNN_CBF_f1/logs/32exc_16pmult/metrics.csv,59
