dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
Chinatown,CNN,DF,False,4,0,128,False,5,1,1,8,4,64,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_base/checkpoints/epoch=58-step=472.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_base/metrics.csv,58,0.6944444179534912,0.6924580335617065,0.6944444179534912,0.6924580335617065,0.7746046781539917,0.5966723561286926,,,,,
Chinatown,CNN,DF,True,4,0,128,False,5,1,1,8,4,64,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_4pmult/checkpoints/epoch=106-step=856.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_4pmult/metrics.csv,106,0.7630718946456909,0.7121680974960327,0.7630718946456909,0.7121680974960327,0.8267093896865845,0.5741603374481201,0.4642353951931,0.6687146425247192,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_4pmult/checkpoints/epoch=106-step=856.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_4pmult/metrics.csv,59
Chinatown,CNN,DF,True,4,0,128,False,5,1,1,8,4,64,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_8pmult/checkpoints/epoch=119-step=960.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_8pmult/metrics.csv,119,0.7075163125991821,0.6426128149032593,0.7075163125991821,0.6426128149032593,0.7544363737106323,0.5590448379516602,0.5715540051460266,0.5103179812431335,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_8pmult/checkpoints/epoch=119-step=960.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_8pmult/metrics.csv,58
Chinatown,CNN,DF,True,4,0,128,False,5,1,1,8,4,64,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_16pmult/checkpoints/epoch=75-step=608.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_16pmult/metrics.csv,75,0.7549019455909729,0.6579247713088989,0.7549019455909729,0.6579247713088989,0.8019551038742065,0.5725249648094177,0.5635941624641418,0.6370306611061096,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_16pmult/checkpoints/epoch=75-step=608.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/8exc_16pmult/metrics.csv,59
Chinatown,CNN,DF,False,4,0,128,False,5,1,1,16,4,128,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_base/checkpoints/epoch=34-step=525.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_base/metrics.csv,34,0.7063621282577515,0.6947385668754578,0.7063621282577515,0.6947385668754578,0.7636218070983887,0.6207013130187988,,,,,
Chinatown,CNN,DF,True,4,0,128,False,5,1,1,16,4,128,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_4pmult/checkpoints/epoch=73-step=1110.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_4pmult/metrics.csv,73,0.7406198978424072,0.7048379182815552,0.7406198978424072,0.7048379182815552,0.8007117509841919,0.6177574396133423,0.5848840475082397,0.47413960099220276,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_4pmult/checkpoints/epoch=73-step=1110.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_4pmult/metrics.csv,59
Chinatown,CNN,DF,True,4,0,128,False,5,1,1,16,4,128,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_8pmult/checkpoints/epoch=115-step=1740.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_8pmult/metrics.csv,115,0.7455138564109802,0.692132294178009,0.7455138564109802,0.692132294178009,0.7860937118530273,0.6085447669029236,0.5157392024993896,0.6012997627258301,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_8pmult/checkpoints/epoch=115-step=1740.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_8pmult/metrics.csv,58
Chinatown,CNN,DF,True,4,0,128,False,5,1,1,16,4,128,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_16pmult/checkpoints/epoch=55-step=840.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_16pmult/metrics.csv,55,0.7185970544815063,0.7033718824386597,0.7185970544815063,0.7033718824386597,0.7660209536552429,0.6106607913970947,0.6047815084457397,0.5821139812469482,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_16pmult/checkpoints/epoch=55-step=840.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/16exc_16pmult/metrics.csv,59
Chinatown,CNN,DF,False,4,0,128,False,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/32exc_base/checkpoints/epoch=40-step=1189.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/32exc_base/metrics.csv,40,0.7189409136772156,0.6253461241722107,0.7189409136772156,0.6253461241722107,0.7764331102371216,0.5811882019042969,,,,,
Chinatown,CNN,DF,True,4,0,128,False,5,1,1,32,4,256,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/32exc_4pmult/checkpoints/epoch=70-step=2059.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/32exc_4pmult/metrics.csv,70,0.7164969444274902,0.6442417502403259,0.7164969444274902,0.6442417502403259,0.7904154062271118,0.5740988254547119,0.40689536929130554,0.7454856634140015,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/32exc_4pmult/checkpoints/epoch=70-step=2059.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f4/logs/32exc_4pmult/metrics.csv,59
