dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
GunPoint,CNN,DF,False,2,0,128,False,5,1,1,8,4,64,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_base/checkpoints/epoch=19-step=900.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_base/metrics.csv,19,0.6685773730278015,0.49579373002052307,0.6685773730278015,0.49579373002052307,0.6808193325996399,0.4912372827529907,,,,,
GunPoint,CNN,DF,True,2,0,128,False,5,1,1,8,4,64,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_4pmult/checkpoints/epoch=84-step=3825.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_4pmult/metrics.csv,84,0.6633663177490234,0.5119937658309937,0.6633663177490234,0.5119937658309937,0.6834889650344849,0.4572996497154236,0.8121750354766846,0.36750394105911255,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_4pmult/checkpoints/epoch=84-step=3825.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_4pmult/metrics.csv,59
GunPoint,CNN,DF,True,2,0,128,False,5,1,1,8,4,64,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_8pmult/checkpoints/epoch=7-step=360.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_8pmult/metrics.csv,7,0.6339239478111267,0.48683422803878784,0.6339239478111267,0.48683422803878784,0.6818757653236389,0.496133416891098,1.1539033651351929,-0.32048511505126953,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_8pmult/checkpoints/epoch=7-step=360.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_8pmult/metrics.csv,59
GunPoint,CNN,DF,True,2,0,128,False,5,1,1,8,4,64,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_16pmult/checkpoints/epoch=86-step=3915.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_16pmult/metrics.csv,86,0.6847316026687622,0.4964708983898163,0.6847316026687622,0.4964708983898163,0.759735107421875,0.5089101195335388,0.605643093585968,0.6118055582046509,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_16pmult/checkpoints/epoch=86-step=3915.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/8exc_16pmult/metrics.csv,46
GunPoint,CNN,DF,False,2,0,128,False,5,1,1,16,4,128,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_base/checkpoints/epoch=117-step=10620.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_base/metrics.csv,117,0.5784058570861816,0.5075921416282654,0.5784058570861816,0.5075921416282654,0.6165727376937866,0.5251154899597168,,,,,
GunPoint,CNN,DF,True,2,0,128,False,5,1,1,16,4,128,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_4pmult/checkpoints/epoch=14-step=1350.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_4pmult/metrics.csv,14,0.6081010699272156,0.4989972710609436,0.6081010699272156,0.4989972710609436,0.6241693496704102,0.5006940364837646,0.7037827968597412,0.525066614151001,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_4pmult/checkpoints/epoch=14-step=1350.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_4pmult/metrics.csv,59
GunPoint,CNN,DF,True,2,0,128,False,5,1,1,16,4,128,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_8pmult/checkpoints/epoch=3-step=360.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_8pmult/metrics.csv,3,0.5363376140594482,0.4890480637550354,0.5363376140594482,0.4890480637550354,0.5649722814559937,0.49028903245925903,1.6862928867340088,-1.8200680017471313,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_8pmult/checkpoints/epoch=3-step=360.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_8pmult/metrics.csv,59
GunPoint,CNN,DF,True,2,0,128,False,5,1,1,16,4,128,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_16pmult/checkpoints/epoch=12-step=1170.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_16pmult/metrics.csv,12,0.5868715643882751,0.5107696056365967,0.5868715643882751,0.5107696056365967,0.6040011644363403,0.5134719610214233,0.45633697509765625,0.7796134948730469,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_16pmult/checkpoints/epoch=12-step=1170.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/16exc_16pmult/metrics.csv,46
GunPoint,CNN,DF,False,2,0,128,False,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/32exc_base/checkpoints/epoch=119-step=21600.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/32exc_base/metrics.csv,119,0.5305378437042236,0.5449928641319275,0.5305378437042236,0.5449928641319275,0.5331023931503296,0.5911922454833984,,,,,
GunPoint,CNN,DF,True,2,0,128,False,5,1,1,32,4,256,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/32exc_4pmult/checkpoints/epoch=118-step=21420.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/32exc_4pmult/metrics.csv,118,0.5501367449760437,0.5995832681655884,0.5501367449760437,0.5995832681655884,0.587049126625061,0.6582419872283936,1.0694775581359863,-0.0967126339673996,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/32exc_4pmult/checkpoints/epoch=118-step=21420.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_GunPoint_f2/logs/32exc_4pmult/metrics.csv,59
