dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
GunPoint,CNN,DF,False,3,0,128,True,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts1_wps1/checkpoints/epoch=109-step=19800.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts1_wps1/metrics.csv,109,0.5997916460037231,0.5469865202903748,0.5997916460037231,0.5469865202903748,0.6224936246871948,0.5579931735992432,,,,,
GunPoint,CNN,DF,True,3,0,128,True,5,1,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=104-step=18900.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts1_wps1_pre/metrics.csv,104,0.5985544323921204,0.5831379890441895,0.5985544323921204,0.5831379890441895,0.6395121812820435,0.6104580163955688,0.9763435125350952,-0.017671000212430954,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=104-step=18900.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts1_wps1_pre/metrics.csv,56
GunPoint,CNN,DF,False,3,0,128,True,10,1,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw10_wts1_wps1/checkpoints/epoch=106-step=19260.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw10_wts1_wps1/metrics.csv,106,0.5641810297966003,0.5559405088424683,0.5641810297966003,0.5559405088424683,0.5919508934020996,0.566870927810669,,,,,
GunPoint,CNN,DF,True,3,0,128,True,10,1,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=48-step=8820.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw10_wts1_wps1_pre/metrics.csv,48,0.5989580154418945,0.5607856512069702,0.5989580154418945,0.5607856512069702,0.6426104307174683,0.5917865037918091,0.7153316736221313,0.45378750562667847,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=48-step=8820.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw10_wts1_wps1_pre/metrics.csv,59
GunPoint,CNN,DF,False,3,0,128,True,15,1,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw15_wts1_wps1/checkpoints/epoch=103-step=18720.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw15_wts1_wps1/metrics.csv,103,0.5810590982437134,0.543221116065979,0.5810590982437134,0.543221116065979,0.6148436665534973,0.5731863975524902,,,,,
GunPoint,CNN,DF,True,3,0,128,True,15,1,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=70-step=12780.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw15_wts1_wps1_pre/metrics.csv,70,0.6108903884887695,0.576854944229126,0.6108903884887695,0.576854944229126,0.6486432552337646,0.6050389409065247,0.6835342049598694,0.5013198256492615,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=70-step=12780.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw15_wts1_wps1_pre/metrics.csv,57
GunPoint,CNN,DF,False,3,0,128,True,5,2,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts2_wps1/checkpoints/epoch=104-step=18900.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts2_wps1/metrics.csv,104,0.5772061347961426,0.5417958498001099,0.5772061347961426,0.5417958498001099,0.6034048795700073,0.5667703151702881,,,,,
GunPoint,CNN,DF,True,3,0,128,True,5,2,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=38-step=7020.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,38,0.5927711129188538,0.5587798357009888,0.5927711129188538,0.5587798357009888,0.6200648546218872,0.5815050601959229,0.7609667181968689,0.381888210773468,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=38-step=7020.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,59
GunPoint,CNN,DF,True,3,0,128,False,5,2,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=42-step=7740.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,42,0.6108108162879944,0.5814946889877319,0.6108108162879944,0.5814946889877319,0.6367116570472717,0.5916643142700195,1.0457497835159302,-0.16736292839050293,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=42-step=7740.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,59
GunPoint,CNN,DF,False,3,0,128,True,5,3,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts3_wps1/checkpoints/epoch=109-step=19800.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts3_wps1/metrics.csv,109,0.5648407340049744,0.5619528889656067,0.5648407340049744,0.5619528889656067,0.5942755937576294,0.5841492414474487,,,,,
GunPoint,CNN,DF,True,3,0,128,True,5,3,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts3_ps1_pre_st/checkpoints/epoch=103-step=18720.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts3_ps1_pre_st/metrics.csv,103,0.6106298565864563,0.5841496586799622,0.6106298565864563,0.5841496586799622,0.6419278383255005,0.6167653799057007,1.0031533241271973,-0.07397682964801788,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts3_ps1_pre_st/checkpoints/epoch=103-step=18720.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts3_ps1_pre_st/metrics.csv,57
GunPoint,CNN,DF,True,3,0,128,False,5,3,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts3_wps1_pre_nst/checkpoints/epoch=116-step=21060.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts3_wps1_pre_nst/metrics.csv,116,0.5994919538497925,0.5657044649124146,0.5994919538497925,0.5657044649124146,0.6382412314414978,0.5752780437469482,1.0476293563842773,-0.1714715212583542,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts3_wps1_pre_nst/checkpoints/epoch=116-step=21060.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts3_wps1_pre_nst/metrics.csv,59
GunPoint,CNN,DF,False,3,0,128,True,5,4,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts4_wps1/checkpoints/epoch=66-step=12060.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts4_wps1/metrics.csv,66,0.5700606107711792,0.5619479417800903,0.5700606107711792,0.5619479417800903,0.5955273509025574,0.5871539115905762,,,,,
GunPoint,CNN,DF,True,3,0,128,True,5,4,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts4_ps1_pre_st/checkpoints/epoch=111-step=20160.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts4_ps1_pre_st/metrics.csv,111,0.6058236956596375,0.5977227091789246,0.6058236956596375,0.5977227091789246,0.6552493572235107,0.6141343712806702,0.7416336536407471,0.4130380153656006,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts4_ps1_pre_st/checkpoints/epoch=111-step=20160.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts4_ps1_pre_st/metrics.csv,59
GunPoint,CNN,DF,True,3,0,128,False,5,4,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts4_wps1_pre_nst/checkpoints/epoch=60-step=10980.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts4_wps1_pre_nst/metrics.csv,60,0.5879747271537781,0.5468354821205139,0.5879747271537781,0.5468354821205139,0.6299037337303162,0.5801336169242859,0.8933067321777344,0.14846183359622955,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts4_wps1_pre_nst/checkpoints/epoch=60-step=10980.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts4_wps1_pre_nst/metrics.csv,59
GunPoint,CNN,DF,False,3,0,128,True,5,5,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts5_wps1/checkpoints/epoch=65-step=11880.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_wts5_wps1/metrics.csv,65,0.5801680684089661,0.5606139302253723,0.5801680684089661,0.5606139302253723,0.6022300720214844,0.5900218486785889,,,,,
GunPoint,CNN,DF,True,3,0,128,True,5,5,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts5_ps1_pre_st/checkpoints/epoch=117-step=21240.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts5_ps1_pre_st/metrics.csv,117,0.6142419576644897,0.57578045129776,0.6142419576644897,0.57578045129776,0.6657175421714783,0.5943516492843628,0.7084360122680664,0.46453744173049927,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts5_ps1_pre_st/checkpoints/epoch=117-step=21240.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw_5_ts5_ps1_pre_st/metrics.csv,31
GunPoint,CNN,DF,True,3,0,128,False,5,5,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts5_wps1_pre_nst/checkpoints/epoch=114-step=20700.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts5_wps1_pre_nst/metrics.csv,114,0.5913740396499634,0.5680668950080872,0.5913740396499634,0.5680668950080872,0.6293706297874451,0.5796836018562317,0.6805369257926941,0.5058023929595947,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts5_wps1_pre_nst/checkpoints/epoch=114-step=20700.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wdw5_wts5_wps1_pre_nst/metrics.csv,44
GunPoint,CNN,DF,False,3,0,128,True,5,1,2,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps2/checkpoints/epoch=111-step=20160.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps2/metrics.csv,111,0.6059777140617371,0.5647757649421692,0.6059777140617371,0.5647757649421692,0.6364354491233826,0.5820610523223877,,,,,
GunPoint,CNN,DF,True,3,0,128,True,5,1,2,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps2_pre/checkpoints/epoch=75-step=13680.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps2_pre/metrics.csv,75,0.5836426615715027,0.5579257011413574,0.5836426615715027,0.5579257011413574,0.5904538631439209,0.5895816087722778,1.2398147583007812,-0.641028106212616,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps2_pre/checkpoints/epoch=75-step=13680.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps2_pre/metrics.csv,58
GunPoint,CNN,DF,False,3,0,128,False,5,1,3,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps3/checkpoints/epoch=33-step=6120.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps3/metrics.csv,33,0.5957543849945068,0.5434442758560181,0.5957543849945068,0.5434442758560181,0.6331582069396973,0.5841701030731201,,,,,
GunPoint,CNN,DF,True,3,0,128,False,5,1,3,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps3_pre/checkpoints/epoch=118-step=21420.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps3_pre/metrics.csv,118,0.6271407008171082,0.5559722781181335,0.6271407008171082,0.5559722781181335,0.6623867750167847,0.5679457187652588,0.7767860889434814,0.35582050681114197,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps3_pre/checkpoints/epoch=118-step=21420.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps3_pre/metrics.csv,58
GunPoint,CNN,DF,False,3,0,128,False,5,1,4,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps4/checkpoints/epoch=68-step=12420.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps4/metrics.csv,68,0.5913915634155273,0.5277126431465149,0.5913915634155273,0.5277126431465149,0.626478910446167,0.567387580871582,,,,,
GunPoint,CNN,DF,True,3,0,128,False,5,1,4,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps4_pre/checkpoints/epoch=108-step=19620.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps4_pre/metrics.csv,108,0.6134010553359985,0.5848830342292786,0.6134010553359985,0.5848830342292786,0.6604539752006531,0.6078211665153503,0.8287135362625122,0.2668137550354004,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps4_pre/checkpoints/epoch=108-step=19620.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps4_pre/metrics.csv,58
GunPoint,CNN,DF,False,3,0,128,False,5,1,5,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps5/checkpoints/epoch=106-step=19260.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f3/logs/wlen5_wts1_wps5/metrics.csv,106,0.58754962682724,0.53172367811203,0.58754962682724,0.53172367811203,0.6203736066818237,0.5706909894943237,,,,,
