dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc
CBF,RNN,TS,False,3,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/0_wdw5/checkpoints/epoch=10-step=2541.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/0_wdw5/metrics.csv,10,0.37984535098075867,0.3096081018447876,0.37984535098075867,0.3096081018447876,0.5532465577125549,0.4880329668521881
CBF,RNN,TS,False,3,0,128,True,10,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/1_wdw10/checkpoints/epoch=6-step=1617.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/1_wdw10/metrics.csv,6,0.4256206750869751,0.36956921219825745,0.4256206750869751,0.36956921219825745,0.5748736262321472,0.5364776253700256
CBF,RNN,TS,False,3,0,128,True,15,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/2_wdw15/checkpoints/epoch=15-step=3696.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/2_wdw15/metrics.csv,15,0.45609036087989807,0.39323511719703674,0.45609036087989807,0.39323511719703674,0.6091904044151306,0.5547089576721191
CBF,RNN,TS,False,3,0,128,True,20,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/3_wdw20/checkpoints/epoch=19-step=4620.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/3_wdw20/metrics.csv,19,0.49221453070640564,0.43791088461875916,0.49221453070640564,0.43791088461875916,0.6395100355148315,0.5857034921646118
CBF,RNN,TS,False,3,0,128,True,25,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/4_wdw25/checkpoints/epoch=3-step=924.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/4_wdw25/metrics.csv,3,0.4858015179634094,0.4717054069042206,0.4858015179634094,0.4717054069042206,0.6737103462219238,0.6312434077262878
CBF,RNN,TS,False,3,0,128,True,30,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/5_wdw30/checkpoints/epoch=34-step=8085.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/5_wdw30/metrics.csv,34,0.4731270372867584,0.456953227519989,0.4731270372867584,0.456953227519989,0.6389699578285217,0.5955122709274292
CBF,RNN,TS,False,3,0,128,True,40,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/6_wdw40/checkpoints/epoch=62-step=14553.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/6_wdw40/metrics.csv,62,0.5414884686470032,0.5115758180618286,0.5414884686470032,0.5115758180618286,0.6640405654907227,0.6308512091636658
CBF,RNN,TS,False,3,0,128,True,45,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/7_wdw45/checkpoints/epoch=63-step=14784.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/7_wdw45/metrics.csv,63,0.5561552047729492,0.5054168701171875,0.5561552047729492,0.5054168701171875,0.6923894286155701,0.643766462802887
CBF,RNN,TS,False,3,0,128,True,50,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/8_wdw50/checkpoints/epoch=37-step=8778.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/8_wdw50/metrics.csv,37,0.5742871761322021,0.562900960445404,0.5742871761322021,0.562900960445404,0.689541757106781,0.6600626111030579
CBF,RNN,TS,False,3,0,128,True,60,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/9_wdw60/checkpoints/epoch=28-step=6699.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/9_wdw60/metrics.csv,28,0.6073538661003113,0.5741174817085266,0.6073538661003113,0.5741174817085266,0.72798091173172,0.6815966963768005
CBF,RNN,TS,False,3,0,128,True,75,1,1,32,4,384,0,0,4,384,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/10_wdw75/checkpoints/epoch=24-step=5775.ckpt,training/2023-04-11_10-10_EXP_wlen_TS_RNN_CBF_f3/logs/10_wdw75/metrics.csv,24,0.5753948092460632,0.5424647331237793,0.5753948092460632,0.5424647331237793,0.6930821537971497,0.6494014859199524
