dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc
CBF,ResNet,TS,False,0,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/0_wdw5/checkpoints/epoch=87-step=20328.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/0_wdw5/metrics.csv,87,0.3744531571865082,0.3430798053741455,0.3744531571865082,0.3430798053741455,0.5104643106460571,0.5148547291755676
CBF,ResNet,TS,False,0,0,128,True,10,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/1_wdw10/checkpoints/epoch=99-step=23100.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/1_wdw10/metrics.csv,99,0.3758139908313751,0.3627520799636841,0.3758139908313751,0.3627520799636841,0.53214430809021,0.5466490983963013
CBF,ResNet,TS,False,0,0,128,True,15,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/2_wdw15/checkpoints/epoch=113-step=26334.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/2_wdw15/metrics.csv,113,0.38908109068870544,0.379619836807251,0.38908109068870544,0.379619836807251,0.5300218462944031,0.5468619465827942
CBF,ResNet,TS,False,0,0,128,True,20,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/3_wdw20/checkpoints/epoch=61-step=14322.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/3_wdw20/metrics.csv,61,0.42184001207351685,0.44934970140457153,0.42184001207351685,0.44934970140457153,0.5626596808433533,0.6148789525032043
CBF,ResNet,TS,False,0,0,128,True,25,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/4_wdw25/checkpoints/epoch=94-step=21945.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/4_wdw25/metrics.csv,94,0.4714503884315491,0.49202051758766174,0.4714503884315491,0.49202051758766174,0.634908139705658,0.6641362905502319
CBF,ResNet,TS,False,0,0,128,True,30,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/5_wdw30/checkpoints/epoch=15-step=3696.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/5_wdw30/metrics.csv,15,0.4840696156024933,0.4842328131198883,0.4840696156024933,0.4842328131198883,0.6182423233985901,0.6379442811012268
CBF,ResNet,TS,False,0,0,128,True,40,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/6_wdw40/checkpoints/epoch=21-step=5082.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/6_wdw40/metrics.csv,21,0.5361942648887634,0.5276821851730347,0.5361942648887634,0.5276821851730347,0.7247441411018372,0.7203593254089355
CBF,ResNet,TS,False,0,0,128,True,45,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/7_wdw45/checkpoints/epoch=5-step=1386.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/7_wdw45/metrics.csv,5,0.5591589212417603,0.546022891998291,0.5591589212417603,0.546022891998291,0.6760808825492859,0.6903302073478699
CBF,ResNet,TS,False,0,0,128,True,50,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/8_wdw50/checkpoints/epoch=5-step=1386.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/8_wdw50/metrics.csv,5,0.6006109714508057,0.5966273546218872,0.6006109714508057,0.5966273546218872,0.7372088432312012,0.7450594305992126
CBF,ResNet,TS,False,0,0,128,True,60,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/9_wdw60/checkpoints/epoch=50-step=11781.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/9_wdw60/metrics.csv,50,0.5772560834884644,0.5577600598335266,0.5772560834884644,0.5577600598335266,0.7365571856498718,0.7478929162025452
CBF,ResNet,TS,False,0,0,128,True,75,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/10_wdw75/checkpoints/epoch=3-step=924.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f0/logs/10_wdw75/metrics.csv,3,0.5855832695960999,0.6148219108581543,0.5855832695960999,0.6148219108581543,0.721900999546051,0.7649596333503723
