dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,CNN,DF,False,1,0,128,True,5,2,1,32,4,384,0,0,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2/checkpoints/epoch=99-step=23100.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2/metrics.csv,99,0.4932844936847687,0.4673286974430084,0.4932844936847687,0.4673286974430084,0.6564366221427917,0.6773066520690918,,,,,
CBF,CNN,DF,True,1,0,128,True,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=19-step=4620.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_str/metrics.csv,19,0.5470085740089417,0.579841673374176,0.5470085740089417,0.579841673374176,0.7112352252006531,0.7670961022377014,0.8378452062606812,0.18660403788089752,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=19-step=4620.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_str/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=26-step=6237.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_nstr/metrics.csv,26,0.5520451664924622,0.6044036746025085,0.5520451664924622,0.6044036746025085,0.7343327403068542,0.779860258102417,0.6714643239974976,0.4775911867618561,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=26-step=6237.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/00_wdw5_wts2_pre_nstr/metrics.csv,59
CBF,CNN,DF,False,1,0,128,False,5,3,1,32,4,384,0,0,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3/checkpoints/epoch=84-step=19635.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3/metrics.csv,84,0.49475935101509094,0.4926937520503998,0.49475935101509094,0.4926937520503998,0.6671153903007507,0.6949563026428223,,,,,
CBF,CNN,DF,True,1,0,128,True,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=13-step=3234.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_str/metrics.csv,13,0.5785591006278992,0.5974234938621521,0.5785591006278992,0.5974234938621521,0.7561189532279968,0.779516875743866,0.747768223285675,0.3520858883857727,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=13-step=3234.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_str/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=12-step=3003.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_nstr/metrics.csv,12,0.5715884566307068,0.6060932874679565,0.5715884566307068,0.6060932874679565,0.7391268610954285,0.7795271873474121,0.9439266920089722,-0.03237122669816017,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=12-step=3003.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/01_wdw5_wts3_pre_nstr/metrics.csv,59
CBF,CNN,DF,False,1,0,128,False,5,4,1,32,4,384,0,0,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4/checkpoints/epoch=86-step=20097.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4/metrics.csv,86,0.48127415776252747,0.5165984630584717,0.48127415776252747,0.5165984630584717,0.6736001372337341,0.730597198009491,,,,,
CBF,CNN,DF,True,1,0,128,True,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=15-step=3696.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_str/metrics.csv,15,0.5864034295082092,0.6067859530448914,0.5864034295082092,0.6067859530448914,0.7713480591773987,0.7935439944267273,0.8958110809326172,0.07014591991901398,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=15-step=3696.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_str/metrics.csv,59
CBF,CNN,DF,True,1,0,128,False,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=90-step=21021.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_nstr/metrics.csv,90,0.6121514439582825,0.6261627078056335,0.6121514439582825,0.6261627078056335,0.7746126055717468,0.8010364174842834,1.0356112718582153,-0.2427041083574295,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=90-step=21021.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/02_wdw5_wts4_pre_nstr/metrics.csv,59
CBF,CNN,DF,False,1,0,128,False,5,5,1,32,4,384,0,0,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5/checkpoints/epoch=32-step=7623.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5/metrics.csv,32,0.5521628260612488,0.5617392063140869,0.5521628260612488,0.5617392063140869,0.718757152557373,0.7466886639595032,,,,,
CBF,CNN,DF,True,1,0,128,True,5,5,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_str/checkpoints/epoch=9-step=2310.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_str/metrics.csv,9,0.5706869959831238,0.5983186364173889,0.5706869959831238,0.5983186364173889,0.7502835392951965,0.7811205387115479,0.960866391658783,-0.06979873031377792,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_str/checkpoints/epoch=9-step=2310.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_str/metrics.csv,58
CBF,CNN,DF,True,1,0,128,False,5,5,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_nstr/checkpoints/epoch=51-step=12012.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_nstr/metrics.csv,51,0.6329262256622314,0.6653503179550171,0.6329262256622314,0.6653503179550171,0.8106579184532166,0.8454644083976746,0.7511171698570251,0.3463107645511627,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_nstr/checkpoints/epoch=51-step=12012.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/03_wdw5_wts5_pre_nstr/metrics.csv,59
CBF,CNN,DF,False,1,0,128,False,10,2,1,32,4,384,0,0,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2/checkpoints/epoch=27-step=6468.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2/metrics.csv,27,0.516435980796814,0.52374267578125,0.516435980796814,0.52374267578125,0.6786687970161438,0.7092270851135254,,,,,
CBF,CNN,DF,True,1,0,128,True,10,2,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_str/checkpoints/epoch=35-step=8316.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_str/metrics.csv,35,0.5893039107322693,0.6576703190803528,0.5893039107322693,0.6576703190803528,0.8013777732849121,0.8351601958274841,1.1027686595916748,-0.40914830565452576,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_str/checkpoints/epoch=35-step=8316.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_str/metrics.csv,59
CBF,CNN,DF,True,1,0,128,False,10,2,1,32,4,384,8,768,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_nstr/checkpoints/epoch=60-step=14091.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_nstr/metrics.csv,60,0.5472216606140137,0.611426591873169,0.5472216606140137,0.611426591873169,0.7096414566040039,0.7741098403930664,1.0475127696990967,-0.27138227224349976,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_nstr/checkpoints/epoch=60-step=14091.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/10_wdw10_wts2_pre_nstr/metrics.csv,59
CBF,CNN,DF,False,1,0,128,False,10,3,1,32,4,384,0,0,4,384,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/11_wdw10_wts3/checkpoints/epoch=102-step=23793.ckpt,training/2023-04-14_10-52_EXP_wtst_DF_CNN_CBF_f1/logs/11_wdw10_wts3/metrics.csv,102,0.5639250874519348,0.5443089604377747,0.5639250874519348,0.5443089604377747,0.7243995070457458,0.7185366749763489,,,,,
