dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,ResNet,DF,False,3,0,128,True,5,2,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2/checkpoints/epoch=42-step=9933.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2/metrics.csv,42,0.4604700803756714,0.4081113636493683,0.4604700803756714,0.4081113636493683,0.6430160403251648,0.5779315829277039,,,,,
CBF,ResNet,DF,True,3,0,128,True,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=37-step=8778.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_str/metrics.csv,37,0.43691495060920715,0.4088846445083618,0.43691495060920715,0.4088846445083618,0.6154062747955322,0.5744337439537048,0.9085704684257507,0.03468737751245499,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=37-step=8778.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_str/metrics.csv,59
CBF,ResNet,DF,True,3,0,128,False,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=59-step=13860.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_nstr/metrics.csv,59,0.4839234948158264,0.4363362491130829,0.4839234948158264,0.4363362491130829,0.6652023196220398,0.6089918613433838,0.8617927432060242,0.13159283995628357,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=59-step=13860.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/00_wdw5_wts2_pre_nstr/metrics.csv,46
CBF,ResNet,DF,False,3,0,128,False,5,3,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3/checkpoints/epoch=60-step=14091.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3/metrics.csv,60,0.46519792079925537,0.4023323059082031,0.46519792079925537,0.4023323059082031,0.6410441994667053,0.5892201066017151,,,,,
CBF,ResNet,DF,True,3,0,128,True,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=28-step=6699.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_str/metrics.csv,28,0.48076727986335754,0.44010502099990845,0.48076727986335754,0.44010502099990845,0.6643758416175842,0.6193578839302063,0.9290780425071716,-0.00966720562428236,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=28-step=6699.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_str/metrics.csv,54
CBF,ResNet,DF,True,3,0,128,False,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=6-step=1617.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_nstr/metrics.csv,6,0.479139119386673,0.45880821347236633,0.479139119386673,0.45880821347236633,0.6834988594055176,0.6533517837524414,0.8381111025810242,0.17849324643611908,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=6-step=1617.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/01_wdw5_wts3_pre_nstr/metrics.csv,29
CBF,ResNet,DF,False,3,0,128,False,5,4,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4/checkpoints/epoch=10-step=2541.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4/metrics.csv,10,0.4675860106945038,0.4783130884170532,0.4675860106945038,0.4783130884170532,0.6448375582695007,0.6474609971046448,,,,,
CBF,ResNet,DF,True,3,0,128,True,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=53-step=12474.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_str/metrics.csv,53,0.5127213597297668,0.46341413259506226,0.5127213597297668,0.46341413259506226,0.6920607089996338,0.638676106929779,0.8740326166152954,0.10628192126750946,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=53-step=12474.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_str/metrics.csv,47
CBF,ResNet,DF,True,3,0,128,False,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=11-step=2772.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_nstr/metrics.csv,11,0.4632098376750946,0.44743645191192627,0.4632098376750946,0.44743645191192627,0.6374065279960632,0.6270207762718201,0.8453642725944519,0.1640191227197647,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=11-step=2772.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/02_wdw5_wts4_pre_nstr/metrics.csv,4
CBF,ResNet,DF,False,3,0,128,False,5,5,1,32,4,384,0,0,4,384,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/03_wdw5_wts5/checkpoints/epoch=32-step=7623.ckpt,training/2023-04-14_18-16_EXP_wtst_DF_ResNet_CBF_f3/logs/03_wdw5_wts5/metrics.csv,32,0.4703816771507263,0.45959368348121643,0.4703816771507263,0.45959368348121643,0.642092227935791,0.6396870017051697,,,,,
