mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
DF,ResNet,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=119-step=34560-v1.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6406517028808594,0.6406517028808594,0.3505880832672119,0.6451916098594666,0.6451916098594666,0.3319158256053924,32,32,2,4,200,384,384,31.69390880875289,87567.75046087615,87599.4443696849,
DF,ResNet,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=45-step=13248.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.4507122635841369,0.4507122635841369,0.2839304804801941,0.4307710230350494,0.4307710230350494,0.2226746678352356,32,32,2,4,200,384,384,21.10022010840476,109232.51515850984,109253.61537861824,
DF,ResNet,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=30-step=8928.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.5635179281234741,0.5635179281234741,0.3086554706096649,0.5903633236885071,0.5903633236885071,0.2894759476184845,32,32,2,4,200,384,384,21.73326230794192,109806.2723903004,109828.00565260836,
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=55-step=16128.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6800326108932495,0.6800326108932495,0.4004955291748047,0.6544322371482849,0.6544322371482849,0.360253095626831,32,32,2,4,200,384,384,23.334778821095824,167446.17753961682,167469.51231843792,
DF,ResNet,CBF,0.25,120,128,False,10,7,3,0.0001,0,False,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst3_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=14-step=4320.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst3_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6609616875648499,0.6609616875648499,0.3946297466754913,0.6712366342544556,0.6712366342544556,0.3641983270645141,32,32,2,4,200,384,384,16.520005388185382,14761.050047636032,14777.570053024216,
DF,ResNet,CBF,0.25,120,128,False,10,7,5,0.0001,0,False,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst5_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=24-step=7200.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst5_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6519967317581177,0.6519967317581177,0.3850890696048736,0.6438559889793396,0.6438559889793396,0.3337192833423614,32,32,2,4,200,384,384,26.027805112302303,16530.699512690306,16556.727317802608,
DF,ResNet,CBF,0.25,120,128,False,10,7,2,0.0001,0,False,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst2_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=18-step=5472.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst2_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.664384663105011,0.664384663105011,0.4120146632194519,0.654040515422821,0.654040515422821,0.3596086800098419,32,32,2,4,200,384,384,22.955296576023105,48195.17190425284,48218.12720082887,
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=67-step=19584-v1.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.7113284468650818,0.7113284468650818,0.413980633020401,0.7114261984825134,0.7114261984825134,0.370731920003891,32,32,2,4,200,384,384,29.99801410548389,56846.97426984087,56876.97228394635,False
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=22-step=6624.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.694376528263092,0.694376528263092,0.400001049041748,0.6706882119178772,0.6706882119178772,0.3619377911090851,32,32,2,4,200,384,384,32.36476331949234,47421.97655470856,47454.34131802805,True
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=34-step=2520.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6859855651855469,0.6859855651855469,0.2857300341129303,0.664483904838562,0.664483904838562,0.3826682269573211,32,8,2,4,96,96,384,15.962540600448849,8645.77186909318,8661.734409693629,True
