mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,nepochs,best_model,total_params,trainable_params,metrics_csv,val_mse,val_r2,time_dm,time_train,time_total
DF,CNN,GunPoint,0.25,60,128,True,10,False,7,5,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst5_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=52-step=46587.ckpt,121559,121559,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst5_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.1105617955327034,0.9675784707069396,25.93414437584579,9999.103133052588,10025.037277428431
DF,CNN,GunPoint,0.25,60,128,True,10,False,3,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=52-step=46587.ckpt,118959,118959,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.0874076932668685,0.9798260927200316,24.068565668538213,13796.30287572369,13820.371441392228
DF,CNN,GunPoint,0.25,60,128,True,10,False,7,3,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst3_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=55-step=49224.ckpt,121559,121559,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst3_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.1098560765385627,0.9672031998634338,26.48418291844428,19767.84707242809,19794.331255346537
DF,CNN,GunPoint,0.25,60,128,True,10,False,7,2,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst2_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=53-step=47466.ckpt,121559,121559,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst2_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.1144342646002769,0.964336633682251,33.41379474289715,21813.816307339817,21847.230102082714
DF,CNN,GunPoint,0.25,60,128,True,10,True,7,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=49-step=43950.ckpt,117659,117659,training/pretrain/GunPoint_CNN/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.092934563755989,0.9769710302352904,30.522321024909616,25290.80925641581,25321.331577440724
DF,CNN,GunPoint,0.25,60,128,True,10,True,3,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride1_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=55-step=49224.ckpt,117659,117659,training/pretrain/GunPoint_CNN/logs/wlen10_stride1_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.0883929729461669,0.9798852801322936,24.70333323441446,47829.37942682579,47854.082760060206
DF,CNN,GunPoint,0.25,60,128,True,10,True,5,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride1_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=51-step=45708.ckpt,117659,117659,training/pretrain/GunPoint_CNN/logs/wlen10_stride1_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.0923236086964607,0.9781308770179749,33.26311009004712,48502.37434919551,48535.63745928556
DF,CNN,GunPoint,0.25,60,128,True,10,False,5,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=59-step=52740.ckpt,120259,120259,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.0997199714183807,0.9733010530471802,31.352077160030603,50358.95262128301,50390.30469844304
DF,CNN,GunPoint,0.25,60,128,True,10,False,1,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst1_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=59-step=52740.ckpt,117659,117659,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst1_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.1010773032903671,0.972533643245697,57.1083335056901,54454.79007360712,54511.89840711281
DF,CNN,GunPoint,0.25,60,128,True,10,False,7,1,0.0001,0,60,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=52-step=46587.ckpt,121559,121559,training/pretrain/GunPoint_CNN/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.11308448761701584,0.9671512246131897,53.425643315538764,65513.6567836944,65567.08242700994
