mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,nepochs,best_model,total_params,trainable_params,metrics_csv,val_mse,val_r2,time_dm,time_train,time_total
DF,ResNet,CBF,0.25,60,128,True,10,False,7,3,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst3_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=42-step=32250.ckpt,479479,479479,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst3_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.3280777931213379,0.7104329466819763,26.12531087361276,20428.330366443843,20454.45567731745
DF,ResNet,CBF,0.25,60,128,True,10,False,7,5,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst5_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=37-step=28500.ckpt,479479,479479,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst5_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.3382335007190704,0.6930707097053528,27.280338313430548,15362.858502812684,15390.138841126114
DF,ResNet,CBF,0.25,60,128,True,10,False,7,2,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst2_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=49-step=37500.ckpt,479479,479479,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst2_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.3402592837810516,0.6882378458976746,50.66590696759522,33921.738765943795,33972.40467291139
DF,ResNet,CBF,0.25,60,128,True,10,False,1,1,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst1_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=51-step=39000.ckpt,475579,475579,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst1_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.1414786577224731,0.92118901014328,27.218039048835635,51446.7996859774,51474.01772502624
DF,ResNet,CBF,0.25,60,128,True,10,False,5,1,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=22-step=17250.ckpt,478179,478179,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.3271981179714203,0.7043384909629822,26.92020662687719,49956.91809566692,49983.83830229379
DF,ResNet,CBF,0.25,60,128,True,10,True,3,1,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride1_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=39-step=30000.ckpt,475579,475579,training/pretrain/CBF_ResNet/logs/wlen10_stride1_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.2291268706321716,0.8472541570663452,27.74665827676654,52924.93645227328,52952.683110550046
DF,ResNet,CBF,0.25,60,128,True,10,False,3,1,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=19-step=15000.ckpt,476879,476879,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst3_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.2937937974929809,0.7568557262420654,27.52597954683005,53564.942217644304,53592.468197191134
DF,ResNet,CBF,0.25,60,128,True,10,False,7,1,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=39-step=30000.ckpt,479479,479479,training/pretrain/CBF_ResNet/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.3381403386592865,0.6923474669456482,26.938555371016264,52314.840103607625,52341.77865897864
DF,ResNet,CBF,0.25,60,128,True,10,True,5,1,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride1_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=51-step=39000.ckpt,475579,475579,training/pretrain/CBF_ResNet/logs/wlen10_stride1_wtst5_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.2481342852115631,0.8257442712783813,34.361319448798895,61415.42252493277,61449.78384438157
DF,ResNet,CBF,0.25,60,128,True,10,True,7,1,0.0001,0,60,training/pretrain/CBF_ResNet/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=26-step=20250.ckpt,475579,475579,training/pretrain/CBF_ResNet/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.26291605830192566,0.8075053095817566,30.73718935251236,58125.80001918413,58156.53720853664
