mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,tcn,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=92-step=26784.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7287983894348145,0.7287983894348145,0.3987344801425934,0.7221417427062988,0.7221417427062988,0.3497782945632934,32,32,2,4,200,384,384,17.222910733893514,5410.568529354408,5427.791440088302,
df,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=99-step=28800.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7404237985610962,0.7404237985610962,0.4274823665618896,0.7118570804595947,0.7118570804595947,0.3716063499450683,32,32,2,4,200,384,384,16.469707019627094,5637.796976134181,5654.266683153808,
df,tcn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=101-step=29376.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6993895173072815,0.6993895173072815,0.3203004598617553,0.6840829849243164,0.6840829849243164,0.2671440243721008,32,32,2,4,200,384,384,32.53975775465369,12683.32317246124,12715.862930215895,
df,tcn,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=118-step=34272.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7273615598678589,0.7273615598678589,0.3925226032733917,0.7023348808288574,0.7023348808288574,0.3242636620998382,32,32,2,4,200,384,384,19.54021324962377,19908.28159255907,19927.821805808693,
df,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=109-step=3960.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7582345008850098,0.7582345008850098,0.2436592578887939,0.6938909888267517,0.6938909888267517,0.3989343047142029,32,4,2,4,48,48,384,18.431453198194504,446.9220187496394,465.3534719478339,False
df,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=56-step=2052.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7476943135261536,0.7476943135261536,0.2718587219715118,0.6387287974357605,0.6387287974357605,0.3824491202831268,32,4,2,4,48,48,384,16.819134525954723,306.18323089554906,323.0023654215038,True
df,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=60-step=2196.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7490118741989136,0.7490118741989136,0.2436521798372268,0.5959163308143616,0.5959163308143616,0.3519152700901031,32,4,2,4,48,48,384,24.533376121893525,733.7412370909005,758.2746132127941,
df,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=112-step=8136.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5537000894546509,0.5537000894546509,0.2906939089298248,0.5794385075569153,0.5794385075569153,0.3653895556926727,32,8,2,4,96,96,384,16.194641839712858,674.33360857144,690.5282504111528,
df,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=55-step=4032.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6460379958152771,0.6460379958152771,0.306051105260849,0.6287959218025208,0.6287959218025208,0.3843362629413605,32,8,2,4,96,96,384,18.84935466386377,1034.2387597765774,1053.0881144404411,True
df,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_df_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=43-step=3168.ckpt,126323,126323,training/finetune/CBF_df_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6774721741676331,0.6774721741676331,0.3054725527763366,0.6313334107398987,0.6313334107398987,0.381613165140152,32,8,2,4,96,96,384,29.766448464244604,1426.2535923309624,1456.020040795207,False
