mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
gf,tcn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=107-step=31104.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.5503459572792053,0.5503459572792053,0.3275521397590637,0.5323771834373474,0.5323771834373474,0.2654209733009338,32,32,2,4,200,384,384,4.97873555123806,6975.603174215183,6980.581909766421,
gf,tcn,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=118-step=34272.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6850162744522095,0.6850162744522095,0.3780836164951324,0.6816848516464233,0.6816848516464233,0.3056384027004242,32,32,2,4,200,384,384,5.463660525158048,7931.743475707248,7937.207136232406,
gf,tcn,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=107-step=31104-v1.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7168228030204773,0.7168228030204773,0.3987671136856079,0.7090297341346741,0.7090297341346741,0.3333319127559662,32,32,2,4,200,384,384,8.9177441354841,9706.03381326422,9714.951557399703,
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=118-step=34272-v1.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6872860789299011,0.6872860789299011,0.3942959010601043,0.70367032289505,0.70367032289505,0.3543930649757385,32,32,2,4,200,384,384,10.422946341335772,16067.576367985455,16077.999314326791,
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=114-step=4140.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6778656244277954,0.6778656244277954,0.2805179357528686,0.6304956078529358,0.6304956078529358,0.3648807406425476,32,4,2,4,48,48,384,6.42677372507751,474.9798041544855,481.406577879563,
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=111-step=4032.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.760869562625885,0.760869562625885,0.297510027885437,0.6815412640571594,0.6815412640571594,0.382744163274765,32,4,2,4,48,48,384,10.169866111129522,631.5833174306899,641.7531835418195,False
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=117-step=4248.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7042160630226135,0.7042160630226135,0.291583389043808,0.6426807045936584,0.6426807045936584,0.3671018779277801,32,4,2,4,48,48,384,8.196940993890166,735.9614147935063,744.1583557873964,True
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=116-step=8424.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6745252013206482,0.6745252013206482,0.313075304031372,0.6062044501304626,0.6062044501304626,0.3536796867847442,32,8,2,4,96,96,384,10.237039836123586,1465.986818369478,1476.2238582056016,
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=117-step=8496.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7036673426628113,0.7036673426628113,0.2918369472026825,0.6683310270309448,0.6683310270309448,0.3754887580871582,32,8,2,4,96,96,384,7.850624088197946,1382.9784975908697,1390.8291216790676,False
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=116-step=8424-v1.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6941716074943542,0.6941716074943542,0.3082243800163269,0.6329704523086548,0.6329704523086548,0.3559146523475647,32,8,2,4,96,96,384,8.029655491933227,1362.6563381142914,1370.6859936062249,True
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=115-step=16704.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6338557004928589,0.6338557004928589,0.300466388463974,0.67635178565979,0.67635178565979,0.3578552603721618,32,16,2,4,192,192,384,9.60969458706677,3724.062997605652,3733.6726921927184,
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=73-step=10656.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6523016691207886,0.6523016691207886,0.2997558712959289,0.6782289147377014,0.6782289147377014,0.3504097163677215,32,16,2,4,192,192,384,10.878238374367356,4096.237585205585,4107.115823579952,True
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=117-step=16992.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.6606268286705017,0.6606268286705017,0.2929862141609192,0.7005917429924011,0.7005917429924011,0.3639152348041534,32,16,2,4,192,192,384,8.994908491149545,4318.73701935634,4327.73192784749,False
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=111-step=32256.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.695110023021698,0.695110023021698,0.3917408585548401,0.7053546905517578,0.7053546905517578,0.3443537354469299,32,32,2,4,200,384,384,10.6584301777184,19319.255942929536,19329.91437310725,True
gf,tcn,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,3,120,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/checkpoints/epoch=103-step=29952.ckpt,126323,126323,training/finetune/CBF_gf_tcn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv3/metrics.csv,0.7008965015411377,0.7008965015411377,0.3921341001987457,0.7241960167884827,0.7241960167884827,0.35764098167419434,32,32,2,4,200,384,384,11.781011324375868,25487.86347725615,25499.644488580525,False
