dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,CNN,DF,False,3,0,128,True,5,1,1,8,4,96,0,0,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_base/checkpoints/epoch=21-step=1276.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_base/metrics.csv,21,0.3745928406715393,0.3944980204105377,0.3745928406715393,0.3944980204105377,0.4847014844417572,0.5488347411155701,,,,,
CBF,CNN,DF,True,3,0,128,True,5,1,1,8,4,96,4,384,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_4pmult/checkpoints/epoch=65-step=3828.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_4pmult/metrics.csv,65,0.4092019498348236,0.4279900789260864,0.4092019498348236,0.4279900789260864,0.5951619148254395,0.5842415690422058,1.156022548675537,-0.7142657041549683,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_4pmult/checkpoints/epoch=65-step=3828.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_4pmult/metrics.csv,7
CBF,CNN,DF,True,3,0,128,True,5,1,1,8,4,96,8,768,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_8pmult/checkpoints/epoch=38-step=2262.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_8pmult/metrics.csv,38,0.44890064001083374,0.43753305077552795,0.44890064001083374,0.43753305077552795,0.6231334805488586,0.6210602521896362,0.8257104754447937,0.21863043308258057,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_8pmult/checkpoints/epoch=38-step=2262.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_8pmult/metrics.csv,59
CBF,CNN,DF,True,3,0,128,True,5,1,1,8,4,96,16,1536,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_16pmult/checkpoints/epoch=73-step=4292.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_16pmult/metrics.csv,73,0.5916123986244202,0.5530866980552673,0.5916123986244202,0.5530866980552673,0.757969081401825,0.7219057679176331,0.8804523944854736,0.2815852165222168,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_16pmult/checkpoints/epoch=73-step=4292.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/8exc_16pmult/metrics.csv,59
CBF,CNN,DF,False,3,0,128,True,5,1,1,16,4,192,0,0,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_base/checkpoints/epoch=20-step=2436.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_base/metrics.csv,20,0.4433251917362213,0.43179506063461304,0.4433251917362213,0.43179506063461304,0.6233406662940979,0.6022925972938538,,,,,
CBF,CNN,DF,True,3,0,128,True,5,1,1,16,4,192,4,384,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_4pmult/checkpoints/epoch=15-step=1856.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_4pmult/metrics.csv,15,0.4649979770183563,0.47747528553009033,0.4649979770183563,0.47747528553009033,0.6400238275527954,0.667414665222168,0.9566482901573181,-0.17395000159740448,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_4pmult/checkpoints/epoch=15-step=1856.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_4pmult/metrics.csv,7
CBF,CNN,DF,True,3,0,128,True,5,1,1,16,4,192,8,768,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_8pmult/checkpoints/epoch=12-step=1508.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_8pmult/metrics.csv,12,0.5090557336807251,0.4940178096294403,0.5090557336807251,0.4940178096294403,0.675449550151825,0.6663000583648682,0.8766443133354187,0.11926518380641937,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_8pmult/checkpoints/epoch=12-step=1508.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_8pmult/metrics.csv,59
CBF,CNN,DF,True,3,0,128,True,5,1,1,16,4,192,16,1536,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_16pmult/checkpoints/epoch=24-step=2900.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_16pmult/metrics.csv,24,0.5315425395965576,0.5321287512779236,0.5315425395965576,0.5321287512779236,0.7008066177368164,0.6964375376701355,0.8515276312828064,0.32801204919815063,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_16pmult/checkpoints/epoch=24-step=2900.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/16exc_16pmult/metrics.csv,59
CBF,CNN,DF,False,3,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_base/checkpoints/epoch=110-step=25641.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_base/metrics.csv,110,0.48718079924583435,0.5049444437026978,0.48718079924583435,0.5049444437026978,0.6682319045066833,0.6804105639457703,,,,,
CBF,CNN,DF,True,3,0,128,True,5,1,1,32,4,384,4,384,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_4pmult/checkpoints/epoch=43-step=10164.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_4pmult/metrics.csv,43,0.4894190728664398,0.508973240852356,0.4894190728664398,0.508973240852356,0.6594119071960449,0.675811231136322,1.0312612056732178,-0.36421388387680054,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_4pmult/checkpoints/epoch=43-step=10164.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_4pmult/metrics.csv,7
CBF,CNN,DF,True,3,0,128,True,5,1,1,32,4,384,8,768,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_8pmult/checkpoints/epoch=4-step=1155.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_8pmult/metrics.csv,4,0.4212534427642822,0.43553900718688965,0.4212534427642822,0.43553900718688965,0.5982673168182373,0.6198575496673584,0.9827808141708374,-0.1068899855017662,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_8pmult/checkpoints/epoch=4-step=1155.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_8pmult/metrics.csv,59
CBF,CNN,DF,True,3,0,128,True,5,1,1,32,4,384,16,1536,4,384,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_16pmult/checkpoints/epoch=30-step=7161.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_16pmult/metrics.csv,30,0.641977846622467,0.607028067111969,0.641977846622467,0.607028067111969,0.8041605353355408,0.775986909866333,0.8557063341140747,0.32140111923217773,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_16pmult/checkpoints/epoch=30-step=7161.ckpt,training/2023-03-29_15-43_EXP_ratio_DF_CNN_CBF_f3/logs/32exc_16pmult/metrics.csv,59
