dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
Chinatown,CNN,DF,False,0,0,128,False,5,1,1,8,4,64,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_base/checkpoints/epoch=12-step=104.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_base/metrics.csv,12,0.5310457348823547,0.6776347756385803,0.5310457348823547,0.6776347756385803,0.5062179565429688,0.538158655166626,,,,,
Chinatown,CNN,DF,True,0,0,128,False,5,1,1,8,4,64,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_4pmult/checkpoints/epoch=24-step=200.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_4pmult/metrics.csv,24,0.5882353186607361,0.6196448802947998,0.5882353186607361,0.6196448802947998,0.6013033986091614,0.5452515482902527,0.463461697101593,0.6709088087081909,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_4pmult/checkpoints/epoch=24-step=200.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_4pmult/metrics.csv,59
Chinatown,CNN,DF,True,0,0,128,False,5,1,1,8,4,64,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_8pmult/checkpoints/epoch=45-step=368.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_8pmult/metrics.csv,45,0.5669934749603271,0.6093826293945312,0.5669934749603271,0.6093826293945312,0.5923290848731995,0.5141754150390625,1.4223048686981201,-1.9310985803604126,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_8pmult/checkpoints/epoch=45-step=368.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_8pmult/metrics.csv,59
Chinatown,CNN,DF,True,0,0,128,False,5,1,1,8,4,64,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_16pmult/checkpoints/epoch=100-step=808.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_16pmult/metrics.csv,100,0.5686274766921997,0.5600260496139526,0.5686274766921997,0.5600260496139526,0.5685470104217529,0.5153487920761108,0.6297895908355713,0.5336900949478149,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_16pmult/checkpoints/epoch=100-step=808.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/8exc_16pmult/metrics.csv,59
Chinatown,CNN,DF,False,0,0,128,False,5,1,1,16,4,128,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_base/checkpoints/epoch=33-step=510.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_base/metrics.csv,33,0.6933115720748901,0.5856002569198608,0.6933115720748901,0.5856002569198608,0.7699707746505737,0.5160463452339172,,,,,
Chinatown,CNN,DF,True,0,0,128,False,5,1,1,16,4,128,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_4pmult/checkpoints/epoch=25-step=390.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_4pmult/metrics.csv,25,0.7332789301872253,0.6173644065856934,0.7332789301872253,0.6173644065856934,0.81247878074646,0.5362138748168945,0.44822049140930176,0.692187488079071,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_4pmult/checkpoints/epoch=25-step=390.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_4pmult/metrics.csv,59
Chinatown,CNN,DF,True,0,0,128,False,5,1,1,16,4,128,8,512,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_8pmult/checkpoints/epoch=37-step=570.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_8pmult/metrics.csv,37,0.6827079653739929,0.5681707262992859,0.6827079653739929,0.5681707262992859,0.7460281848907471,0.5003600716590881,0.6241424679756165,0.43556612730026245,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_8pmult/checkpoints/epoch=37-step=570.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_8pmult/metrics.csv,59
Chinatown,CNN,DF,True,0,0,128,False,5,1,1,16,4,128,16,1024,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_16pmult/checkpoints/epoch=39-step=600.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_16pmult/metrics.csv,39,0.6786296963691711,0.5693109631538391,0.6786296963691711,0.5693109631538391,0.7444310188293457,0.5297622680664062,0.7093275189399719,0.40854644775390625,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_16pmult/checkpoints/epoch=39-step=600.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/16exc_16pmult/metrics.csv,59
Chinatown,CNN,DF,False,0,0,128,False,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/32exc_base/checkpoints/epoch=60-step=1769.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/32exc_base/metrics.csv,60,0.6765784025192261,0.6352826356887817,0.6765784025192261,0.6352826356887817,0.7273712158203125,0.5605428218841553,,,,,
Chinatown,CNN,DF,True,0,0,128,False,5,1,1,32,4,256,4,256,4,256,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/32exc_4pmult/checkpoints/epoch=52-step=1537.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/32exc_4pmult/metrics.csv,52,0.6635437607765198,0.6509203314781189,0.6635437607765198,0.6509203314781189,0.7064574360847473,0.5689643621444702,0.493886798620224,0.6262795925140381,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/32exc_4pmult/checkpoints/epoch=52-step=1537.ckpt,training/2023-03-29_09-27_EXP_ratio_DF_CNN_Chinatown_f0/logs/32exc_4pmult/metrics.csv,59
