dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
GunPoint,CNN,DF,False,0,0,128,False,5,1,1,8,4,64,0,0,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_base/checkpoints/epoch=4-step=225.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_base/metrics.csv,4,0.5338718295097351,0.5252506732940674,0.5338718295097351,0.5252506732940674,0.5106746554374695,0.5185705423355103,,,,,
GunPoint,CNN,DF,True,0,0,128,False,5,1,1,8,4,64,4,256,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_4pmult/checkpoints/epoch=116-step=5265.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_4pmult/metrics.csv,116,0.5867639183998108,0.583409309387207,0.5867639183998108,0.583409309387207,0.5852946043014526,0.5693098306655884,0.8469374179840088,0.15960173308849335,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_4pmult/checkpoints/epoch=116-step=5265.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_4pmult/metrics.csv,42
GunPoint,CNN,DF,True,0,0,128,False,5,1,1,8,4,64,8,512,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_8pmult/checkpoints/epoch=118-step=5355.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_8pmult/metrics.csv,118,0.5893694758415222,0.5899205803871155,0.5893694758415222,0.5899205803871155,0.61316978931427,0.6133439540863037,0.8402400016784668,0.31844550371170044,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_8pmult/checkpoints/epoch=118-step=5355.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_8pmult/metrics.csv,59
GunPoint,CNN,DF,True,0,0,128,False,5,1,1,8,4,64,16,1024,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_16pmult/checkpoints/epoch=99-step=4500.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_16pmult/metrics.csv,99,0.588848352432251,0.5546815991401672,0.588848352432251,0.5546815991401672,0.5783718824386597,0.5831966400146484,0.5376815795898438,0.692138671875,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_16pmult/checkpoints/epoch=99-step=4500.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/8exc_16pmult/metrics.csv,58
GunPoint,CNN,DF,False,0,0,128,False,5,1,1,16,4,128,0,0,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_base/checkpoints/epoch=51-step=4680.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_base/metrics.csv,51,0.5743682980537415,0.4814949929714203,0.5743682980537415,0.4814949929714203,0.6022643446922302,0.4951547086238861,,,,,
GunPoint,CNN,DF,True,0,0,128,False,5,1,1,16,4,128,4,256,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_4pmult/checkpoints/epoch=64-step=5850.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_4pmult/metrics.csv,64,0.5371190309524536,0.5639275908470154,0.5371190309524536,0.5639275908470154,0.5330835580825806,0.596731424331665,0.5616135001182556,0.6304707527160645,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_4pmult/checkpoints/epoch=64-step=5850.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_4pmult/metrics.csv,42
GunPoint,CNN,DF,True,0,0,128,False,5,1,1,16,4,128,8,512,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_8pmult/checkpoints/epoch=118-step=10710.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_8pmult/metrics.csv,118,0.5867413282394409,0.561687707901001,0.5867413282394409,0.561687707901001,0.5798177719116211,0.577919602394104,0.8967763781547546,0.22364482283592224,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_8pmult/checkpoints/epoch=118-step=10710.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_8pmult/metrics.csv,59
GunPoint,CNN,DF,True,0,0,128,False,5,1,1,16,4,128,16,1024,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_16pmult/checkpoints/epoch=84-step=7650.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_16pmult/metrics.csv,84,0.5664235353469849,0.559552013874054,0.5664235353469849,0.559552013874054,0.5366173386573792,0.585017740726471,0.5458184480667114,0.68274986743927,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_16pmult/checkpoints/epoch=84-step=7650.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/16exc_16pmult/metrics.csv,58
GunPoint,CNN,DF,False,0,0,128,False,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/32exc_base/checkpoints/epoch=91-step=16560.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/32exc_base/metrics.csv,91,0.5531319379806519,0.5780960917472839,0.5531319379806519,0.5780960917472839,0.5366863012313843,0.6006895899772644,,,,,
GunPoint,CNN,DF,True,0,0,128,False,5,1,1,32,4,256,4,256,4,256,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/32exc_4pmult/checkpoints/epoch=31-step=5760.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/32exc_4pmult/metrics.csv,31,0.5580153465270996,0.5644484758377075,0.5580153465270996,0.5644484758377075,0.5802174806594849,0.5810716152191162,1.05002760887146,-0.29172050952911377,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/32exc_4pmult/checkpoints/epoch=31-step=5760.ckpt,training/2023-03-29_00-19_EXP_ratio_DF_CNN_GunPoint_f0/logs/32exc_4pmult/metrics.csv,42
